urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
123410,893,Shropshire,Albrighton Primary School & Nursery,www.albrightonprimary.com,Wolverhampton,WV7 3QS,West Midlands,no
143548,893,Shropshire,Alveley Primary School,www.alveleyprimary.co.uk,Bridgnorth,WV15 6JT,West Midlands,no
138268,893,Shropshire,Barrow 1618 CofE Free School,barrow1618school.co.uk,Broseley,TF12 5BW,West Midlands,no
123534,893,Shropshire,Baschurch CofE Primary School,www.baschurchprimary.org.uk/,Shrewsbury,SY4 2AU,West Midlands,no
151183,893,Shropshire,Beckbury Church of England Primary School and Nursery,www.beckbury.shropshire.sch.uk,Shifnal,TF11 9DQ,West Midlands,no
123437,893,Shropshire,Belvidere Primary School,www.belvidere-pri.shropshire.sch.uk/,Shrewsbury,SY2 5YB,West Midlands,no
146506,893,Shropshire,Belvidere School,http://www.belvidere.shropshire.sch.uk/,Shrewsbury,SY2 5RJ,West Midlands,no
150702,893,Shropshire,Bicton Church of England Primary School and Nursery,,Shrewsbury,SY3 8EH,West Midlands,no
135790,893,Shropshire,Bishop Hooper Church of England Primary School,www.bishophooper.co.uk,Ludlow,SY8 4BX,West Midlands,no
145672,893,Shropshire,Bishops Castle Primary School,www.bishopscastle-pri.shropshire.sch.uk/,Bishops Castle,SY9 5PA,West Midlands,no
142142,893,Shropshire,Bitterley CofE Primary School (Aided),www.bitterleyschool.co.uk,Ludlow,SY8 3HF,West Midlands,no
150585,893,Shropshire,Bomere Heath Church of England Primary School,bomereheathschool.org.uk,Shrewsbury,SY4 3PQ,West Midlands,no
149757,893,Shropshire,Bowbrook Primary School,https://bowbrookprimary.co.uk/,Shrewsbury,SY5 8PY,West Midlands,no
139143,893,Shropshire,Bridgnorth Endowed School,http://bridgnorthendowed.co.uk/,Bridgnorth,WV16 4ER,West Midlands,no
123463,893,Shropshire,Brockton CofE Primary School,www.brocktonprimary.co.uk,Much Wenlock,TF13 6JR,West Midlands,no
123523,893,Shropshire,Broseley CofE Primary School,www.broseleyprimary.co.uk,Broseley,TF12 5LW,West Midlands,no
123532,893,Shropshire,Brown Clee CofE Primary School,http://www.browncleeschool.org.uk,Bridgnorth,WV16 6SS,West Midlands,no
123528,893,Shropshire,Bryn Offa CofE Primary School,www.brynoffa.shropshire.sch.uk,Oswestry,SY10 9QR,West Midlands,no
142575,893,Shropshire,Buildwas Academy,www.buildwasacademy.com,Telford,TF8 7DA,West Midlands,no
123397,893,Shropshire,Buntingsdale Primary School and Nursery,www.buntingsdale.shropshire.sch.uk,Market Drayton,TF9 2HB,West Midlands,no
144201,893,Shropshire,Burford CofE Primary School,www.burfordceprimary.co.uk/,Tenbury Wells,WR15 8AT,West Midlands,no
145202,893,Shropshire,Castlefields Primary School,www.castlefieldsprimary.co.uk,Bridgnorth,WV16 5DQ,West Midlands,no
150521,893,Shropshire,Cheswardine Primary and Nursery School,,Market Drayton,TF9 2RU,West Midlands,no
150584,893,Shropshire,Christ Church Church of England Primary School,http://christchurchcressage.co.uk/,Shrewsbury,SY5 6DH,West Midlands,no
123359,893,Shropshire,Church Preen Primary School,www.churchpreenschool.org.uk,Nr Much Wenlock,SY6 7LH,West Midlands,no
139455,893,Shropshire,Church Stretton School,http://www.churchstretton.shropshire.sch.uk/,Church Stretton,SY6 6EX,West Midlands,no
123539,893,Shropshire,Claverley CofE Primary School,www.claverleyprimary.org.uk,Wolverhampton,WV5 7DX,West Midlands,no
141637,893,Shropshire,Clee Hill Community Academy,http://chcacademy.co.uk,Ludlow,SY8 3NE,West Midlands,no
141636,893,Shropshire,Cleobury Mortimer Primary School,www.cmpschool.co.uk,Kidderminster,DY14 8PE,West Midlands,no
148505,893,Shropshire,Clive CofE Primary School,www.clivecofeprimaryschool.co.uk,Shrewsbury,SY4 3LF,West Midlands,no
123541,893,Shropshire,Clunbury CofE Primary School,https://bhf.shropshire.sch.uk,Craven Arms,SY7 0HE,West Midlands,no
123470,893,Shropshire,Cockshutt CofE Primary School and Nursery,www.cockshuttcofeprimary.org.uk,Ellesmere,SY12 0JE,West Midlands,no
144848,893,Shropshire,Coleham Primary School,www.colehamprimary.co.uk,Shrewsbury,SY3 7EN,West Midlands,no
145275,893,Shropshire,Condover CofE Primary School,www.condoverschool.co.uk/,Shrewsbury,SY5 7AA,West Midlands,no
123559,893,Shropshire,Corvedale CofE Primary School,www.corvedaleschool.co.uk,Craven Arms,SY7 9DH,West Midlands,no
123472,893,Shropshire,Criftins CofE Primary School,www.criftins.shropshire.sch.uk/,Ellesmere,SY12 9LT,West Midlands,no
123391,893,Shropshire,Crowmoor Primary School and Nursery,www.crowmoorschool.co.uk,Shrewsbury,SY2 5JJ,West Midlands,no
143326,893,Shropshire,Ellesmere Primary School,www.ellesmereprimaryschool.org.uk/,Ellesmere,SY12 9EU,West Midlands,no
123475,893,Shropshire,Farlow CofE Primary School,www.farlow.shropshire.sch.uk/,Kidderminster,DY14 0RQ,West Midlands,no
123366,893,Shropshire,Gobowen Primary School,www.gobowenschool.co.uk,Oswestry,SY11 3LD,West Midlands,no
147539,893,Shropshire,Grange Primary School,www.grangeprimaryshrewsbury.co.uk,Shrewsbury,SY1 3QR,West Midlands,no
145793,893,Shropshire,Greenacres Primary School,https://greenacres.shropshire.sch.uk,Shrewsbury,SY1 3QG,West Midlands,no
144202,893,Shropshire,Greenfields Primary School,www.greenfields.shropshire.sch.uk/,Shrewsbury,SY1 2AH,West Midlands,no
123478,893,Shropshire,Hadnall Church of England Primary School,www.hadnallcofeprimary.org.uk,Shrewsbury,SY4 4BE,West Midlands,no
150467,893,Shropshire,Harlescott Junior School,www.haughmondfed.net,Shrewsbury,SY1 4QN,West Midlands,no
123371,893,Shropshire,Highley Community Primary School,www.highleyschool.co.uk/,Bridgnorth,WV16 6EH,West Midlands,no
150398,893,Shropshire,Hinstock Primary School,www.hinstockprimary.co.uk,Market Drayton,TF9 2TE,West Midlands,no
150399,893,Shropshire,Hodnet Primary School,www.hodnetschool.co.uk,Market Drayton,TF9 3NS,West Midlands,no
144460,893,Shropshire,Holy Trinity Church of England Primary Academy and Nursery,www.holytrinitycepa.co.uk,Oswestry,SY11 2LF,West Midlands,no
140922,893,Shropshire,Idsall School,https://www.idsallschool.org/,Shifnal,TF11 8PD,West Midlands,no
151469,893,Shropshire,John Wilkinson Primary School and Nursery,www.johnwilkinson.shropshire.sch.uk,Broseley,TF12 5AN,West Midlands,no
123480,893,Shropshire,Kinlet CofE Primary School,www.kinlet.shropshire.sch.uk,Kinlet,DY12 3BG,West Midlands,no
123481,893,Shropshire,Kinnerley Church of England Controlled Primary School,https://kinnerley.westcliffefederation.co.uk/,Oswestry,SY10 8DF,West Midlands,no
139102,893,Shropshire,Lakelands Academy,http://www.lakelandsacademy.org.uk,Ellesmere,SY12 0EA,West Midlands,no
123518,893,Shropshire,Long Mountain CofE Primary School,longmountain.shropshire.sch.uk,Shrewsbury,SY5 9HT,West Midlands,no
123546,893,Shropshire,Longden CofE Primary School,http://www.longden.shropshire.sch.uk/,Shrewsbury,SY5 8EX,West Midlands,no
141368,893,Shropshire,Longlands Primary School,www.longlandsprimaryschool.co.uk,Market Drayton,TF9 1QU,West Midlands,no
123482,893,Shropshire,Longnor CofE Primary School,www.longnorschool.org.uk,Shrewsbury,SY5 7PP,West Midlands,no
146897,893,Shropshire,Lower Heath CofE Primary School,http://www.lowerheath.co.uk,Whitchurch,SY13 2BT,West Midlands,no
144435,893,Shropshire,Ludlow Church of England School,www.ludlowschool.com,Ludlow,SY8 1GJ,West Midlands,no
143801,893,Shropshire,Ludlow Primary School,www.ludlowprimaryschool.co.uk,Ludlow,SY8 1HX,West Midlands,no
150531,893,Shropshire,Lydbury North Church of England Primary School,www.stmichaelsfed.shropshire.sch.uk,,SY7 8AU,West Midlands,no
145792,893,Shropshire,Market Drayton Infant & Nursery School,www.marketdraytoninfants.co.uk/,Market Drayton,TF9 3BA,West Midlands,no
145788,893,Shropshire,Market Drayton Junior School,www.marketdraytonjunior.co.uk/,MARKET DRAYTON,TF9 3HU,West Midlands,no
146509,893,Shropshire,Mary Webb School and Science College,www.marywebbschool.com,Shrewsbury,SY5 0TG,West Midlands,no
150601,893,Shropshire,Meole Brace Church of England Primary School and Nursery,www.meolebraceceprimary.co.uk,Shrewsbury,SY3 9HG,West Midlands,no
146146,893,Shropshire,Meole Brace School,http://www.meolebrace.com/,Shrewsbury,SY3 9DW,West Midlands,no
147106,893,Shropshire,Mereside Church of England Primary Academy,http://www.mereside.shropshire.sch.uk,Shrewsbury,SY2 6LE,West Midlands,no
123484,893,Shropshire,Morda CofE Primary School,www.morda.shropshire.sch.uk,Oswestry,SY10 9NR,West Midlands,no
123485,893,Shropshire,Moreton Say CofE Primary School,www.moretonsay.shropshire.sch.uk,Market Drayton,TF9 3RS,West Midlands,no
141180,893,Shropshire,Morville CofE (Controlled) Primary School,www.morvilleschool.org.uk/,Bridgnorth,WV16 4RJ,West Midlands,no
144434,893,Shropshire,Mount Pleasant Primary,http://www.mountpleasant.shropshire.sch.uk/,Shrewsbury,SY1 3BY,West Midlands,no
149649,893,Shropshire,Much Wenlock Primary School,https://muchwenlockprimary.com/,Much Wenlock,TF13 6JG,West Midlands,no
123487,893,Shropshire,Myddle CofE Primary School,www.myddleschool.org.uk,Shrewsbury,SY4 3RP,West Midlands,no
