urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
149446,894,Telford and Wrekin,Allscott Meads Primary Academy,https://allscottmeads.lct.education/,Telford,TF6 5FA,West Midlands,no
150527,894,Telford and Wrekin,Apley Wood Primary Academy,www.apleywoodprimaryschool.org.uk,Telford,TF1 6FQ,West Midlands,no
150710,894,Telford and Wrekin,Aqueduct Primary Academy,https://www.aqueductprimary.co.uk,Telford,TF4 3RP,West Midlands,no
123443,894,Telford and Wrekin,Captain Webb Primary School,www.captainwebbprimary.org.uk/,TELFORD,TF4 3DU,West Midlands,no
142821,894,Telford and Wrekin,Charlton School,www.charlton.uk.com,Telford,TF1 3FA,West Midlands,no
123358,894,Telford and Wrekin,Church Aston Infant School,www.churchastoninfantschool.co.uk/,Newport,TF10 9JN,West Midlands,no
123542,894,Telford and Wrekin,Coalbrookdale and Ironbridge CofE Primary School,http://www.coalbrookdaleschool.org.uk,Telford,TF8 7DS,West Midlands,no
148314,894,Telford and Wrekin,Crudgington Primary School,www.crudgingtonschool.org.uk,Telford,TF6 6JF,West Midlands,no
142785,894,Telford and Wrekin,Dawley Church of England Primary Academy,dawley.academy,Telford,TF4 3AL,West Midlands,no
123473,894,Telford and Wrekin,Donnington Wood CofE Voluntary Controlled Junior School,www.donningtonwood.com/,Telford,TF2 8BH,West Midlands,no
123364,894,Telford and Wrekin,Donnington Wood Infant School and Nursery Centre,www.donningtonwoodinfants.co.uk,Telford,TF2 8EP,West Midlands,no
135496,894,Telford and Wrekin,Dothill Primary School,www.dothillprimaryschool.co.uk,Telford,TF1 3JB,West Midlands,no
145707,894,Telford and Wrekin,Ercall Wood Academy,http://www.ercallwood.co.uk,Telford,TF1 2DT,West Midlands,no
142705,894,Telford and Wrekin,Grange Park Primary School,www.grangeparkprimaryschool.co.uk,Telford,TF3 1ET,West Midlands,no
135582,894,Telford and Wrekin,Haberdashers' Abraham Darby,http://www.haberdashersabrahamdarby.co.uk/,Telford,TF7 5HX,West Midlands,no
137446,894,Telford and Wrekin,Haberdashers' Adams,http://www.adamsgs.uk,Newport,TF10 7BD,West Midlands,no
144942,894,Telford and Wrekin,Hadley Learning Community - Primary Phase,www.hadleylearningcommunity.org.uk/,Telford,TF1 5NU,West Midlands,no
144853,894,Telford and Wrekin,Hadley Learning Community - Secondary Phase,http://hadleylearningcommunity.org.uk/,Telford,TF1 5NU,West Midlands,no
123629,894,Telford and Wrekin,Haughton School,www.haughtonschool.co.uk,Telford,TF7 4BW,West Midlands,no
123370,894,Telford and Wrekin,High Ercall Primary School,www.highercallprimary.co.uk,Telford,TF6 6AF,West Midlands,no
123456,894,Telford and Wrekin,Hollinswood Primary School,http://hollinswoodprimary.co.uk/,Telford,TF3 2EP,West Midlands,no
123429,894,Telford and Wrekin,Holmer Lake Primary School,www.holmerlakeprimary.org/,Telford,TF3 1LD,West Midlands,no
142067,894,Telford and Wrekin,Holy Trinity Academy,https://Holytrinity.academy,Telford,TF2 9SQ,West Midlands,no
