urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
143159,895,Cheshire East,Acton Church of England Primary Academy,www.actonceacademy.org.uk,Nantwich,CW5 8LG,North West,no
148641,895,Cheshire East,Adelaide Heath Academy,www.adelaideheathacademy.net,Knutsford,WA16 8PA,North West,no
140457,895,Cheshire East,Adelaide School,http://www.adelaideschool.net,Crewe,CW1 3DT,North West,no
143154,895,Cheshire East,Adlington Primary School,http://www.adlington.cheshire.sch.uk,Macclesfield,SK10 4JX,North West,no
139139,895,Cheshire East,All Hallows Catholic College,http://www.allhallows.org.uk/,Macclesfield,SK11 8LB,North West,no
148136,895,Cheshire East,Alsager Highfields Community Primary School,www.alsagerhighfields.com,Stoke-on-Trent,ST7 2NW,North West,no
140108,895,Cheshire East,Alsager School,http://www.alsagerschool.org/,Stoke-on-Trent,ST7 2HR,North West,no
140444,895,Cheshire East,Ash Grove Academy,http://www.ashgrove.cheshire.sch.uk,Macclesfield,SK11 7TF,North West,no
111227,895,Cheshire East,Ashdene Primary School,www.ashdene.cheshire.sch.uk,Wilmslow,SK9 6LJ,North West,no
145720,895,Cheshire East,Astbury St Mary's CofE Primary School,https://www.astburyschool.org.uk/,Congleton,CW12 4RG,North West,no
148489,895,Cheshire East,Audlem St James' CofE Primary School,www.audlemstjames.org.uk/,Crewe,CW3 0HH,North West,no
111211,895,Cheshire East,Beechwood Primary School and Nursery,www.beechwoodprimary.org.uk,Crewe,CW1 2PH,North West,no
147133,895,Cheshire East,Bexton Primary School,http://www.bexton.cheshire.sch.uk,Knutsford,WA16 9DB,North West,no
140981,895,Cheshire East,Black Firs Primary School,http://www.black-firs.co.uk,Congleton,CW12 4QJ,North West,no
111360,895,Cheshire East,Bollinbrook CofE (A) Primary School,bollinbrook.school,Macclesfield,SK10 3AT,North West,no
111324,895,Cheshire East,Bollington St John's CofE Primary School,www.bollingtonstjohns.co.uk,Macclesfield,SK10 5LY,North West,no
148660,895,Cheshire East,Bosley St Mary's CofE Primary School,www.bosleyschool.co.uk/,Macclesfield,SK11 0NX,North West,no
144832,895,Cheshire East,Brereton CofE Primary School,www.breretonprimaryschool.org.uk,Sandbach,CW11 1RN,North West,no
111343,895,Cheshire East,Bridgemere CofE Primary School,www.bridgemereschool.co.uk,Nantwich,CW5 7PX,North West,no
111061,895,Cheshire East,Brierley Primary School,www.brierley.cheshire.sch.uk,Crewe,CW1 2AZ,North West,no
136279,895,Cheshire East,Brine Leas School,http://brineleas.co.uk/,Nantwich,CW5 7DY,North West,no
141193,895,Cheshire East,Broken Cross Primary Academy and Nursery,www.brokencross.ft.school,Macclesfield,SK11 8UD,North West,no
143155,895,Cheshire East,Bunbury Aldersey CofE Primary School,http://www.bunburyaldersey.cheshire.sch.uk,Tarporley,CW6 9NR,North West,no
143157,895,Cheshire East,Calveley Primary Academy,www.calveleyprimary.cheshire.sch.uk,,CW6 9LE,North West,no
140813,895,Cheshire East,Cheshire Studio School,http://www.knutsfordacademy.org.uk/,Knutsford,WA16 0EA,North West,no
148727,895,Cheshire East,Christ The King Catholic and Church of England Primary School,https://www.christtheking.cheshire.sch.uk/,Macclesfield,SK11 7SF,North West,no
141559,895,Cheshire East,Church Lawton School,https://www.churchlawtonschool.org.uk/,Stoke-on-Trent,ST7 3EL,North West,no
150654,895,Cheshire East,Cledford Primary School,www.cledford.cheshire.sch.uk,Middlewich,CW10 0DD,North West,no
136655,895,Cheshire East,Congleton High School,tlptrust.com,Congleton,CW12 4NS,North West,no
139910,895,Cheshire East,Cranberry Academy,www.cranberryacademy.co.uk,,ST7 2LE,North West,no
142890,895,Cheshire East,Crewe Engineering and Design UTC,https://www.utccrewe.co.uk/,Crewe,CW1 2PZ,North West,no
146995,895,Cheshire East,Daven Primary School,www.daven.cheshire.sch.uk/,Congleton,CW12 3AH,North West,no
111147,895,Cheshire East,Dean Valley Community Primary School,http://www.deanvalley.cheshire.sch.uk,Macclesfield,SK10 5HS,North West,no
147877,895,Cheshire East,Disley Primary School,disleyprimary.org.uk,Stockport,SK12 2BD,North West,no
138662,895,Cheshire East,Eaton Bank Academy,http://www.eatonbankacademy.org/,Congleton,CW12 1NT,North West,no
111170,895,Cheshire East,Edleston Primary School,http://www.edleston.cheshire.sch.uk,Crewe,CW2 7PX,North West,no
145981,895,Cheshire East,Egerton Primary School,http://www.egerton.cheshire.sch.uk,Knutsford,WA16 0EE,North West,no
148985,895,Cheshire East,Elworth Hall Primary School,www.elworthhall.cheshire.sch.uk,Sandbach,CW11 1TE,North West,no
145035,895,Cheshire East,Excalibur Primary School,http://www.excalibur.cheshire.sch.uk,Stoke-on-Trent,ST7 2RQ,North West,no
150726,895,Cheshire East,Gainsborough Primary and Nursery School,www.gainsboroughschool.co.uk/,Crewe,CW2 7NH,North West,no
144833,895,Cheshire East,Gawsworth Primary School,http://www.gawsworth.cheshire.sch.uk,Macclesfield,SK11 9QU,North West,no
111171,895,Cheshire East,Goostrey Community Primary School,http://www.goostrey.cheshire.sch.uk,Near Crewe,CW4 8PE,North West,no
143011,895,Cheshire East,Gorsey Bank Primary School,gorseybank.org.uk,Wilmslow,SK9 5NQ,North West,no
146615,895,Cheshire East,Handforth Grange Primary School,https://handforthgrange.com/,Wilmslow,SK9 3NG,North West,no
148487,895,Cheshire East,Haslington Primary Academy,www.haslington.cheshire.sch.uk,Crewe,CW1 5SL,North West,no
140724,895,Cheshire East,Hermitage Primary School,http://www.hermitage.cheshire.sch.uk/,Crewe,CW4 7NP,North West,no
111096,895,Cheshire East,High Legh Primary School,http://www.highlegh.cheshire.sch.uk,Knutsford,WA16 6NW,North West,no
143160,895,Cheshire East,Highfields Academy,http://www.highfieldsacademy.co.uk,Nantwich,CW5 6HA,North West,no
146430,895,Cheshire East,Hollinhey Primary School,http://www.hollinhey.cheshire.sch.uk,Macclesfield,SK11 0EE,North West,no
137449,895,Cheshire East,Holmes Chapel Comprehensive School,https://www.hccs1978.co.uk/,Crewe,CW4 7DX,North West,no
140083,895,Cheshire East,Holmes Chapel Primary School,http://www.holmeschapelprimary.org.uk,Crewe,CW4 7EB,North West,no
146382,895,Cheshire East,Hungerford Primary Academy,www.hungerfordacademy.org,Crewe,CW1 5HA,North West,no
111233,895,Cheshire East,Hurdsfield Community Primary School,www.hurdsfieldprimaryschool.com,Macclesfield,SK10 2LW,North West,no
141792,895,Cheshire East,Ivy Bank Primary School,www.ivybank.cheshire.sch.uk/,Macclesfield,SK11 8PB,North West,no
111459,895,Cheshire East,Kettleshulme St James CofE (VA) Primary School,www.kettleshulmestjames.cheshire.sch.uk,Kettleshulme. High Peak,SK23 7QU,North West,no
138002,895,Cheshire East,Knutsford Academy,http://www.knutsfordacademy.org.uk/,Knutsford,WA16 0EA,North West,no
137450,895,Cheshire East,Lacey Green Primary Academy,http://www.laceygreen.cheshire.sch.uk,Wilmslow,SK9 4DP,North West,no
139752,895,Cheshire East,Leighton Academy,www.leightonacademy.com,Crewe,CW1 3PP,North West,no
111031,895,Cheshire East,Lindow Community Primary School,www.lindow.cheshire.sch.uk/,Wilmslow,SK9 6EH,North West,no
147810,895,Cheshire East,Little Bollington CofE Primary School,www.littlebollington.cheshire.sch.uk/,Altrincham,WA14 4SZ,North West,no
146402,895,Cheshire East,Lostock Hall Primary School,http://www.lostockhall.com,Stockport,SK12 1XG,North West,no
151153,895,Cheshire East,Lower Park School,www.lowerpark.cheshire.sch.uk/,Stockport,SK12 1HE,North West,no
111216,895,Cheshire East,Mablins Lane Community Primary School,http://www.mablinslaneschool.co.uk,Crewe,CW1 3YR,North West,no
111419,895,Cheshire East,Malbank School and Sixth Form College,http://www.malbank.com,Nantwich,CW5 5HD,North West,no
148278,895,Cheshire East,Manor Park Primary School and Nursery,http://www.manorpark.cheshire.sch.uk,Knutsford,WA16 8DB,North West,no
142561,895,Cheshire East,Marlborough Primary School,www.marlborough.ft.school,Macclesfield,SK10 2HJ,North West,no
140895,895,Cheshire East,Marlfields Primary School,www.marlfieldsprimary.co.uk/,Congleton,CW12 4BT,North West,no
111329,895,Cheshire East,Marton and District CofE Aided Primary School,www.marton.cheshire.sch.uk/,Macclesfield,SK11 9HD,North West,no
148693,895,Cheshire East,Middlewich High School,https://mhs.school,Middlewich,CW10 9BU,North West,no
150231,895,Cheshire East,Millfields Primary Academy,www.millfieldsprimary.org.uk/,Nantwich,CW5 5HP,North West,no
