urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
147489,896,Cheshire West and Chester,Acresfield Academy,http://www.acresfield.cheshire.sch.uk,Chester,CH2 1LJ,North West,no
134766,896,Cheshire West and Chester,Ancora House School,http://ancorahouseschool.co.uk,Chester,CH2 1BQ,North West,no
111246,896,Cheshire West and Chester,Antrobus St Mark's CofE Primary School,www.antrobusandbudworthprimaryschools.co.uk,Northwich,CW9 6LB,North West,no
111517,896,Cheshire West and Chester,Archers Brook SEMH Residential School,http://www.archersbrook.cheshire.sch.uk,Ellesmere Port,CH66 2NA,North West,no
144058,896,Cheshire West and Chester,Barnton Community Nursery and Primary School,http://www.barnton.cheshire.sch.uk,Northwich,CW8 4QL,North West,no
148455,896,Cheshire West and Chester,Belgrave Primary School,http://www.belgrave.cheshire.sch.uk,Chester,CH4 7QS,North West,no
111424,896,Cheshire West and Chester,Bishop Heber High School,http://www.bishopheber.cheshire.sch.uk,Malpas,SY14 8JD,North West,no
111312,896,Cheshire West and Chester,Bishop Wilson Church of England Primary School,www.bishopwilson.cheshire.sch.uk/,Neston,CH64 5SE,North West,no
111396,896,Cheshire West and Chester,"Blacon High School, A Specialist Sports College",http://www.blaconhighschool.net/,Chester,CH1 5JH,North West,no
141614,896,Cheshire West and Chester,Boughton Heath Academy,www.boughtonheath.cheshire.sch.uk/,Chester,CH3 5RW,North West,no
131956,896,Cheshire West and Chester,Brookside Primary School,www.brookside.cheshire.sch.uk/,Ellesmere Port,CH66 2EE,North West,no
111084,896,Cheshire West and Chester,Cambridge Road Community Primary and Nursery School,http://www.cambridgeroad.school.cheshire.org.uk/,Ellesmere Port,CH65 4AQ,North West,no
111209,896,Cheshire West and Chester,Cherry Grove Primary School,www.cherrygrove.cheshire.sch.uk/,Chester,CH3 5EG,North West,no
136806,896,Cheshire West and Chester,Chester Blue Coat Church of England Primary School,www.chesterbluecoatce.cheshire.sch.uk/,Chester,CH1 4HG,North West,no
144742,896,Cheshire West and Chester,Chester International School,https://www.chesterinternational.co.uk/,Chester,CH4 7AE,North West,no
144529,896,Cheshire West and Chester,Childer Thornton Primary School,http://www.childerthorntonprimary.com,Ellesmere Port,CH66 1QY,North West,no
136645,896,Cheshire West and Chester,Christleton High School,http://www.christletonhigh.co.uk/,Chester,CH3 7AD,North West,no
111149,896,Cheshire West and Chester,Christleton Primary School,www.christletonprimaryschool.co.uk/,Chester,CH3 7AY,North West,no
140093,896,Cheshire West and Chester,Cloughwood Academy,www.cloughwood.com,Northwich,CW8 1NU,North West,no
145076,896,Cheshire West and Chester,Clutton Church of England Primary School,www.cluttonprimary.co.uk/,Chester,CH3 9ER,North West,no
147809,896,Cheshire West and Chester,Comberbach Nursery and Primary School,http://www.comberbach.cheshire.sch.uk,Northwich,CW9 6BG,North West,no
146622,896,Cheshire West and Chester,Cuddington Primary School,http://www.cuddington.cheshire.sch.uk,Northwich,CW8 2NY,North West,no
111133,896,Cheshire West and Chester,Darnhall Primary School,www.darnhall.cheshire.sch.uk,Winsford,CW7 1JL,North West,no
