urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
140839,908,Cornwall,Altarnun Primary School,www.altarnunprimary.org.uk/,Launceston,PL15 7RZ,South West,no
142240,908,Cornwall,Alverton Primary School,http://www.alverton.org.uk/,Penzance,TR18 4QD,South West,no
141622,908,Cornwall,Antony Church of England School,http://www.antony.cornwall.sch.uk,Torpoint,PL11 3AD,South West,no
137258,908,Cornwall,Archbishop Benson CofE Primary School,http://www.archbishop-benson.cornwall.sch.uk/,Truro,TR1 1BN,South West,no
142958,908,Cornwall,Beacon Academy,www.beacon.kernowlearning.co.uk,Bodmin,PL31 1JQ,South West,no
145757,908,Cornwall,Berrycoombe School,www.berrycoombe.createprimary.co.uk/,Bodmin,PL31 2PH,South West,no
137758,908,Cornwall,Biscovey Academy,www.biscovey.org.uk,Par,PL24 2DB,South West,no
143176,908,Cornwall,Biscovey Nursery and Infants' Academy,http://www.biscoveyinfants.org.uk,Par,PL24 2DB,South West,no
140465,908,Cornwall,Bishop Bronescombe CofE School,www.bishopbronescombe.co.uk,St Austell,PL25 3DT,South West,no
142305,908,Cornwall,Blackwater Community Primary School,http://www.blackwater.cornwall.sch.uk/,Truro,TR4 8ES,South West,no
145519,908,Cornwall,Blisland Primary Academy,www.blislandprimary.co.uk,Bodmin,PL30 4JX,South West,no
136383,908,Cornwall,Bodmin College,http://www.bodmincollege.co.uk,Bodmin,PL31 1DD,South West,no
136523,908,Cornwall,Bodriggy Academy,www.bodriggyacademy.info/,Hayle,TR27 4DR,South West,no
111929,908,Cornwall,Boscastle Community Primary School,https://boscastle.cornwall.sch.uk/,Boscastle,PL35 0AU,South West,no
111826,908,Cornwall,Boskenwyn Community Primary School,http://www.boskenwyn.cornwall.sch.uk,Helston,TR13 0NG,South West,no
111875,908,Cornwall,Bosvigo School,www.bosvigo.cornwall.sch.uk/,Truro,TR1 3BJ,South West,no
140576,908,Cornwall,Boyton Community Primary School,http://www.boyton.cornwall.sch.uk/,Launceston,PL15 9RJ,South West,no
140232,908,Cornwall,Braddock CofE Primary School,www.braddock.cornwall.sch.uk/,Liskeard,PL14 4TB,South West,no
145108,908,Cornwall,Brannel School,www.brannel.com,St Austell,PL26 7RN,South West,no
143967,908,Cornwall,Breage CofE Primary School,https://www.breageschool.org/web,Helston,TR13 9PZ,South West,no
136957,908,Cornwall,Brunel Primary & Nursery Academy,www.brunelprimary.co.uk,Saltash,PL12 6DX,South West,no
146076,908,Cornwall,Bude Primary Academy - Infants,http://www.budeprimary.org,Bude,EX23 8EA,South West,no
146077,908,Cornwall,Bude Primary Academy - Juniors,https://www.budejuniors.org.uk,Bude,EX23 8DR,South West,no
143165,908,Cornwall,Bugle School,www.bugleschool.org.uk,St Austell,PL26 8PD,South West,no
143649,908,Cornwall,Callington Community College,www.callingtoncc.net,Callington,PL17 7DR,South West,no
140577,908,Cornwall,Callington Primary School,www.callington-ji.cornwall.sch.uk/,CALLINGTON,PL17 7EF,South West,no
144740,908,Cornwall,Callywith College,www.callywith.ac.uk,Bodmin,PL31 2GT,South West,no
111951,908,Cornwall,Calstock Community Primary School,http://www.calstock.cornwall.sch.uk/,Calstock,PL18 9QL,South West,no
111789,908,Cornwall,Camborne Nursery School,,Camborne,TR14 7DT,South West,no
136524,908,Cornwall,Camborne Science and International Academy,http://www.cambornescience.co.uk/,Camborne,TR14 7PP,South West,no
146388,908,Cornwall,Camelford Community Primary School,www.camelford.cornwall.sch.uk/,Camelford,PL32 9UE,South West,no
146325,908,Cornwall,Cape Cornwall School,www.cape.cornwall.sch.uk,Penzance,TR19 7JX,South West,no
139740,908,Cornwall,Caradon Alternative Provision Academy,,Liskeard,PL14 6BS,South West,no
145754,908,Cornwall,Cardinham School,www.cardinhamschool.co.uk,Bodmin,PL30 4BN,South West,no
142789,908,Cornwall,Chacewater Community Primary School,www.chacewater.cornwall.sch.uk/,Truro,TR4 8PZ,South West,no
136760,908,Cornwall,Charlestown Primary School,www.charlestown.kernowlearning.co.uk,St Austell,PL25 3PB,South West,no
145758,908,Cornwall,Coads Green Primary School,www.coads-green.cornwall.sch.uk,Launceston,PL15 7LY,South West,no
139741,908,Cornwall,Community & Hospital Education Service Ap Academy,www.wavemat.org,Truro,TR1 3AS,South West,no
142144,908,Cornwall,Connor Downs Academy,http://www.connordowns.org.uk,Hayle,TR27 5DH,South West,no
143168,908,Cornwall,Constantine Primary School,www.constantine.kernowlearning.co.uk,Falmouth,TR11 5AG,South West,no
