urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
139660,916,Gloucestershire,Abbey View,www.abbeyviewschool.co.uk,Tewkesbury,GL20 5SW,South West,no
115825,916,Gloucestershire,Alderman Knight School,www.aldermanknight.gloucs.sch.uk,Tewkesbury,GL20 8JJ,South West,no
136016,916,Gloucestershire,"All Saints' Academy, Cheltenham",http://www.asachelt.org/,Cheltenham,GL51 0WH,South West,no
149830,916,Gloucestershire,Amberley Parochial School,https://www.amberleyschool.co.uk/,Stroud,GL5 5JG,South West,no
115735,916,Gloucestershire,Andoversford Primary School,www.andoversford.gloucs.sch.uk/,Cheltenham,GL54 4HR,South West,no
149677,916,Gloucestershire,Ann Cam Church of England Primary School,www.anncam.gloucs.sch.uk/,Dymock,GL18 2BH,South West,no
115650,916,Gloucestershire,Ann Edwards Church of England Primary School,http://www.annedwards.gloucs.sch.uk,Cirencester,GL7 5UW,South West,no
149619,916,Gloucestershire,Avening Primary School,www.avening.gloucs.sch.uk/,Tetbury,GL8 8NF,South West,no
148211,916,Gloucestershire,Aylburton Church of England Primary School,www.aylburtoncofe.co.uk/,Lydney,GL15 6DB,South West,no
136474,916,Gloucestershire,Balcarras School,http://www.balcarras.gloucs.sch.uk/,Cheltenham,GL53 8QF,South West,no
151538,916,Gloucestershire,Barnwood Park School,http://www.barnwoodpark.co.uk,Gloucester,GL4 3QU,South West,no
147562,916,Gloucestershire,Battledown Centre for Children and Families,http://www.battledown.org.uk,Cheltenham,GL52 6PZ,South West,no
147577,916,Gloucestershire,Belmont School,belmont.sandmat.uk,Cheltenham,GL51 3AT,South West,no
143207,916,Gloucestershire,Berkeley Primary School,http://www.berkeleyprimary.org.uk,Berkeley,GL13 9AZ,South West,no
115549,916,Gloucestershire,Berry Hill Primary School,http://www.berryhill.gloucs.sch.uk,Coleford,GL16 7AT,South West,no
115821,916,Gloucestershire,Bettridge School,https://bettridgeschool.co.uk,Cheltenham,GL51 3AT,South West,no
146812,916,Gloucestershire,Bibury Church of England Primary School,http://www.bibury.gloucs.sch.uk,Cirencester,GL7 5NR,South West,no
115515,916,Gloucestershire,Birdlip Primary School,www.birdlipprimary.co.uk,Gloucester,GL4 8JH,South West,no
137271,916,Gloucestershire,Bishops Cleeve Primary Academy,www.bishopscleeve.gloucs.sch.uk/,Cheltenham,GL52 8NN,South West,no
115612,916,Gloucestershire,Bisley Blue Coat Church of England Primary School,http://www.bisleybluecoat.gloucs.sch.uk,Stroud,GL6 7BE,South West,no
115502,916,Gloucestershire,Blakeney Primary School,www.bpwfederation.co.uk,Blakeney,GL15 4EB,South West,no
115505,916,Gloucestershire,Bledington Primary School,www.bledington.gloucs.sch.uk,Chipping Norton,OX7 6US,South West,no
139524,916,Gloucestershire,Blockley Church of England Primary School,www.blockleyprimaryschool.co.uk/,Moreton-in-Marsh,GL56 9BY,South West,no
115734,916,Gloucestershire,Blue Coat CofE Primary School,www.bluecoatprimary.com,Wotton-under-Edge,GL12 7BD,South West,no
139291,916,Gloucestershire,Bourton-on-the-Water Primary School,https://bourton.school,Cheltenham,GL54 2AW,South West,no
148230,916,Gloucestershire,Bream Church of England Primary School,www.breamcofeprimary.co.uk,Lydney,GL15 6JW,South West,no
138674,916,Gloucestershire,Brockworth Primary Academy,https://sites.google.com/aetinet.org/brockworth-primary-academy?pli=1,Gloucester,GL3 4JL,South West,no
151067,916,Gloucestershire,Bromesberrow St Mary's Church of England Primary School,www.bromesberrowschool.co.uk/,Ledbury,HR8 1RT,South West,no
149073,916,Gloucestershire,Brook Academy,https://www.brook.learnmat.uk,Gloucester,GL3 4ZN,South West,no
150052,916,Gloucestershire,Callowell Primary School,www.callowellschool.co.uk,Stroud,GL5 4DG,South West,no
150931,916,Gloucestershire,Calton Primary School,www.caltonprimary.co.uk/,Gloucester,GL1 5ET,South West,no
145729,916,Gloucestershire,Cam Woodfield Junior School,camwoodfield-junior.uk,Dursley,GL11 6JJ,South West,no
150854,916,Gloucestershire,Carrant Brook Junior School,,Tewkesbury,GL20 8RP,South West,no
115509,916,Gloucestershire,Chalford Hill Primary School,www.chalfordhill.gloucs.sch.uk/,Stroud,GL6 8LG,South West,no
136999,916,Gloucestershire,Charlton Kings Infants' School,http://www.ckis.org.uk,Cheltenham,GL53 8AY,South West,no
137266,916,Gloucestershire,Charlton Kings Junior School,http://www.ckjs.org.uk,Cheltenham,GL53 8QE,South West,no
136725,916,Gloucestershire,Cheltenham Bournside School and Sixth Form Centre,http://www.bournside.gloucs.sch.uk/,Cheltenham,GL51 3EF,South West,no
146326,916,Gloucestershire,Chesterton Primary School,www.chestertonprimary.net,Cirencester,GL7 1SS,South West,no
136960,916,Gloucestershire,Chipping Campden School,http://www.campden.school/,Chipping Campden,GL55 6HU,South West,no
136623,916,Gloucestershire,Chosen Hill School,http://www.chosen-hill.gloucs.sch.uk/,Gloucester,GL3 2PL,South West,no
138940,916,Gloucestershire,Christ Church CofE Primary School,http://www.christchurchschool-chelt.co.uk,Cheltenham,GL50 2NR,South West,no
115510,916,Gloucestershire,Churcham Primary School,www.churchamprimaryschool.co.uk/,Gloucester,GL2 8BD,South West,no
115511,916,Gloucestershire,Churchdown Parton Manor Infant School,www.partonmanorfed.co.uk,Gloucester,GL3 2AG,South West,no
137634,916,Gloucestershire,Churchdown School,http://www.churchdownschool.com/,Gloucester,GL3 2RB,South West,no
137173,916,Gloucestershire,Churchdown Village Infant School,www.churchdownvillageinf.co.uk/,Gloucester,GL3 2NB,South West,no
115512,916,Gloucestershire,Churchdown Village Junior School,www.cvjs.org.uk,Gloucester,GL3 2JX,South West,no
136527,916,Gloucestershire,Cirencester Deer Park School,http://www.deerparkschool.net,Cirencester,GL7 1XB,South West,no
137217,916,Gloucestershire,Cirencester Kingshill School,http://www.cirencesterkingshill.gloucs.sch.uk/,Cirencester,GL7 1HS,South West,no
135985,916,Gloucestershire,Cirencester Primary School,http://www.cirencesterprimaryschool.co.uk,Cirencester,GL7 1EX,South West,no
143712,916,Gloucestershire,Clearwater Church of England Primary Academy,http://www.clearwateracademy.co.uk/,Gloucester,GL2 4GH,South West,no
115638,916,Gloucestershire,Clearwell Church of England Primary School,www.clearwellprimaryschool.co.uk,Coleford,GL16 8LG,South West,no
136772,916,Gloucestershire,Cleeve School,http://www.cleeveschool.net,Cheltenham,GL52 8AE,South West,no
145408,916,Gloucestershire,Coaley Church of England Primary Academy,www.coaleyacademy.co.uk,Dursley,GL11 5EB,South West,no
115551,916,Gloucestershire,Coalway Community Infant School,www.coalway-inf.gloucs.sch.uk,Coleford,GL16 7HL,South West,no
115550,916,Gloucestershire,Coalway Junior School,www.coalwayjunior.co.uk/,Coleford,GL16 7HL,South West,no
115617,916,Gloucestershire,Coberley Church of England Primary School,www.coberley.gloucs.sch.uk/,Cheltenham,GL53 9QZ,South West,no
149254,916,Gloucestershire,Cold Aston Church of England Primary School,www.coldastonprimaryschool.co.uk,Cheltenham,GL54 3BN,South West,no
136074,916,Gloucestershire,Coopers Edge School,www.coopersedge.gloucs.sch.uk/,Brockworth,GL3 4DY,South West,no
115619,916,Gloucestershire,Deerhurst and Apperley Church of England Primary School,www.deerhurst.gloucs.sch.uk/,Gloucester,GL19 4DQ,South West,no
137387,916,Gloucestershire,Dene Magna School,http://www.denemagna.gloucs.sch.uk/,Mitcheldean,GL17 0DU,South West,no
