urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
117083,919,Hertfordshire,Abbots Langley School,http://www.abbotslangley.herts.sch.uk,Abbots Langley,WD5 0BQ,East of England,no
117111,919,Hertfordshire,Abel Smith School,http://www.abelsmith.herts.sch.uk,Hertford,SG13 8AE,East of England,no
138231,919,Hertfordshire,Alban City School,www.albancityschool.org.uk/,St Albans,AL1 3RR,East of England,no
144907,919,Hertfordshire,Alban Wood Primary School and Nursery,www.albanwood.herts.sch.uk/,Watford,WD25 7NX,East of England,no
117221,919,Hertfordshire,Almond Hill Junior School,http://www.almondhill.herts.sch.uk/,Stevenage,SG1 3RP,East of England,no
150844,919,Hertfordshire,Andrews Lane Primary School,,Waltham Cross,EN7 6LB,East of England,no
117218,919,Hertfordshire,Anstey First School,www.anstey.herts.sch.uk,Buntingford,SG9 0BY,East of England,no
137943,919,Hertfordshire,Applecroft School,http://www.applecroft.herts.sch.uk/,Welwyn Garden City,AL8 6JZ,East of England,no
117066,919,Hertfordshire,Arlesdene Nursery School and Pre-School,www.arlesdene.herts.sch.uk,Waltham Cross,EN8 9DW,East of England,no
117289,919,Hertfordshire,Arnett Hills Junior Mixed and Infant School,http://www.arnetthills.herts.sch.uk,Rickmansworth,WD3 4BT,East of England,no
140956,919,Hertfordshire,Ascot Road Primary School,https://www.ascotroad.herts.sch.uk/,Watford,WD18 8AD,East of England,no
151215,919,Hertfordshire,Ashtree Primary Academy,,Stevenage,SG2 9JQ,East of England,no
117084,919,Hertfordshire,Ashwell Primary School,www.ashwell.herts.sch.uk/,Baldock,SG7 5QL,East of England,no
117421,919,Hertfordshire,Aston St Mary's Church of England Aided Primary School,http://www.astonmarys.herts.sch.uk/,Stevenage,SG2 7HA,East of England,no
149537,919,Hertfordshire,Avanti Brook Primary School,https://avanti.org.uk/avantibrook/principals-welcome/,Bishops Stortford,CM23 2UW,East of England,no
149078,919,Hertfordshire,Avanti Grange Secondary School,https://avanti.org.uk/avantigrange/,Bishops Stortford,CM23 2BD,East of England,no
147834,919,Hertfordshire,Avanti Meadows Primary School,https://avanti.org.uk/avantimeadows/,Bishop's Stortford,CM23 1FQ,East of England,no
144623,919,Hertfordshire,Barclay Academy,www.barclay.futureacademies.org,Stevenage,SG1 3RB,East of England,no
117422,919,Hertfordshire,Barkway VA Church of England First School,https://www.barleybarkway.herts.sch.uk/,Royston,SG8 8EF,East of England,no
117386,919,Hertfordshire,Barley (VA) Church of England First School,https://www.barleybarkway.herts.sch.uk/,Royston,SG8 8JW,East of England,no
117674,919,Hertfordshire,Batchwood School,www.batchwood.herts.sch.uk,St Albans,AL3 5RP,East of England,no
138286,919,Hertfordshire,Beaumont School,http://www.beaumontschool.com,St Albans,AL4 0XB,East of England,no
144959,919,Hertfordshire,Bedmond Academy,https://bedmondacademy.org.uk,Abbots Langley,WD5 0RD,East of England,no
117200,919,Hertfordshire,Bedwell Primary School,www.bedwell.herts.sch.uk/,Stevenage,SG1 1NJ,East of England,no
145487,919,Hertfordshire,Beech Hyde Primary School and Nursery,beechhyde.herts.sch.uk,St. Albans,AL4 8TP,East of England,no
145350,919,Hertfordshire,Beechfield School,http://www.beechfield.herts.sch.uk/,Watford,WD24 5TY,East of England,no
117135,919,Hertfordshire,Bernards Heath Infant and Nursery School,www.bernardsheath.herts.sch.uk/,St Albans,AL1 4AP,East of England,no
117143,919,Hertfordshire,Bernards Heath Junior School,http://www.bernardsheathjnr.herts.sch.uk,St Albans,AL3 5HP,East of England,no
132105,919,Hertfordshire,Birchwood Avenue Primary School,www.birchwoodavenue.herts.sch.uk/,Hatfield,AL10 0PS,East of England,no
137637,919,Hertfordshire,Birchwood High School,http://www.birchwoodonline.co.uk/,Bishop's Stortford,CM23 5BD,East of England,no
137757,919,Hertfordshire,Bishop's Hatfield Girls' School,http://www.bishophatfield.herts.sch.uk/,Hatfield,AL10 8NL,East of England,no
117366,919,Hertfordshire,Bonneygrove Primary School,http://www.bonneygrove.herts.sch.uk,Waltham Cross,EN7 5ED,East of England,no
136857,919,Hertfordshire,Bovingdon Primary Academy,http://www.bovingdonacademy.org.uk/,Hemel Hempstead,HP3 0HL,East of England,no
117187,919,Hertfordshire,Bowmansgreen Primary School,www.bowmansgreen.herts.sch.uk/,St Albans,AL2 1PH,East of England,no
117107,919,Hertfordshire,Boxmoor Primary School,www.boxmoor.herts.sch.uk,Hemel Hempstead,HP1 1PF,East of England,no
147679,919,Hertfordshire,Brandles School,www.brandles.herts.sch.uk,Baldock,SG7 6EY,East of England,no
117541,919,Hertfordshire,Bridgewater Primary School,http://www.bridgewater.herts.sch.uk/,Berkhamsted,HP4 1ES,East of England,no
144909,919,Hertfordshire,Broadfield Academy,www.broadfieldacademy.org.uk,Hemel Hempstead,HP2 4BX,East of England,no
144908,919,Hertfordshire,Bromet Primary School,http://www.bromet.herts.sch.uk/,Watford,WD19 4SG,East of England,no
117272,919,Hertfordshire,Brookland Infant and Nursery School,www.brooklandinfants.herts.sch.uk/,Waltham Cross,EN8 0RX,East of England,no
117233,919,Hertfordshire,Brookland Junior School,http://www.brooklandjm.herts.sch.uk/,Waltham Cross,EN8 0RX,East of England,no
117189,919,Hertfordshire,Broom Barns Primary School,http://www.broombarns.herts.sch.uk/,Stevenage,SG1 1UE,East of England,no
149748,919,Hertfordshire,Buntingford First School,https://www.buntingfordfirstschool.co.uk/,Buntingford,SG9 9HZ,East of England,no
117088,919,Hertfordshire,Bushey Heath Primary School,http://www.busheyheathjm.herts.sch.uk/,Bushey,WD23 1SP,East of England,no
117242,919,Hertfordshire,Bushey Manor Junior School,http://www.busheymanorjm.herts.sch.uk/,Bushey,WD23 2QL,East of England,no
137872,919,Hertfordshire,Bushey Meads School,http://www.busheymeads.org.uk/,Bushey,WD23 4PA,East of England,no
117157,919,Hertfordshire,Bushey and Oxhey Infant School,http://www.oxhey.herts.sch.uk/,Bushey,WD23 2QH,East of England,no
117136,919,Hertfordshire,Camp Primary and Nursery School,www.camp.herts.sch.uk/,St Albans,AL1 5PG,East of England,no
143786,919,Hertfordshire,Camps Hill Primary School,http://www.campshill.herts.sch.uk,Stevenage,SG2 0LT,East of England,no
117293,919,Hertfordshire,Cassiobury Infant and Nursery School,www.cassioburyinfants.herts.sch.uk/,Watford,WD17 3PE,East of England,no
117167,919,Hertfordshire,Cassiobury Junior School,http://www.cassioburyjm.herts.sch.uk,Watford,WD17 3PD,East of England,no
117214,919,Hertfordshire,Chambersbury Primary School,http://www.chambersbury.herts.sch.uk/,Hemel Hempstead,HP3 8JH,East of England,no
147246,919,Hertfordshire,Chancellor's School,http://www.chancellors.herts.sch.uk,Hatfield,AL9 7BN,East of England,no
117159,919,Hertfordshire,Chater Infant School,www.chaterinfants.herts.sch.uk,Watford,WD18 7RD,East of England,no
145353,919,Hertfordshire,Cherry Tree Primary School,www.cherrytree.herts.sch.uk/,Watford,WD24 6ST,East of England,no
130349,919,Hertfordshire,Chessbrook Education Support Centre,www.chessbrook.herts.sch.uk,Watford,WD18 6LJ,East of England,no
117093,919,Hertfordshire,Chorleywood Primary School,http://www.chorleywood.herts.sch.uk/,Rickmansworth,WD3 5HR,East of England,no
139507,919,Hertfordshire,Christ Church Chorleywood CofE School,http://www.christchurchschool.herts.sch.uk,Rickmansworth,WD3 5SG,East of England,no
143856,919,Hertfordshire,Churchfield Church of England Academy,www.churchfield.herts.sch.uk,Waltham Cross,EN8 0LU,East of England,no
131456,919,Hertfordshire,Clore Shalom School,www.cloreshalom.herts.sch.uk/,Shenley,WD7 9BL,East of England,no
