urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
118180,921,Isle of Wight,Arreton St George's Church of England (Aided) Primary School,www.arretoncepri.iow.sch.uk,Newport,PO30 3AD,South East,no
118163,921,Isle of Wight,Barton Primary School,www.bartonprimaryschool.co.uk/,Newport,PO30 2AX,South East,no
118181,921,Isle of Wight,Bembridge Church of England Primary School,http://www.bembridgeceprimary.co.uk/,Bembridge,PO35 5RH,South East,no
118176,921,Isle of Wight,Binstead Primary School,www.binsteadpri.co.uk,Ryde,PO33 3SA,South East,no
118182,921,Isle of Wight,Brading Church of England Controlled Primary School,www.bradingcepri.iow.sch.uk,Sandown,PO36 0DS,South East,no
118192,921,Isle of Wight,Brighstone Church of England Aided Primary School,www.brighstoneprimary.org.uk,Newport,PO30 4BB,South East,no
118175,921,Isle of Wight,Broadlea Primary School,www.broadleaprimary.co.uk/,Sandown,PO36 9PE,South East,no
118183,921,Isle of Wight,Carisbrooke Church of England Controlled Primary School,www.carisbrookecepri.iow.sch.uk,Newport,PO30 5QT,South East,no
150100,921,Isle of Wight,Carisbrooke College,https://carisbrooke.iow.sch.uk,Newport,PO30 5QU,South East,no
140845,921,Isle of Wight,"Cowes Enterprise College, An Ormiston Academy",http://www.cowesec.org,Cowes,PO31 8HB,South East,no
118179,921,Isle of Wight,Dover Park Primary School,www.doverpark.co.uk,"Ryde, Isle of Wight",PO33 2BN,South East,no
118194,921,Isle of Wight,Freshwater & Yarmouth Church of England Aided Primary School,www.fosay.co.uk,Freshwater,PO40 9AX,South East,no
118158,921,Isle of Wight,Gatten and Lake Primary School,www.gattenandlake.wordpress.com,Shanklin,PO37 7DG,South East,no
118159,921,Isle of Wight,Godshill Primary School,www.godshillprimaryschool.co.uk,Ventnor,PO38 3HJ,South East,no
118177,921,Isle of Wight,Greenmount Primary School,www.greenmount.iow.sch.uk,Ryde,PO33 3PT,South East,no
118160,921,Isle of Wight,Gurnard Primary School,www.gurnardprimaryschool.co.uk,Cowes,PO31 8DS,South East,no
118168,921,Isle of Wight,Haylands Primary School,http://www.haylands.iow.sch.uk,Ryde,PO33 3HA,South East,no
118198,921,Isle of Wight,Holy Cross Catholic Primary School,www.holycrossrcpri.iow.sch.uk,East Cowes,PO32 6AS,South East,no
118167,921,Isle of Wight,Hunnyhill Primary School,www.hunnyhillschool.co.uk,Newport,PO30 5SH,South East,no
141305,921,Isle of Wight,Lanesend Primary School,www.lanesendprimary.co.uk,Cowes,PO31 7ES,South East,no
133744,921,Isle of Wight,Lionheart School,www.Islandlearning.co.uk,Newport,PO30 5HZ,South East,no
150099,921,Isle of Wight,Medina College,https://medina.iow.sch.uk,Newport,PO30 2DX,South East,no
118228,921,Isle of Wight,Medina House School,http://www.medinahouseschool.co.uk,Newport  Isle of Wight,PO30 2HS,South East,no
118161,921,Isle of Wight,Nettlestone Primary School,www.nettlestoneprimaryschool.co.uk,Seaview,PO34 5DY,South East,no
118162,921,Isle of Wight,Newchurch Primary School,www.newchurchprimaryschool.co.uk,Sandown,PO36 0NL,South East,no
118200,921,Isle of Wight,Newport Church of England Aided Primary School,www.newportcepri.iow.sch.uk/,Newport,PO30 5GD,South East,no
118164,921,Isle of Wight,Nine Acres Primary School,www.nineacrespri.iow.sch.uk,Newport,PO30 1QP,South East,no
118165,921,Isle of Wight,Niton Primary School,www.nitonprimary.org/,Ventnor,PO38 2BP,South East,no
139454,921,Isle of Wight,Northwood Primary School,http://www.northwoodpri.co.uk,Cowes,PO31 8PU,South East,no
118193,921,Isle of Wight,"Oakfield Church of England Aided Primary School, Ryde",www.oakfieldcepri.iow.sch.uk/,Ryde,PO33 1NE,South East,no
136008,921,Isle of Wight,Queensgate Foundation Primary,www.queensgateprimary.co.uk,East Cowes,PO32 6PA,South East,no
136753,921,Isle of Wight,Ryde Academy,www.rydeacademy.org,Ryde,PO33 3LN,South East,no
118188,921,Isle of Wight,Shalfleet Church of England Primary School,www.fosay.co.uk/,Newport,PO30 4NN,South East,no
139644,921,Isle of Wight,St Blasius Shanklin CofE Primary Academy,www.stblasiusacademy.co.uk,Shanklin,PO37 7LY,South East,no
143541,921,Isle of Wight,St Francis Catholic and Church of England Primary Academy,http://www.stfrancisventnoracademy.org,Ventnor,PO38 1BQ,South East,no
118227,921,Isle of Wight,St George's School,https://stgeorges-school.co.uk/,Newport,PO30 1XW,South East,no
118169,921,Isle of Wight,St Helens Primary School,www.sthelenspri.iow.sch.uk,Ryde,PO33 1XH,South East,no
118195,921,Isle of Wight,St Mary's Catholic Primary School,www.stmaryspri.co.uk,Ryde,PO33 1LJ,South East,no
118196,921,Isle of Wight,St Saviour's Catholic Primary School,www.stsavioursrcpri.co.uk,Totland Bay,PO39 0HQ,South East,no
118199,921,Isle of Wight,St Thomas of Canterbury Catholic Primary School,www.stthomaspri.co.uk,Newport,PO30 1NR,South East,no
118178,921,Isle of Wight,Summerfields Primary School,www.summerfieldsprimary.co.uk,Newport,PO30 2LJ,South East,no
136013,921,Isle of Wight,The Bay Church of England School,www.bayceschool.org,Sandown,PO36 9BA,South East,no
140691,921,Isle of Wight,The Island Free School,http://www.theislandfreeschool.org/,Ventnor,PO38 1BG,South East,no
118172,921,Isle of Wight,Wootton Community Primary School,https://woottonprimaryschool.co.uk/,Ryde,PO33 4PT,South East,no
118173,921,Isle of Wight,Wroxall Primary School,www.wroxallprimary.co.uk,Ventnor,PO38 3DP,South East,no
135552,921,Isle of Wight,Christ The King College,http://www.christthekingcollege.co.uk,Newport,PO30 5QT,South East,yes
