urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
139774,925,Lincolnshire,Acorn Free School,www.theacornschool.co.uk,Lincoln,LN5 9TL,East Midlands,no
142136,925,Lincolnshire,Aegir - A Specialist Academy,www.aegirspecialistacademy.co.uk,Gainsborough,DN21 1PB,East Midlands,no
120440,925,Lincolnshire,Alford Primary School,http://www.alford.lincs.sch.uk/,Alford,LN13 9BJ,East Midlands,no
131277,925,Lincolnshire,Athena School,www.athenaschool.org.uk,Lincoln,LN5 8EL,East Midlands,no
120589,925,Lincolnshire,Bardney Church of England and Methodist Primary School,http://www.bardneyschool.co.uk,Lincoln,LN3 5XJ,East Midlands,no
120689,925,Lincolnshire,Barkston and Syston CofE Primary School,http://www.barkstonsyston.lincs.sch.uk,Grantham,NG32 2NB,East Midlands,no
120513,925,Lincolnshire,Barrowby Church of England Primary School,http://www.barrowby.lincs.sch.uk/,Grantham,NG32 1BX,East Midlands,no
145437,925,Lincolnshire,Bassingham Primary School,http://www.bassinghamschool.org,Lincoln,LN5 9HQ,East Midlands,no
139702,925,Lincolnshire,Beacon Primary Academy,www.beaconprimaryacademy.org/,Skegness,PE25 2RN,East Midlands,no
138063,925,Lincolnshire,Benjamin Adlard Primary School,https://www.benjaminadlard.anthemtrust.uk/,Gainsborough,DN21 1DB,East Midlands,no
151274,925,Lincolnshire,Billingborough Primary School,https://billingborough-cit.co.uk/,Sleaford,NG34 0NX,East Midlands,no
120565,925,Lincolnshire,Binbrook CofE Primary School,http://www.binbrook.lincs.sch.uk/,Market Rasen,LN8 6DU,East Midlands,no
120619,925,Lincolnshire,Blyton Cum Laughton Church of England School,www.blyton.lincs.sch.uk,Gainsborough,DN21 3JX,East Midlands,no
142666,925,Lincolnshire,Boston Endeavour Academy,http://www.bea-cit.co.uk,Boston,PE21 0PX,East Midlands,no
139140,925,Lincolnshire,Boston High School,http://www.bostonhighschool.co.uk/,Boston,PE21 9PF,East Midlands,no
126564,925,Lincolnshire,Boston Nursery School,www.boston-nur.lincs.sch.uk,Boston,PE21 0LJ,East Midlands,no
139597,925,Lincolnshire,Boston Pioneers Free School Academy,www.bostonpioneersacademy.net,Boston,PE21 8SS,East Midlands,no
138291,925,Lincolnshire,Boston West Academy,www.bwacademy.co.uk,Boston,PE21 7QG,East Midlands,no
136354,925,Lincolnshire,Bourne Abbey Church of England Primary Academy,www.bourneabbeyprimary.co.uk,Bourne,PE10 9EP,East Midlands,no
137572,925,Lincolnshire,Bourne Academy,http://www.bourneacademy.org,Bourne,PE10 9DT,East Midlands,no
140214,925,Lincolnshire,Bourne Elsea Park Church of England Primary Academy,www.bourneelseaparkprimary.co.uk,Bourne,PE10 0WP,East Midlands,no
137793,925,Lincolnshire,Bourne Grammar School,http://www.bourne-grammar.lincs.sch.uk/,Bourne,PE10 9JE,East Midlands,no
137599,925,Lincolnshire,Bourne Westfield Primary Academy,http://www.bournewestfield.lincs.sch.uk,Bourne,PE10 9QS,East Midlands,no
137794,925,Lincolnshire,Bracebridge Heath St John's Primary Academy,http://www.stjohnsprimaryacademy.co.uk,Lincoln,LN4 2LD,East Midlands,no
139142,925,Lincolnshire,Bracebridge Infant and Nursery School,www.bracebridge.lincs.sch.uk/,Lincoln,LN5 8QG,East Midlands,no
144122,925,Lincolnshire,Branston Church of England Infant Academy,http://www.branston-infant.lincs.sch.uk,Lincoln,LN4 1PR,East Midlands,no
