urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
138758,926,Norfolk,Acle Academy,http://www.acleacademy.co.uk,Norwich,NR13 3ER,East of England,no
149877,926,Norfolk,Acle Church of England Primary Academy,http://www.acleprimary.norfolk.sch.uk,Norwich,NR13 3RQ,East of England,no
145028,926,Norfolk,Admirals Academy,www.admiralsacademy.co.uk,Thetford,IP24 2JT,East of England,no
148994,926,Norfolk,Alburgh With Denton Church of England Primary Academy,http://www.alburghwithdentonprimaryschool.co.uk,Harleston,IP20 0BW,East of England,no
120777,926,Norfolk,Aldborough Primary School,http://www.aldborough.norfolk.sch.uk,Norwich,NR11 7PH,East of England,no
145089,926,Norfolk,Alderman Peel High School,www.wensumtrust.org.uk/aldermanpeel,Wells-next-the-Sea,NR23 1RB,East of England,no
141464,926,Norfolk,All Saints Academy,villagesaintspartnership.demat.org.uk,King's Lynn,PE33 9QJ,East of England,no
121128,926,Norfolk,"All Saints Church of England Voluntary Aided Primary School, Winfarthing",www.federationschools.org,Diss,IP22 2DZ,East of England,no
150490,926,Norfolk,All Saints Stibbard Church of England Primary Academy and Nursery,www.stibbardallsaints.com,Fakenham,NR21 0LT,East of England,no
121147,926,Norfolk,Alpington and Bergh Apton Church of England Voluntary Aided Primary School,http://www.alpington.norfolk.sch.uk,Norwich,NR14 7NH,East of England,no
145628,926,Norfolk,Angel Road Infant School,https://www.angelroadschools.org.uk,Norwich,NR3 3HR,East of England,no
145737,926,Norfolk,Angel Road Junior School,https://www.angelroadschools.org.uk,Norwich,NR3 3HR,East of England,no
141758,926,Norfolk,Anthony Curton CofE Primary School,anthonycurton.demat.org.uk,Wisbech,PE14 7NG,East of England,no
141226,926,Norfolk,Antingham and Southrepps Primary School,www.antinghamsouthrepps.co.uk,Norwich,NR11 8UG,East of England,no
139736,926,Norfolk,Arden Grove Infant and Nursery School,http://www.ardengrove.norfolk.sch.uk,Norwich,NR6 6QA,East of England,no
121135,926,Norfolk,Ashwicken Church of England Voluntary Aided Primary School,www.ashwickenschool.co.uk,King's Lynn,PE32 1LY,East of England,no
143961,926,Norfolk,Aslacton Primary School,https://www.aslactonprimary.org.uk/,Norwich,NR15 2JH,East of England,no
144565,926,Norfolk,Astley Primary School,www.astleyprimary.org.uk,Melton Constable,NR24 2HH,East of England,no
140534,926,Norfolk,Attleborough Academy,www.attleboroughacademy.org,Attleborough,NR17 2AJ,East of England,no
120926,926,Norfolk,Attleborough Primary School,http://www.attleborough-pri.norfolk.sch.uk,Attleborough,NR17 2NA,East of England,no
121164,926,Norfolk,Aylsham High School,http://www.aylshamhigh.com/,Norwich,NR11 6AN,East of England,no
120781,926,Norfolk,Bacton Primary School,www.bacton.norfolk.sch.uk/,Norwich,NR12 0EY,East of England,no
143463,926,Norfolk,Banham Primary School,www.banham.cee.coop,Norwich,NR16 2EX,East of England,no
120783,926,Norfolk,Barford Primary School,http://www.barfordprimary.net,Norwich,NR9 4AB,East of England,no
121199,926,Norfolk,Barnham Broom Church of England Voluntary Aided Primary School,www.barnhambroomprimaryschool.co.uk,Norwich,NR9 4BU,East of England,no
143949,926,Norfolk,Bawdeswell Community Primary School,,Dereham,NR20 4RR,East of England,no
144317,926,Norfolk,Beeston Primary School,https://www.beestonprimary.uk/,King's Lynn,PE32 2NQ,East of England,no
144640,926,Norfolk,Bignold Primary School and Nursery,www.bignoldprimaryschool.co.uk,Norwich,NR2 2SY,East of England,no
121108,926,Norfolk,Blakeney Church of England Voluntary Aided Primary School,http://www.blakeney.norfolk.sch.uk/,Holt,NR25 7NJ,East of England,no
144021,926,Norfolk,Blenheim Park Academy,www.blenheimpark.norfolk.sch.uk,Fakenham,NR21 7PX,East of England,no
120788,926,Norfolk,Blofield Primary School,www.blofieldprimary.co.uk,Norwich,NR13 4RH,East of England,no
147940,926,Norfolk,Bluebell Primary School,www.bps-edu.co.uk,Norwich,NR4 7DS,East of England,no
