urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
144181,929,Northumberland,Abbeyfields First School,https://afs.cheviotlt.co.uk/,Morpeth,NE61 2LZ,North East,no
143543,929,Northumberland,Adderlane Academy,https://adderlane.wiseacademies.co.uk/,Prudhoe,NE42 5HX,North East,no
122171,929,Northumberland,Allendale Primary School,www.allendaleprimary.northumberland.sch.uk,Allendale,NE47 9PS,North East,no
122173,929,Northumberland,Amble Links Primary School,www.amblelinks.northumberland.sch.uk,Morpeth,NE65 0SA,North East,no
144601,929,Northumberland,Ashington Academy,www.ashingtonacademy.co.uk,Ashington,NE63 8DH,North East,no
122222,929,Northumberland,Beaufront First School,http://www.beaufront.northumberland.sch.uk/,Hexham,NE46 4LY,North East,no
135619,929,Northumberland,Bede Academy,www.bedeacademy.org.uk,Blyth,NE24 2SY,North East,no
144977,929,Northumberland,Bedlington Academy,www.bedlingtonacademy.co.uk,Bedlington,NE22 7DS,North East,no
122176,929,Northumberland,Bedlington West End Primary School,www.westend.northumberland.sch.uk/,Bedlington,NE22 6EB,North East,no
122281,929,Northumberland,Bedlington Whitley Memorial Church of England Primary School,www.whitley.northumberland.sch.uk/,Bedlington,NE22 5DE,North East,no
122244,929,Northumberland,Belford Primary School,http://www.belfordprimary.northumberland.sch.uk/,Belford,NE70 7QD,North East,no
122350,929,Northumberland,Bellingham Middle School and Sports College,http://www.bellinghammiddle.northumberland.sch.uk/,Hexham,NE48 2EN,North East,no
122183,929,Northumberland,Bellingham Primary School,http://www.bellinghamprimary.northumberland.sch.uk/,Hexham,NE48 2EL,North East,no
145779,929,Northumberland,Belsay Primary School,https://www.belsay.northumberland.sch.uk/,Newcastle-upon-Tyne,NE20 0ET,North East,no
137598,929,Northumberland,Berwick Academy,http://www.berwickacademy.co.uk,Berwick-upon-Tweed,TD15 2JF,North East,no
122271,929,Northumberland,Berwick St Mary's Church of England First School,http://www.berwickstmarysschool.co.uk,Berwick-upon-Tweed,TD15 1SP,North East,no
122239,929,Northumberland,Bothal Primary School,,Ashington,NE63 8HZ,North East,no
122285,929,Northumberland,Broomhaugh (VA) Church of England First School,www.broomhaugh.northumberland.sch.uk,Riding Mill,NE44 6DR,North East,no
146860,929,Northumberland,Broomley First School,https://bfs.cheviotlt.co.uk/,Stocksfield,NE43 7NN,North East,no
122266,929,Northumberland,Burnside Primary School,www.burnsideprimary.co.uk/,Cramlington,NE23 1XZ,North East,no
122232,929,Northumberland,Cambo First School,www.camboschool.com/,Morpeth,NE61 4BE,North East,no
122179,929,Northumberland,Cambois Primary School,www.cambois.northumberland.sch.uk,Blyth,NE24 1RD,North East,no
122272,929,Northumberland,Chollerton Church of England Aided First School,http://www.chollerton.northumberland.sch.uk/,Hexham,NE48 4AA,North East,no
122180,929,Northumberland,Choppington Primary School,www.choppington.northumberland.sch.uk/,Choppington,NE62 5RR,North East,no
122389,929,Northumberland,Collingwood School & Media Arts College,http://www.collingwoodmediacollege.co.uk,Morpeth,NE61 2HA,North East,no
122287,929,Northumberland,Corbridge (VA) Church of England First School,http://www.corbridgefirst.northumberland.sch.uk/,Corbridge,NE45 5JQ,North East,no
122326,929,Northumberland,Corbridge Middle School,www.corbridgemiddle.co.uk,Corbridge,NE45 5HX,North East,no
134473,929,Northumberland,Cragside CofE Controlled Primary School,www.cragside.northumberland.sch.uk,Cramlington,NE23 6LW,North East,no
122383,929,Northumberland,Cramlington Hillcrest School,http://www.hillcrest.northumberland.sch.uk/,Cramlington,NE23 1DY,North East,no
137457,929,Northumberland,Cramlington Learning Village,http://www.cramlingtonlv.co.uk/,Cramlington,NE23 6BN,North East,no
122269,929,Northumberland,Cramlington Northburn Primary School,www.northburn.northumberland.sch.uk/,Cramlington,NE23 3QS,North East,no
138257,929,Northumberland,Cramlington Village Primary School,www.villageprimary.org,Cramlington,NE23 2SN,North East,no
146545,929,Northumberland,Croftway Academy,https://croftway.wiseacademies.co.uk/,Blyth,NE24 2HP,North East,no
145781,929,Northumberland,Darras Hall Primary School,www.darrashallprimary.com,Newcastle-upon-Tyne,NE20 9DS,North East,no
145639,929,Northumberland,Dr Thomlinson Church of England Middle School,www.dtms.cheviotlt.co.uk,Morpeth,NE65 7RJ,North East,no
122289,929,Northumberland,Ellingham Church of England Aided Primary School,www.ellingham.northumberland.sch.uk,Chathill,NE67 5ET,North East,no
122198,929,Northumberland,Ellington Primary School,www.ellingtonprimaryschool.co.uk/,Morpeth,NE61 5HL,North East,no
122290,929,Northumberland,Embleton Vincent Edwards Church of England Primary School,www.embletonprimaryschool.com/,Alnwick,NE66 3XR,North East,no
132771,929,Northumberland,Emily Wilding Davison School,https://ewd.northumberland.sch.uk/,Newcastle-upon-Tyne,NE20 9QB,North East,no
122273,929,Northumberland,Felton Church of England Primary School,www.felton.northumberland.sch.uk,Morpeth,NE65 9PY,North East,no
149842,929,Northumberland,Gilbert Ward Academy,https://www.gilbertwardacademy.co.uk/,Blyth,NE24 2TS,North East,no
122352,929,Northumberland,Glendale Middle School,http://www.glendale.northumberland.sch.uk/,Wooler,NE71 6QF,North East,no
135634,929,Northumberland,Grange View Church of England Voluntary Controlled Primary School,http://www.grangeview.northumberland.sch.uk/website,Morpeth,NE61 5LZ,North East,no
122226,929,Northumberland,Greenhaugh Primary School,www.greenhaughprimaryschool.co.uk,Hexham,NE48 1LX,North East,no
151098,929,Northumberland,Greenhead Church of England Nursery and Primary School,http://www.greenhead.northumberland.sch.uk/,Brampton,CA8 7HB,North East,no
146372,929,Northumberland,Haltwhistle Primary Academy,https://haltwhistle.wiseacademies.co.uk/,Haltwhistle,NE49 9BA,North East,no
145638,929,Northumberland,Harbottle Church of England First School,hfs.cheviotlt.co.uk,Morpeth,NE65 7DG,North East,no
