urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
139709,931,Oxfordshire,Abbey Woods Academy,www.abbeywoods.anthemtrust.uk,Wallingford,OX10 7LZ,South East,no
150190,931,Oxfordshire,All Saints Church of England Primary School,http://www.all-saints.oxon.sch.uk,Didcot,OX11 7QH,South East,no
123219,931,Oxfordshire,Appleton Church of England (A) Primary School,www.appleton.oxon.sch.uk/,Abingdon,OX13 5JL,South East,no
149419,931,Oxfordshire,Ashbury With Compton Beauchamp Church of England Primary School,www.ashburyprimary.org.uk,Swindon,SN6 8LN,South East,no
123124,931,Oxfordshire,Aston Rowant Church of England Primary School,www.aston-rowant.oxon.sch.uk/,Watlington,OX49 5SU,South East,no
140652,931,Oxfordshire,Aureus Primary School,https://aureusprimaryschool.org/,Didcot,OX11 6GS,South East,no
140653,931,Oxfordshire,Aureus School,www.aureusschool.org,Didcot,OX11 6FF,South East,no
150741,931,Oxfordshire,Badgemore Primary School,http://www.badgemore.oxon.sch.uk,Henley-on-Thames,RG9 2HL,South East,no
142140,931,Oxfordshire,Bampton CofE Primary School,http://www.bamptonprimaryschool.org.uk,Bampton,OX18 2NJ,South East,no
146683,931,Oxfordshire,Bardwell School,www.bardwell.oxon.sch.uk,Bicester,OX26 4RZ,South East,no
123034,931,Oxfordshire,Barley Hill Primary School,http://www.barley-hill.oxon.sch.uk,Thame,OX9 3DH,South East,no
137919,931,Oxfordshire,Bartholomew School,http://www.bartholomew.oxon.sch.uk,Witney,OX29 4AP,South East,no
147865,931,Oxfordshire,Barton Park Primary School,https://www.bartonparkprimary.org/,Oxford,OX3 9WN,South East,no
141231,931,Oxfordshire,Bayards Hill School,www.bayardshillprimary.org,Oxford,OX3 9NU,South East,no
146939,931,Oxfordshire,Beckley Church of England Primary School,www.beckleyschool.org,Oxford,OX3 9UT,South East,no
147507,931,Oxfordshire,Benson Church of England Primary School,www.bensoncofeprimary.org.uk/,Wallingford,OX10 6LX,South East,no
142191,931,Oxfordshire,Bishop Carpenter Church of England Primary School,www.bishopcarpenterschool.com,Banbury,OX15 6AQ,South East,no
144525,931,Oxfordshire,Bishop Loveday Church of England Primary School,www.bishop-loveday.oxon.sch.uk/,Banbury,OX15 4BN,South East,no
149322,931,Oxfordshire,Bishopswood School,www.bishopswoodschool.co.uk,Reading,RG4 9RH,South East,no
123119,931,Oxfordshire,Bladon Church of England Primary School,www.bladon.oxon.sch.uk,Woodstock,OX20 1RW,South East,no
141146,931,Oxfordshire,Blessed George Napier Catholic School and Sixth Form,http://www.blessedgeorgenapier.co.uk,Banbury,OX16 9DG,South East,no
123115,931,Oxfordshire,Bletchingdon Parochial Church of England Primary School,www.bletchingdon.oxon.sch.uk,Kidlington,OX5 3FD,South East,no
147641,931,Oxfordshire,Blewbury Church of England Primary School,https://www.blewbury.oxon.sch.uk/,Didcot,OX11 9QB,South East,no
123098,931,Oxfordshire,Bloxham Church of England Primary School,www.bloxhamprimary.com,Banbury,OX15 4HP,South East,no
149826,931,Oxfordshire,Bloxham Grove Academy,https://bloxhamgroveacademy.co.uk/,Banbury,OX15 4UL,South East,no
147759,931,Oxfordshire,Botley School,https://www.botleyschool.org.uk,Oxford,OX2 9JZ,South East,no
144568,931,Oxfordshire,Brightwell-Cum-Sotwell Church of England Primary School,http://www.brightwell.oxon.sch.uk,Wallingford,OX10 0QH,South East,no
142645,931,Oxfordshire,Brize Norton Primary School,http://www.brizeprimary.org,Carterton,OX18 3PL,South East,no
123007,931,Oxfordshire,Brookside Primary School,www.brookside.oxon.sch.uk,Bicester,OX26 2DB,South East,no
140278,931,Oxfordshire,Buckland Church of England Primary School,http://www.bucklandprimaryschool.org.uk,Faringdon,SN7 8RB,South East,no
142341,931,Oxfordshire,Burford Primary School,http://www.burford-pri.oxon.sch.uk,Burford,OX18 4SG,South East,no
138289,931,Oxfordshire,Burford School,http://www.burford.oxon.sch.uk,Burford,OX18 4PL,South East,no
123087,931,Oxfordshire,Caldecott Primary School,http://www.caldecott.oxon.sch.uk,Abingdon,OX14 5HB,South East,no
123080,931,Oxfordshire,Carswell Community Primary School,www.carswell.oxon.sch.uk/,Abingdon,OX14 1DP,South East,no
123236,931,Oxfordshire,Carterton Community College,http://www.cartertoncc.oxon.sch.uk/,Carterton,OX18 1BU,South East,no
150512,931,Oxfordshire,Carterton Primary School,https://www.carterton.school/,Carterton,OX18 3AD,South East,no
123096,931,Oxfordshire,Chadlington Church of England Primary School,www.chadlington.oxon.sch.uk/,Chipping Norton,OX7 3LY,South East,no
143969,931,Oxfordshire,Chalgrove Community Primary School,http://www.chalgrove.oxon.sch.uk,Oxford,OX44 7ST,South East,no
147640,931,Oxfordshire,Charlbury Primary School,www.charlburyschool.org,,OX7 3TX,South East,no
140237,931,Oxfordshire,Charlton Primary School,http://charltonprimary.ovw10.devwebsite.co.uk,Wantage,OX12 7HG,South East,no
123100,931,Oxfordshire,Charlton-on-Otmoor Church of England Primary School,https://charlton-on-otmoor.sch.life,Kidlington,OX5 2UT,South East,no
123200,931,Oxfordshire,Checkendon Church of England (A) Primary School,www.checkendon.oxon.sch.uk,Checkendon,RG8 0SR,South East,no
139146,931,Oxfordshire,Cheney School,http://www.cheneyschool.org,Oxford,OX3 7QH,South East,no
147909,931,Oxfordshire,Cherry Fields Primary School,,Banbury,OX16 2DF,South East,no
123101,931,Oxfordshire,Chesterton Church of England Voluntary Aided Primary School,www.chestertonprimaryschool.org.uk/,Bicester,OX26 1UN,South East,no
123057,931,Oxfordshire,Chilton County Primary School,http://www.chilton.oxon.sch.uk,Didcot,OX11 0PQ,South East,no
137936,931,Oxfordshire,Chipping Norton School,http://www.chipping-norton.oxon.sch.uk,Chipping Norton,OX7 5DY,South East,no
140279,931,Oxfordshire,Cholsey Primary School,http://www.cholsey.oxon.sch.uk,Wallingford,OX10 9PP,South East,no
147716,931,Oxfordshire,Christopher Rawlins Church of England Primary School,www.christopher-rawlins.oxon.sch.uk,Banbury,OX17 3NH,South East,no
123139,931,Oxfordshire,Church Cowley St James Church of England Primary School,www.churchcowley.com/,Oxford,OX4 3QH,South East,no
123127,931,Oxfordshire,Clifton Hampden Church of England Primary School,http://www.clifton-hampden.oxon.sch.uk,Abingdon,OX14 3EE,South East,no
123116,931,Oxfordshire,Combe CofE Primary School,www.combeprimary.co.uk,Witney,OX29 8NQ,South East,no
122967,931,Oxfordshire,Comper Nursery School,comper.org.uk,Oxford,OX4 3AJ,South East,no
150303,931,Oxfordshire,Cropredy Church of England Primary School,,Banbury,OX17 1PU,South East,no
123133,931,Oxfordshire,Crowmarsh Gifford Church of England School,http://www.crowmarshgiffordprimary.com,Wallingford,OX10 8EN,South East,no
123146,931,Oxfordshire,Cumnor Church of England School (Voluntary Controlled),http://www.cumnorprimaryschool.co.uk,Oxford,OX2 9PQ,South East,no
139064,931,Oxfordshire,Cutteslowe Primary School,https://www.cuttesloweprimary.org/,Oxford,OX2 7SX,South East,no
138501,931,Oxfordshire,Dashwood Banbury Academy,www.dashwood-aspirations.org,Banbury,OX16 4RX,South East,no
144530,931,Oxfordshire,Deddington Church of England Primary School,www.deddingtonprimaryschool.co.uk/,Banbury,OX15 0TJ,South East,no
138490,931,Oxfordshire,Didcot Girls' School,www.didcotgirls.oxon.sch.uk,Didcot,OX11 7AJ,South East,no
140688,931,Oxfordshire,Didcot Primary Academy,www.didcotprimaryacademy.org.uk,Didcot,OX11 6DP,South East,no
123129,931,Oxfordshire,Dorchester St Birinus Church of England School,www.st-birinus-pri.oxon.sch.uk,Wallingford,OX10 7HR,South East,no
144186,931,Oxfordshire,Dr Radcliffe's Church of England Primary School,www.dr-radcliffes.org.uk/,Bicester,OX25 4SF,South East,no
143888,931,Oxfordshire,Dr South's Church of England Primary School,http://www.dr-souths.co.uk,Kidlington,OX5 2TQ,South East,no
123059,931,Oxfordshire,Drayton Community Primary School,http://www.drayton-pri.oxon.sch.uk,Abingdon,OX14 4JF,South East,no
123063,931,Oxfordshire,Dry Sandford Primary School,http://www.dry-sandford.oxon.sch.uk,Abingdon,OX13 6EE,South East,no
123107,931,Oxfordshire,Ducklington Primary School,http://ducklington.oxon.sch.uk/,Witney,OX29 7US,South East,no
135265,931,Oxfordshire,Dunmore Primary School,www.dunmore.oxon.sch.uk/,Abingdon,OX14 1NR,South East,no
123046,931,Oxfordshire,East Oxford Primary School,www.east-oxford.oxon.sch.uk/,Oxford,OX4 1JP,South East,no
