urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
150031,933,Somerset,Abbas and Templecombe Church School,http://abbastemplecombeprimary.co.uk/,Templecombe,BA8 0HP,South West,no
143958,933,Somerset,All Saints Church School,allsaintschurchschool.co.uk,Yeovil,TA15 6XG,South West,no
123754,933,Somerset,All Saints CofE VC Infants School,https://www.moorlandfed.co.uk/schools/all-saints-cofe-vc-infants-school,Dulverton,TA22 9EN,South West,no
136839,933,Somerset,Ansford Academy,http://www.ansford.org.uk,Castle Cary,BA7 7JJ,South West,no
150827,933,Somerset,Ash Church of England Primary School,www.ashprimaryschool.co.uk,Martock,TA12 6NS,South West,no
145199,933,Somerset,Ashill Community Primary School,https://www.ashillprimaryschool.org/,Ilminster,TA19 9ND,South West,no
150070,933,Somerset,Ashlands Church of England Primary School,www.ashlandsprimaryschool.co.uk/,Crewkerne,TA18 7AL,South West,no
147651,933,Somerset,Avanti Park School,https://avanti.org.uk/avantipark/,Frome,BA11 1EU,South West,no
137174,933,Somerset,Avishayes Community Primary School,www.avishayes.co.uk/,Chard,TA20 1NS,South West,no
138763,933,Somerset,Axbridge Church of England First School Academy,www.axbridgefirstschool.co.uk/,Axbridge,BS26 2BA,South West,no
151282,933,Somerset,Baltonsborough Church of England VC Primary School,www.baltonsboroughprimary.org.uk/,Glastonbury,BA6 8PX,South West,no
123718,933,Somerset,Barwick and Stoford Community Primary School,www.barwickstofordschool.co.uk,Yeovil,BA22 9TH,South West,no
151283,933,Somerset,Beckington Church First School,beckingtonandmellsfederation.co.uk,Frome,BA11 6TG,South West,no
123743,933,Somerset,Berkley Church of England First School,www.berkleyschool.co.uk,Frome,BA11 5JH,South West,no
149851,933,Somerset,Berrow Primary Church Academy,berrowprimaryschool.co.uk,Burnham-on-Sea,TA8 2LJ,South West,no
123730,933,Somerset,Birchfield Community Primary School,https://www.birchfieldprimaryschool.co.uk,Yeovil,BA21 5RL,South West,no
136851,933,Somerset,Bishop Fox's School,http://www.bishopfoxs.co.uk,Taunton,TA1 3HQ,South West,no
123747,933,Somerset,Bishop Henderson Church of England Primary School,http://www.bishophenderson.co.uk,Radstock,BA3 5PN,South West,no
123852,933,Somerset,"Bishop Henderson Church of England Primary School, Taunton",www.bishophendersonschool.org.uk/,Taunton,TA1 4TU,South West,no
151103,933,Somerset,Bishops Hull Primary School,http://www.bishopshull.somerset.sch.uk,Taunton,TA1 5EB,South West,no
142402,933,Somerset,Bishops Lydeard Church School,www.bishopslydeard.bwmat.org,Taunton,TA4 3AN,South West,no
146704,933,Somerset,Blackbrook Primary School,www.blackbrookschool.com,Taunton,TA1 2RA,South West,no
123672,933,Somerset,Bowlish Infant School,www.bowlishinfantschool.org.uk,Shepton Mallet,BA4 5JQ,South West,no
146942,933,Somerset,Brent Knoll Church of England Primary School,https://slp5.somerset.org.uk/webs/brentknoll/SitePages/Home.aspx,Highbridge,TA9 4EQ,South West,no
138375,933,Somerset,Bridgwater College Academy,http://www.bridgwatercollegeacademy.org,Bridgwater,TA6 4QY,South West,no
136848,933,Somerset,Brookside Community Primary School,https://www.brooksideacademy.co.uk/,Street,BA16 0PR,South West,no
123899,933,Somerset,Bruton Primary School,http://www.brutonprimary.org.uk,Bruton,BA10 0DP,South West,no
139655,933,Somerset,Brymore Academy,http://brymoreacademy.co.uk/,Bridgwater,TA5 2NB,South West,no
150638,933,Somerset,Buckland St Mary Church of England Primary School,www.bucklandstmaryceprimaryschool.co.uk,Chard,TA20 3SJ,South West,no
148830,933,Somerset,Buckler's Mead School,http://bucklersmead.com,Yeovil,BA21 4NH,South West,no
150952,933,Somerset,Burnham-On-Sea Infant School,http://www.burnhaminfants.com,Burnham-on-Sea,TA8 1JD,South West,no
123745,933,Somerset,Butleigh Church of England Primary School,www.butleighprimary.co.uk/,Glastonbury,BA6 8SX,South West,no
123786,933,Somerset,Cannington Church of England Primary School,https://www.cannington.somerset.sch.uk/,Bridgwater,TA5 2HP,South West,no
150285,933,Somerset,Castle Cary Community Primary School,,Castle Cary,BA7 7EH,South West,no
141695,933,Somerset,Castle Primary School,www.castleprimaryschool.com,Stoke-Sub-Hamdon,TA14 6RE,South West,no
123683,933,Somerset,Catcott Primary School,http://www.catcottprimary.co.uk,Bridgwater,TA7 9HD,South West,no
146896,933,Somerset,Charlton Horethorne Church of England Primary School,www.charltonhorethornecofeprimary.co.uk/,Sherborne,DT9 4NL,South West,no
123746,933,Somerset,Charlton Mackrell CofE Primary School,http://www.charltonmackrellschool.org.uk,Somerton,TA11 7BN,South West,no
147822,933,Somerset,Cheddar First School,cheddarfirstschool.co.uk,Cheddar,BS27 3HN,South West,no
139934,933,Somerset,Cheddon Fitzpaine Church School,www.cheddon.bwmat.org,Taunton,TA2 8JY,South West,no
123827,933,Somerset,Chewton Mendip Church of England VA Primary School,www.chewtonmendipschool.org.uk,Radstock,BA3 4LL,South West,no
123815,933,Somerset,Chilthorne Domer Church School,www.chilthornedomerchurchschool.co.uk,Yeovil,BA22 8RD,South West,no
145677,933,Somerset,Chilton Trinity School,http://www.chilton-trinity.co.uk/,Bridgwater,TA6 3JA,South West,no
149487,933,Somerset,Christ Church First School,https://www.christchurchschoolfrome.org.uk/,Frome,BA11 5AJ,South West,no
139278,933,Somerset,Churchfield Church School,www.churchfieldchurchschool.co.uk,Highbridge,TA9 3JF,South West,no
123828,933,Somerset,Combe St Nicholas Church of England VA Primary School,www.combestnicholascofeschool.co.uk,Chard,TA20 3NG,South West,no
133560,933,Somerset,Cotford St Luke Primary School,http://www.cotfordstlukeprimary.co.uk/,Taunton,TA4 1HZ,South West,no
146446,933,Somerset,Countess Gytha Primary School,www.countessgythaprimary.co.uk/,Yeovil,BA22 7FF,South West,no
140416,933,Somerset,Court Fields School,http://www.courtfields.net/,Wellington,TA21 8SW,South West,no
123793,933,Somerset,Creech St Michael Church of England Primary School,www.creechstmichaelprimary.co.uk/,Taunton,TA3 5QQ,South West,no
136913,933,Somerset,Crispin School Academy,http://www.crispinschool.co.uk/,Street,BA16 0AD,South West,no
147126,933,Somerset,Critchill Special School,https://www.critchillschool.co.uk/,Frome,BA11 4LB,South West,no
150853,933,Somerset,Croscombe Church of England Primary School,https://croscombeprimary.co.uk/,Wells,BA5 3QL,South West,no
123830,933,Somerset,Crowcombe CofE VA Primary School,www.crowcombeandstogumberprimaryschools.co.uk/,Taunton,TA4 4AA,South West,no
123751,933,Somerset,Curry Mallet Church of England Primary School,www.currymalletschool.co.uk/,Taunton,TA3 6TA,South West,no
123752,933,Somerset,Curry Rivel Church of England VC Primary School,www.curryrivelprimary.co.uk,Langport,TA10 0HD,South West,no
123831,933,Somerset,Cutcombe Church of England First School,www.moorlandfed.co.uk,Minehead,TA24 7DZ,South West,no
140631,933,Somerset,Danesfield Church of England Voluntary Controlled Community Middle School,www.danesfieldcofemiddleschool.co.uk,Taunton,TA4 4SW,South West,no
123642,933,Somerset,Ditcheat Primary School,https://www.ditcheatprimary.org.uk/,Shepton Mallet,BA4 6RB,South West,no
147824,933,Somerset,Draycott & Rodney Stoke Church of England First School,www.drsfirstschool.co.uk,Draycott,BS27 3SD,South West,no
123871,933,Somerset,Dulverton Junior School,https://www.moorlandfed.co.uk/schools/dulverton-junior-school-somerset,Dulverton,TA22 9EN,South West,no
143331,933,Somerset,East Brent Church of England First School,www.eastbrentcofeacademy.co.uk,Highbridge,TA9 4HZ,South West,no
148023,933,Somerset,East Huntspill Primary Academy,www.huntspillfederation.co.uk,Highbridge,TA9 3PT,South West,no
123679,933,Somerset,Eastover Primary School,https://www.eastoverschool.co.uk/,Bridgwater,TA6 5EX,South West,no
151102,933,Somerset,Elmhurst Junior School,www.elmhurstjuniorschool.org.uk,Street,BA16 0HH,South West,no
137437,933,Somerset,Enmore Church of England Primary School,http://www.enmoreprimaryschool.org,Bridgwater,TA5 2DX,South West,no
151186,933,Somerset,Evercreech Church of England Primary School,www.evercreechprimary.co.uk,Shepton Mallet,BA4 6EH,South West,no
123756,933,Somerset,Exford Church of England First School,www.exfordfirstschool.co.uk/,Minehead,TA24 7PP,South West,no
147825,933,Somerset,Fairlands Middle School,fairlandsmiddleschool.co.uk,Cheddar,BS27 3PG,South West,no
123944,933,Somerset,Fiveways Special School,www.fivewaysschool.co.uk,Yeovil,BA21 5AZ,South West,no
150667,933,Somerset,Frome Community College,http://www.fromecollege.org,Frome,BA11 2HQ,South West,no
141782,933,Somerset,Hambridge Community Primary School,www.hambridgecommunityprimary.co.uk,Langport,TA10 0AZ,South West,no
139717,933,Somerset,Hamp Academy,www.hampacademy.co.uk,Bridgwater,TA6 6JB,South West,no
150072,933,Somerset,Haselbury Plucknett Church of England Primary School,www.haselburyplucknettschool.co.uk/,Crewkerne,TA18 7RQ,South West,no
