urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
147063,935,Suffolk,Abbeygate Sixth Form College,https://www.abbeygatesfc.ac.uk/,Bury St Edmunds,IP33 3YU,East of England,no
147933,935,Suffolk,Abbot's Hall Community Primary School,www.abbotshall.suffolk.sch.uk/,Stowmarket,IP14 1QF,East of England,no
145698,935,Suffolk,Abbots Green Primary Academy,www.abbotsgreenacademy.co.uk,Bury St Edmunds,IP32 7PJ,East of England,no
141236,935,Suffolk,Alde Valley Academy,http://www.aldevalley.suffolk.sch.uk,Leiston,IP16 4BG,East of England,no
144211,935,Suffolk,Aldeburgh Primary School,www.aldeburghprimary.org.uk,Aldeburgh,IP15 5EU,East of England,no
144879,935,Suffolk,Alderwood Academy,www.raedwaldtrust.org,Ipswich,IP3 0EW,East of England,no
145693,935,Suffolk,"All Saints Church of England Primary School, Laxfield",www.laxfieldprimary.org.uk,Woodbridge,IP13 8HD,East of England,no
146086,935,Suffolk,"All Saints Church of England Primary School, Newmarket",www.allsaints.suffolk.sch.uk,Newmarket,CB8 8JE,East of England,no
124706,935,Suffolk,"All Saints' Church of England Voluntary Controlled Primary School, Lawshall",http://allsaintsprimary.org,Bury St Edmunds,IP29 4QA,East of England,no
143359,935,Suffolk,Bacton Primary School,www.bacton-pri.suffolk.sch.uk,Stowmarket,IP14 4LL,East of England,no
143056,935,Suffolk,Bardwell Church of England Primary School,https://www.bardwell.org.uk/,Bury St Edmunds,IP31 1AD,East of England,no
144828,935,Suffolk,Barnby and North Cove Community Primary School,https://www.barnbynorthcove.suffolk.sch.uk/,Beccles,NR34 7QB,East of England,no
124690,935,Suffolk,Barrow Church of England Voluntary Controlled Primary School,www.barrowcevcprimaryschool.co.uk,Bury St Edmunds,IP29 5AU,East of England,no
124719,935,Suffolk,Bawdsey Church of England Voluntary Controlled Primary School,www.bawdseyprimary.com,Woodbridge,IP12 3AR,East of England,no
124595,935,Suffolk,Bealings School,www.bealings.org.uk,Woodbridge,IP13 6LW,East of England,no
133605,935,Suffolk,Beaumont Community Primary School,www.beaumontcp.co.uk,Hadleigh,IP7 6GD,East of England,no
138274,935,Suffolk,Beccles High School,www.becclesschool.org.uk,Beccles,NR34 7BQ,East of England,no
142017,935,Suffolk,Beccles Primary Academy,www.becclesacademy.org,Beccles,NR34 7AB,East of England,no
144275,935,Suffolk,Beck Row Primary Academy,,Bury St Edmunds,IP28 8AE,East of England,no
148752,935,Suffolk,Bedfield Church of England Primary School,www.bedfieldschool.co.uk/,Woodbridge,IP13 7EA,East of England,no
149991,935,Suffolk,Benhall St Mary's Church of England Primary School,www.benhallschool.co.uk,Saxmundham,IP17 1HE,East of England,no
142759,935,Suffolk,Benjamin Britten Academy of Music and Mathematics,https://www.benjaminbritten.school/,Lowestoft,NR32 4PZ,East of England,no
124754,935,Suffolk,Bentley Church of England Voluntary Controlled Primary School,www.bentley.suffolk.sch.uk,Ipswich,IP9 2BT,East of England,no
124531,935,Suffolk,Bildeston Primary School,http://www.bildeston.suffolk.sch.uk,Ipswich,IP7 7ES,East of England,no
124751,935,Suffolk,Blundeston Church of England Voluntary Controlled Primary School,http://www.blundestoncevcp.co.uk,Lowestoft,NR32 5AX,East of England,no
147934,935,Suffolk,Bosmere Community Primary School,www.bosmereprimary.net,Ipswich,IP6 8BP,East of England,no
124691,935,Suffolk,Boxford Church of England Voluntary Controlled Primary School,http://www.boxford.suffolk.sch.uk,Sudbury,CO10 5NP,East of England,no
143050,935,Suffolk,Bramfield Church of England Primary School,https://bmpy-suffolk.secure-dbprimary.com/suffolk/primary/bmpy,Halesworth,IP19 9HZ,East of England,no
124723,935,Suffolk,Bramford Church of England Voluntary Controlled Primary School,http://www.bramsomfederation.net,Ipswich,IP8 4AH,East of England,no
144827,935,Suffolk,Brampton Church of England Primary School,,Beccles,NR34 8DW,East of England,no
138250,935,Suffolk,Breckland School,https://www.brecklandschool.co.uk/,Brandon,IP27 0PE,East of England,no
146323,935,Suffolk,Britannia Primary School and Nursery,www.britannia.suffolk.sch.uk,Ipswich,IP4 5HE,East of England,no
146460,935,Suffolk,Broke Hall Community Primary School,http://www.brokehall.suffolk.sch.uk,Ipswich,IP4 5XD,East of England,no
145835,935,Suffolk,Brooklands Primary School,http://www.brooklands.omat.org.uk,Nr Manningtree,CO11 1RX,East of England,no
124572,935,Suffolk,Bucklesham Primary School,http://www.buckleshamprimaryschool.co.uk/,Ipswich,IP10 0AX,East of England,no
136998,935,Suffolk,Bungay High School,http://www.bungayhigh.co.uk/,Bungay,NR35 1RW,East of England,no
144443,935,Suffolk,Bungay Primary School,www.bungayprimary.co.uk/,Bungay,NR35 1HA,East of England,no
141546,935,Suffolk,Burton End Primary Academy,http://www.burtonendschool.co.uk,Haverhill,CB9 9DE,East of England,no
136990,935,Suffolk,Bury St Edmunds County High School,http://www.countyhigh.uk,Bury St Edmunds,IP32 6RF,East of England,no
148541,935,Suffolk,Castle EAST School,https://www.castleeastschool.co.uk/,Bungay,NR35 1JS,East of England,no
141372,935,Suffolk,Castle Hill Infant School,www.castlehillprimary.org.uk,Ipswich,IP1 6QD,East of England,no
141373,935,Suffolk,Castle Hill Junior School,www.castlehillprimary.org.uk,Ipswich,IP1 6QD,East of England,no
138162,935,Suffolk,Castle Manor Academy,http://www.castlemanor.org.uk,Haverhill,CB9 9JE,East of England,no
143360,935,Suffolk,Cedars Park Community Primary School,www.cedarspark.suffolk.sch.uk/,Stowmarket,IP14 5FP,East of England,no
131962,935,Suffolk,Cedarwood Primary School,www.cedarwoodprimary.org.uk,Ipswich,IP5 2ES,East of England,no
147594,935,Suffolk,Chalk Hill,https://sendat.academy/chalkhill/,Sudbury,CO10 2SF,East of England,no
138373,935,Suffolk,Chantry Academy,http://www.chantryacademy.org,Ipswich,IP2 9LR,East of England,no
146148,935,Suffolk,Charsfield Church of England Primary School,www.charsfieldprimaryschool.org.uk/,Woodbridge,IP13 7QB,East of England,no
144625,935,Suffolk,Chelmondiston Church of England Primary School,www.chelmondiston.suffolk.sch.uk,Ipswich,IP9 1DT,East of England,no
147932,935,Suffolk,Chilton Community Primary School,www.chilton.suffolk.sch.uk/,Stowmarket,IP14 1NN,East of England,no
139732,935,Suffolk,Churchill Special Free School,www.churchillschool.co.uk,Haverhill,CB9 0LB,East of England,no
144399,935,Suffolk,Clare Community Primary School,www.clareprimary.org,Sudbury,CO10 8PZ,East of England,no
144214,935,Suffolk,Claydon High School,www.claydonhigh.co.uk,Ipswich,IP6 0EG,East of England,no
146021,935,Suffolk,Claydon Primary School,www.claydonprimary.net,Ipswich,IP6 0DX,East of England,no
144276,935,Suffolk,Clements Primary Academy,www.clementsprimary.co.uk,Haverhill,CB9 8NJ,East of England,no
141591,935,Suffolk,Cliff Lane Primary School,www.clifflaneprimary.co.uk,Ipswich,IP3 0PJ,East of England,no
124654,935,Suffolk,Clifford Road Primary School & Nursery,www.cliffordroadschool.org.uk,Ipswich,IP4 1PJ,East of England,no
150065,935,Suffolk,Cockfield Church of England Primary School,http://www.cockfieldprimaryschool.co.uk,Bury St Edmunds,IP30 0LA,East of England,no
146875,935,Suffolk,Coldfair Green Community Primary School,www.coldfairgreenprimaryschool.co.uk,Saxmundham,IP17 1UY,East of England,no
124624,935,Suffolk,Colneis Junior School,http://www.fairfieldandcolneis.co.uk/,Felixstowe,IP11 9HH,East of England,no
147880,935,Suffolk,Combs Ford Primary School,www.combsfordprimary.co.uk,Stowmarket,IP14 2PN,East of England,no
136827,935,Suffolk,Copleston High School,http://www.copleston.suffolk.sch.uk,Ipswich,IP4 5HD,East of England,no
124727,935,Suffolk,Corton Church of England Voluntary Aided Primary School,http://www.corton.suffolk.sch.uk,Lowestoft,NR32 5HW,East of England,no
141371,935,Suffolk,Coupals Primary Academy,www.coupalsacademy.co.uk/,Haverhill,CB9 0LB,East of England,no
146175,935,Suffolk,Crawford's Church of England Primary School,www.crawforsprimaryschool.com,Stowmarket,IP14 3QZ,East of England,no
124770,935,Suffolk,Creeting St Mary Church of England Voluntary Aided Primary School,http://www.creetingstmary.suffolk.sch.uk,Ipswich,IP6 8NF,East of England,no
150424,935,Suffolk,Dale Hall Community Primary School,http://www.dalehall.suffolk.sch.uk,Ipswich,IP1 4LX,East of England,no
136416,935,Suffolk,Debenham High School,http://www.debenhamhighschool.suffolk.sch.uk/,Stowmarket,IP14 6BL,East of England,no
141736,935,Suffolk,Dell Primary School,www.dellprimaryschool.co.uk,Lowestoft,NR33 9NU,East of England,no
146234,935,Suffolk,Dennington Church of England Primary School,www.denningtonprimaryschool.org.uk,Woodbridge,IP13 8AE,East of England,no
124729,935,Suffolk,East Bergholt Church of England Voluntary Controlled Primary School,http://www.eastbergholt-pri.suffolk.sch.uk,Nr Colchester,CO7 6SW,East of England,no
137218,935,Suffolk,East Bergholt High School,http://www.ebhigh.org.uk,Colchester,CO7 6RJ,East of England,no
137134,935,Suffolk,East Point Academy,http://www.inspirationtrust.org/eastpointacademy,Lowestoft,NR33 0UQ,East of England,no
141550,935,Suffolk,Easton Primary School,http://www.eastonprimary.org.uk/,Woodbridge,IP13 0ED,East of England,no
144444,935,Suffolk,Edgar Sewter Community Primary School,www.edgarsewterprimary.co.uk,Halesworth,IP19 8BU,East of England,no
142580,935,Suffolk,Elm Tree Primary School,www.elmtreeprimaryacademy.co.uk,Lowestoft,NR33 9HN,East of England,no
148751,935,Suffolk,Elmsett Church of England Primary School,www.elmsettschool.co.uk,Ipswich,IP7 6PA,East of England,no
139149,935,Suffolk,Elveden Church of England Primary Academy,http://www.elveden.suffolk.sch.uk,Thetford,IP24 3TN,East of England,no
151104,935,Suffolk,Exning Primary School,https://www.exning.suffolk.sch.uk/,Newmarket,CB8 7EW,East of England,no
143549,935,Suffolk,Eyke Church of England Primary School,,Woodbridge,IP12 2QW,East of England,no
136834,935,Suffolk,Farlingaye High School,http://www.farlingaye.suffolk.sch.uk/,Woodbridge,IP12 4JX,East of England,no
147261,935,Suffolk,Felix Primary School,https://www.felixprimaryschool.org/,Felixstowe,IP11 9ED,East of England,no
137321,935,Suffolk,Felixstowe School,http://www.fxa.org.uk,Felixstowe,IP11 9QR,East of England,no
146072,935,Suffolk,First Base Bury St Edmunds,www.raedwaldtrust.org,Bury St Edmunds,IP32 7PJ,East of England,no
145101,935,Suffolk,First Base Ipswich Academy,http://www.raedwaldtrust.org,Ipswich,IP3 0EW,East of England,no
136316,935,Suffolk,Forest Academy,http://www.forest.suffolk.sch.uk,Brandon,IP27 0FP,East of England,no
124775,935,Suffolk,Framlingham Sir Robert Hitcham's Church of England Voluntary Aided Primary School,http://www.hitchamsframlingham.org.uk,"Framlingham, Woodbridge",IP13 9EP,East of England,no
147931,935,Suffolk,Freeman Community Primary School,www.freeman.suffolk.sch.uk,Stowmarket,IP14 4BQ,East of England,no
