urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
151190,936,Surrey,All Hallows Catholic School,http://www.allhallows.net,Farnham,GU9 9HF,South East,no
125228,936,Surrey,Ashford CofE Primary School,www.ashford-primary.surrey.sch.uk/,Ashford,TW15 2BW,South East,no
141294,936,Surrey,Ashley Church of England Primary School,www.ashleyschool.org.uk/,Walton-on-Thames,KT12 1HX,South East,no
125060,936,Surrey,Audley Primary School,www.audleyprimary.uk,Caterham,CR3 5ED,South East,no
144387,936,Surrey,Auriol Junior School,www.auriol.surrey.sch.uk/,Epsom,KT19 0PJ,South East,no
125051,936,Surrey,Badshot Lea Village Infant School,http://www.badshot-lea.surrey.sch.uk,Farnham,GU9 9LE,South East,no
124996,936,Surrey,Bagshot Infant School,http://www.bagshot.surrey.sch.uk,Bagshot,GU19 5BP,South East,no
125023,936,Surrey,Banstead Community Junior School,http://www.bcjs.org.uk,Banstead,SM7 2BQ,South East,no
140808,936,Surrey,Banstead Infant School,http://www.bansteadinfant.co.uk,Banstead,SM7 2BQ,South East,no
124982,936,Surrey,Barnett Wood Infant School,http://www.barnettwood.co.uk,Ashtead,KT21 2DF,South East,no
140540,936,Surrey,Barnsbury Primary School and Nursery,www.barnsbury.surrey.sch.uk/,Woking,GU22 0BB,South East,no
151287,936,Surrey,Beacon Hill Primary School,http://www.beacon-hill.surrey.sch.uk,Hindhead,GU26 6NR,South East,no
140508,936,Surrey,Beaufort Primary School,www.beaufort.surrey.sch.uk/,Woking,GU21 3RG,South East,no
125058,936,Surrey,Bell Farm Primary School,www.bell-farm.co.uk/,Walton-on-Thames,KT12 5NB,South East,no
125153,936,Surrey,Bisley CofE Primary School,http://www.bisley.surrey.sch.uk,Woking,GU24 9DF,South East,no
137906,936,Surrey,Blenheim High School,http://www.blenheim.surrey.sch.uk,Epsom,KT19 9BH,South East,no
144229,936,Surrey,Bletchingley Village Primary School,www.bletchingleyschool.co.uk,Redhill,RH1 4PP,South East,no
140057,936,Surrey,Boxgrove Primary School,www.boxgrove.surrey.sch.uk,Guildford,GU1 2TD,South East,no
149994,936,Surrey,Bramley CofE Infant School and Nursery,https://www.bramley.surrey.sch.uk,Guildford,GU5 0HX,South East,no
147943,936,Surrey,Bramley Oak Academy,www.bramleyoakacademy.org.uk,Guildford,GU5 0BJ,South East,no
139479,936,Surrey,Broadmere Primary Academy,www.broadmere.surrey.sch.uk/,Woking,GU21 5QE,South East,no
147935,936,Surrey,Broadwater School,http://www.broadwater.surrey.sch.uk,Godalming,GU7 3BW,South East,no
151191,936,Surrey,Brooklands School,http://www.brooklands.surrey.sch.uk,REIGATE,RH2 0DF,South East,no
142084,936,Surrey,Brookwood Primary School,www.brookwood.surrey.sch.uk,Woking,GU24 0HF,South East,no
135237,936,Surrey,Buckland Primary School,www.bucklandprimary.surrey.sch.uk,Staines,TW18 1NB,South East,no
125055,936,Surrey,Burhill Primary School,www.burhill.surrey.sch.uk/,Hersham,KT12 4HQ,South East,no
150036,936,Surrey,Burpham Primary School,www.burpham.surrey.sch.uk/,Guildford,GU4 7LZ,South East,no
150653,936,Surrey,Burstow Primary School,www.burstowschool.org,Horley,RH6 9PT,South East,no
125186,936,Surrey,Busbridge CofE Aided Junior School,http://www.busbridge-junior.surrey.sch.uk,Godalming,GU7 1XA,South East,no
149037,936,Surrey,Busbridge Infant School,,Godalming,GU7 1PJ,South East,no
147671,936,Surrey,Byfleet Primary School,http://www.byfleet.surrey.sch.uk,West Byfleet,KT14 7AT,South East,no
143364,936,Surrey,Cardinal Newman Catholic Primary School,http://www.cardinalnewmanschool.co.uk,Hersham,KT12 4QT,South East,no
