urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
125654,937,Warwickshire,Abbey CofE Infant School,www.abbeyinfants.co.uk,Nuneaton,CV11 5EL,West Midlands,no
141280,937,Warwickshire,Acorns Primary School,www.acornsprimary.co.uk/,Shipston-on-Stour,CV36 5LA,West Midlands,no
137172,937,Warwickshire,Alcester Academy,http://www.alcesteracademy.org.uk,Alcester,B49 6QQ,West Midlands,no
136622,937,Warwickshire,Alcester Grammar School,http://www.alcestergs.co.uk/,Alcester,B49 5ED,West Midlands,no
148319,937,Warwickshire,All Saints Bedworth CofE Academy,https://www.allsaintsbedworth.covmat.org/,Bedworth,CV12 9HP,West Midlands,no
145392,937,Warwickshire,All Saints Church of England Academy,http://www.allsaints-leekwootton.covmat.org,Warwick,CV35 7QR,West Midlands,no
125666,937,Warwickshire,All Saints' CofE Junior School,www.allsaintsemscotefederation.co.uk,Warwick,CV34 5LY,West Midlands,no
130893,937,Warwickshire,Arden Forest Infant School,www.ardenforest.warwickshire.sch.uk/,Bedworth,CV12 9RT,West Midlands,no
150353,937,Warwickshire,Arley Primary Academy,www.arleyprimaryschool.co.uk,Coventry,CV7 8HB,West Midlands,no
137781,937,Warwickshire,Ash Green School,www.ashgreenschool.org.uk,Coventry,CV7 9AH,West Midlands,no
136587,937,Warwickshire,Ashlawn School,http://www.ashlawn.org.uk,Rugby,CV22 5ET,West Midlands,no
125484,937,Warwickshire,Atherstone Nursery School,www.atherstonenurseryschool.com,Atherstone,CV9 1LF,West Midlands,no
140125,937,Warwickshire,Austrey CofE Primary School,austrey.bdmat.org.uk,Atherstone,CV9 3EQ,West Midlands,no
137770,937,Warwickshire,Aylesford School Warwick,http://www.aylesfordschool.org.uk,Warwick,CV34 6XR,West Midlands,no
125729,937,Warwickshire,Barford St Peter's CofE Primary School,https://www.barfordstpeters.org/,Warwick,CV35 8EW,West Midlands,no
125486,937,Warwickshire,Bedworth Heath Nursery School,www.bedworthheathnursery.co.uk,Bedworth,CV12 0DP,West Midlands,no
125625,937,Warwickshire,Bidford-on-Avon CofE Primary School,www.bidfordonavon.warwickshire.sch.uk/,Alcester,B50 4QG,West Midlands,no
125682,937,Warwickshire,Bilton CofE Junior School,http://www.biltonjuniorschool.co.uk,Rugby,CV22 6LB,West Midlands,no
125579,937,Warwickshire,Bilton Infant School,http://www.biltoninfantschool.co.uk,Rugby,CV22 7NH,West Midlands,no
145575,937,Warwickshire,Bilton School,https://www.biltonschool.co.uk/,Rugby,CV22 7JT,West Midlands,no
130886,937,Warwickshire,Binley Woods Primary School,http://www.binleywoodsprimaryschool.com,Coventry,CV3 2QU,West Midlands,no
138934,937,Warwickshire,Birchwood Primary School,http://www.birchwoodprimaryschool.com/,Tamworth,B78 1QU,West Midlands,no
144242,937,Warwickshire,Bishops Itchington Primary School,http://www.bishopsitchington.com/,Southam,CV47 2RN,West Midlands,no
125607,937,Warwickshire,Bishopton Primary School,www.bishoptonprimary.co.uk,Stratford-upon-Avon,CV37 9PB,West Midlands,no
