urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
148924,938,West Sussex,Albourne Church of England Primary School,https://www.albournecep.co.uk,Hassocks,BN6 9DH,South East,no
133321,938,West Sussex,"All Saints CofE Primary School, Horsham",www.allsaints.w-sussex.sch.uk,Horsham,RH12 5JB,South East,no
125883,938,West Sussex,"Arunside School, Horsham",https://arunside.school,Horsham,RH12 1RR,South East,no
125971,938,West Sussex,Ashington CofE Primary School,http://www.ashington.w-sussex.sch.uk,Pulborough,RH20 3PG,South East,no
126020,938,West Sussex,Ashurst CofE Primary School,https://ashurst.eschools.co.uk/website,Steyning,BN44 3AY,South East,no
125929,938,West Sussex,Ashurst Wood Primary School,http://www.ashurstwoodprimary.co.uk,East Grinstead,RH19 3QW,South East,no
150828,938,West Sussex,Balcombe Cofe Primary School,http://www.balcombeschool.co.uk,Haywards Heath,RH17 6HS,South East,no
141267,938,West Sussex,"Baldwins Hill Primary School, East Grinstead",www.baldwinshillprimaryschool.co.uk/,East Grinstead,RH19 2AP,South East,no
142141,938,West Sussex,Barnham Primary School,http://www.barnhamprimaryschool.co.uk,Bognor Regis,PO22 0HW,South East,no
125838,938,West Sussex,Barns Green Primary School,http://www.barnsgreen.org.uk,Horsham,RH13 0PJ,South East,no
125922,938,West Sussex,"Bartons Primary School, Bognor Regis",http://www.bartons.w-sussex.sch.uk,Bognor Regis,PO21 5EJ,South East,no
125873,938,West Sussex,"Bersted Green Primary School, Bognor Regis",http://www.berstedgreenprimary.co.uk,Bognor Regis,PO22 9HT,South East,no
150705,938,West Sussex,Billingshurst Primary Academy,https://www.billingshurstprimary.org.uk/web,Billingshurst,RH14 9RE,South East,no
140472,938,West Sussex,"Bishop Luffa School, Chichester",http://www.bishopluffa.org.uk,Chichester,PO19 3HP,South East,no
126050,938,West Sussex,"Bishop Tufnell CofE Primary School, Felpham",https://btjs-wsussex.secure-dbprimary.com/wsussex/primary/btjs,Bognor Regis,PO22 6BN,South East,no
141892,938,West Sussex,Blackthorns Community Primary Academy,www.blackthornsprimaryacademy.org.uk/,Haywards Heath,RH16 2UA,South East,no
148141,938,West Sussex,Blackwell Primary School,,East Grinstead,RH19 3JL,South East,no
147187,938,West Sussex,Bohunt Horsham,www.bohunthorsham.com,Horsham,RH12 6AP,South East,no
140424,938,West Sussex,Bohunt School Worthing,www.bohuntworthing.com,Worthing,BN14 8AH,South East,no
126007,938,West Sussex,Bolney CofE Primary School,bolneyschool.org.uk,Haywards Heath,RH17 5QP,South East,no
150097,938,West Sussex,Bolnore Village Primary School,www.bolnorevillageprimary.org.uk,Haywards Heath,RH16 4GD,South East,no
125810,938,West Sussex,Boundstone Nursery School,www.boundstone-lancingcfc.co.uk,Lancing,BN15 9QX,South East,no
126069,938,West Sussex,Bourne Community College,http://www.bourne.org.uk/,Emsworth,PO10 8PJ,South East,no
125968,938,West Sussex,Bramber Primary School,www.bramberprimary.co.uk,Worthing,BN14 8QB,South East,no
145394,938,West Sussex,Brantridge School,www.brantridge-school.co.uk,Haywards Heath,RH17 6EQ,South East,no
138453,938,West Sussex,Broadfield Primary Academy,www.bpa-tkat.org,Crawley,RH11 9PD,South East,no
126022,938,West Sussex,Bury CofE Primary School,http://www.bury.w-sussex.sch.uk/,Pulborough,RH20 1HB,South East,no
131189,938,West Sussex,"Chalkhill Education Centre, Chalkhill Hospital",www.apcollege.co.uk,Haywards Heath,RH16 4NQ,South East,no
139668,938,West Sussex,Chichester Free School,www.chichesterfreeschool.org.uk,Chichester,PO20 1NP,South East,no
140105,938,West Sussex,Chichester High School,http://www.chs-tkat.org/,Chichester,PO19 8EB,South East,no
125808,938,West Sussex,Chichester Nursery School,www.chichesternursery.org,Chichester,PO19 7AB,South East,no
148170,938,West Sussex,Clapham and Patching CofE Primary School,www.claphamandpatching.co.uk,Worthing,BN13 3UU,South East,no
125825,938,West Sussex,Colgate Primary School,http://colgate.eschools.co.uk/website,Horsham,RH13 6HS,South East,no
125979,938,West Sussex,Compton and Up Marden CofE Primary School,https://dvsf.school/,Chichester,PO18 9EZ,South East,no
126013,938,West Sussex,Copthorne CofE Junior School,http://www.copthorne.w-sussex.sch.uk/,Copthorne,RH10 3RD,South East,no
126170,938,West Sussex,"Cornfield School, Littlehampton",http://www.cornfieldschool.org.uk,Littlehampton,BN17 6HY,South East,no
151193,938,West Sussex,Crawley Down Village CofE School,http://www.crawleydownschool.com,Crawley,RH10 4XA,South East,no
126093,938,West Sussex,"Davison Church of England High School for Girls, Worthing",http://www.davison.w-sussex.sch.uk/,Worthing,BN11 2JX,South East,no
143973,938,West Sussex,Desmond Anderson Primary Academy,www.desmondandersonprimaryacademy.co.uk,Crawley,RH10 5EA,South East,no
126087,938,West Sussex,Downlands Community School,http://downlands.w-sussex.sch.uk/,Hassocks,BN6 8LP,South East,no
145925,938,West Sussex,Downsbrook Primary School,www.downsbrook.org,Worthing,BN14 8GD,South East,no
140048,938,West Sussex,Downview Primary School,www.downviewprimary.co.uk,Bognor Regis,PO22 8ER,South East,no
140713,938,West Sussex,Durrington High School,https://www.durringtonhighschool.co.uk,Worthing,BN13 1JX,South East,no
125919,938,West Sussex,East Preston Infant School,www.epinf.co.uk,Littlehampton,BN16 1EZ,South East,no
144244,938,West Sussex,East Preston Junior School,http://www.epjs.co.uk,Littlehampton,BN16 1EZ,South East,no
125829,938,West Sussex,East Wittering Community Primary School,https://eastwitteringprimary.co.uk/,Chichester,PO20 8NH,South East,no
139674,938,West Sussex,Eastbrook Primary Academy,www.eastbrook.w-sussex.sch.uk,Brighton,BN42 4NF,South East,no
137980,938,West Sussex,Edward Bryant School,http://www.edwardbryantschool.co.uk/,Bognor Regis,PO21 1BG,South East,no
125863,938,West Sussex,"Elm Grove Primary School, Worthing",http://www.elmgrove.org.uk/,Worthing,BN11 5LQ,South East,no
126051,938,West Sussex,"English Martyrs Catholic Primary School, Worthing",www.englishmartyrs.w-sussex.sch.uk/,Worthing,BN12 6LA,South East,no
125945,938,West Sussex,Estcots Primary School,www.estcots.co.uk,East Grinstead,RH19 3TY,South East,no
125943,938,West Sussex,"Fairway Infant School, Copthorne",https://www.fairwayinfant.co.uk,Crawley,RH10 3QD,South East,no
141266,938,West Sussex,Fernhurst Primary School,http://www.fernhurst.w-sussex.sch.uk/,Haslemere,GU27 3EA,South East,no
150592,938,West Sussex,Fishbourne CofE Primary School,http://www.fishbourneprimary.co.uk,Chichester,PO19 3QS,South East,no
125984,938,West Sussex,Fittleworth CofE Village School,www.fittleworthschool.org.uk/,Fittleworth,RH20 1JB,South East,no
126163,938,West Sussex,"Fordwater School, Chichester",http://www.fordwatersch.co.uk,Chichester,PO19 6PP,South East,no
140651,938,West Sussex,Forge Wood Primary School,www.forgewoodschool.org,Crawley,RH10 3SW,South East,no
125830,938,West Sussex,Funtington Primary School,http://www.funtington.w-sussex.sch.uk,Chichester,PO18 8DR,South East,no
150066,938,West Sussex,Glebe Primary School,http://www.glebeprimary.co.uk/,Brighton,BN42 4GB,South East,no
143635,938,West Sussex,Gossops Green Primary,www.gossopsgreen.org.uk,Crawley,RH11 8HW,South East,no
148396,938,West Sussex,Graffham Church of England Infant School (Voluntary Controlled),http://www.graffhamandduncton.w-sussex.sch.uk/,Petworth,GU28 0NJ,South East,no
138492,938,West Sussex,Greenway Junior School,www.greenwayacademy.co.uk,Horsham,RH12 2JS,South East,no
141265,938,West Sussex,Halsford Park Primary School,www.halsfordparkprimaryschool.co.uk/,East Grinstead,RH19 1LR,South East,no
125932,938,West Sussex,Handcross Primary School,www.handcrossprimary.uk/,Haywards Heath,RH17 6HB,South East,no
140723,938,West Sussex,Harlands Primary School,www.harlandsprimaryschool.org,Haywards Heath,RH16 1PJ,South East,no
125933,938,West Sussex,Hassocks Infant School,http://www.hassocks.w-sussex.sch.uk,Hassocks,BN6 8EY,South East,no
150286,938,West Sussex,Hawthorns Primary School,,Worthing,BN13 3EZ,South East,no
137263,938,West Sussex,Hazelwick School,http://www.hazelwick.org,Crawley,RH10 1SX,South East,no
149713,938,West Sussex,Heene CofE Primary School,,Worthing,BN11 4BB,South East,no
125887,938,West Sussex,Heron Way Primary School,www.heronway.w-sussex.sch.uk/,Horsham,RH13 6DJ,South East,no
126169,938,West Sussex,Herons Dale School,http://www.heronsdale.co.uk/,Shoreham-by-Sea,BN43 6TN,South East,no
138648,938,West Sussex,Hilltop Primary School,www.hilltop-tkat.org,Crawley,RH11 8QL,South East,no
125965,938,West Sussex,Holbrook Primary School,www.holbrookschool.co.uk/,Horsham,RH12 5PP,South East,no
125832,938,West Sussex,Hollycombe Primary School,http://www.hollycombeprimary.org.uk,Liphook,GU30 7LY,South East,no
141906,938,West Sussex,Holmbush Primary Academy,www.holmbushprimaryacademy.org.uk,Shoreham-by-Sea,BN43 6TN,South East,no
150946,938,West Sussex,"Holy Trinity Church of England Primary School, Cuckfield",http://www.holytrinity-cuckfield.w-sussex.sch.uk,Haywards Heath,RH17 5BQ,South East,no
126098,938,West Sussex,"Holy Trinity CofE Secondary School, Crawley",http://www.holytrinity.w-sussex.sch.uk/,Crawley,RH11 8JE,South East,no
125809,938,West Sussex,Horsham Nursery School,https://www.horshamnursery.co.uk,Horsham,RH13 5UT,South East,no
126071,938,West Sussex,Ifield Community College,http://www.ifieldcc.w-sussex.sch.uk/,Crawley,RH11 0DB,South East,no
126088,938,West Sussex,Imberhorne School,http://www.imberhorne.co.uk,East Grinstead,RH19 1QY,South East,no
125880,938,West Sussex,Jessie Younghusband Primary School,http://jys.org.uk,Chichester,PO19 5PA,South East,no
147193,938,West Sussex,Kilnwood Vale Primary School,www.kilnwoodvaleschool.org,Horsham,RH12 0BZ,South East,no
141181,938,West Sussex,Kingsham Primary School,www.kingshamprimary.org.uk,Chichester,PO19 8BN,South East,no
134776,938,West Sussex,Kingslea Primary School,www.kingslea.w-sussex.sch.uk/,Horsham,RH13 5PS,South East,no
133967,938,West Sussex,Langley Green Primary,www.langleygreenprimary.co.uk/,Crawley,RH11 7PF,South East,no
150158,938,West Sussex,Lavant Primary School,http://www.lavant.w-sussex.sch.uk,Chichester,PO18 0BW,South East,no
125918,938,West Sussex,Leechpool Primary School,http://www.leechpoolprimaryschool.co.uk,Horsham,RH13 6AG,South East,no
142291,938,West Sussex,Lindfield Primary Academy,lindfieldprimaryacademy.org.uk,Haywards Heath,RH16 2DX,South East,no
146274,938,West Sussex,Littlegreen Academy,https://littlegreenacademy.info/,Chichester,PO18 9NW,South East,no
125837,938,West Sussex,Littlehaven Infant School,http://www.littlehaven.w-sussex.sch.uk/,Horsham,RH12 4EH,South East,no
125931,938,West Sussex,London Meed Community Primary School,http://www.londonmeedprimary.co.uk,Burgess Hill,RH15 9YQ,South East,no
125845,938,West Sussex,Loxwood Primary School,www.loxwoodschool.com,Billingshurst,RH14 0SR,South East,no
125927,938,West Sussex,Lyminster Primary School,http://www.lyminster.w-sussex.sch.uk,Littlehampton,BN17 7JZ,South East,no
125962,938,West Sussex,Maidenbower Infant School and Nursery,http://www.maidenbowerinfantschool.org.uk,Crawley,RH10 7RA,South East,no
126157,938,West Sussex,Manor Green College,http://www.manorgreen-college.w-sussex.sch.uk,Crawley,RH11 0DX,South East,no
126162,938,West Sussex,Manor Green Primary School,http://www.mgprimary.co.uk,Crawley,RH11 0DU,South East,no
137370,938,West Sussex,Medmerry Primary School,www.medmerryschool.co.uk,Chichester,PO20 0QJ,South East,no
135760,938,West Sussex,Midhurst Rother College,http://www.mrc-academy.org/,Midhurst,GU29 9DT,South East,no
126066,938,West Sussex,Millais School,http://www.millais.org.uk,Horsham,RH13 5HR,South East,no
147936,938,West Sussex,Milton Mount Primary School,http://www.miltonmount.co.uk,Crawley,RH10 3AG,South East,no
125841,938,West Sussex,North Lancing Primary School,http://www.northlancing.w-sussex.sch.uk,Lancing,BN15 0PT,South East,no
125847,938,West Sussex,North Mundham Primary School,http://www.northmundham.w-sussex.sch.uk,Chichester,PO20 1LA,South East,no
125846,938,West Sussex,Northchapel Community Primary School,www.northchapel.w-sussex.sch.uk/,Petworth,GU28 9JA,South East,no
133973,938,West Sussex,Northgate Primary School,http://www.northgate.w-sussex.sch.uk,Crawley,RH10 8DX,South East,no
144453,938,West Sussex,Northlands Wood Primary Academy,www.northlandswood.co.uk,Haywards Heath,RH16 3RX,South East,no
125836,938,West Sussex,"Northolmes Junior School, Horsham",www.northolmes.w-sussex.sch.uk/,Horsham,RH12 4ET,South East,no
126021,938,West Sussex,Nyewood CofE Junior School,http://www.nyewood-jun.w-sussex.sch.uk/,Bognor Regis,PO21 5NW,South East,no
126161,938,West Sussex,Oak Grove College,oakgrovecollege.org.uk,Worthing,BN13 1JX,South East,no
150711,938,West Sussex,Oak Tree Primary School,https://oaktreeprimary.co.uk/,Burgess Hill,RH15 0PZ,South East,no
150365,938,West Sussex,Orchards Infant School,,Worthing,BN12 6EN,South East,no
142381,938,West Sussex,Orchards Junior School,http://www.orchardsjunior.school,Worthing,BN12 6EN,South East,no
140199,938,West Sussex,Ormiston Six Villages Academy,http://www.ormistonsixvillagesacademy.co.uk/,Chichester,PO20 3UE,South East,no
149294,938,West Sussex,Our Lady Queen of Heaven Catholic Primary School,http://www.olqoh.com,Crawley,RH11 7PZ,South East,no
126159,938,West Sussex,Palatine Primary School,http://www.palatineschool.org,Worthing,BN12 6JP,South East,no
125921,938,West Sussex,Parklands Community Primary School,http://www.parklands.w-sussex.sch.uk/,Chichester,PO19 3AG,South East,no
125848,938,West Sussex,Plaistow and Kirdford Primary School,www.plaistowandkirdford.org,Billingshurst,RH14 0PX,South East,no
138402,938,West Sussex,Portfield Primary Academy,http://www.portfield-tkat.org,West Sussex,PO19 7HA,South East,no
142290,938,West Sussex,Pound Hill Infant Academy,www.poundhillinfantacademy.org.uk,Crawley,RH10 7EB,South East,no
125905,938,West Sussex,"Pound Hill Junior School, Crawley",http://www.poundhilljunior.org.uk,Crawley,RH10 7EB,South East,no
126160,938,West Sussex,"Queen Elizabeth II Silver Jubilee School, Horsham",www.queenelizabeth2.w-sussex.sch.uk,Horsham,RH13 5NW,South East,no
125989,938,West Sussex,Rake CofE Primary School,https://www.dvsf.school/Rake-CE-Primary/,Liss,GU33 7JH,South East,no
140089,938,West Sussex,River Beach Primary School,www.riverbeach.w-sussex.sch.uk/,Littlehampton,BN17 6EW,South East,no
125991,938,West Sussex,Rogate CofE Primary School,http://www.rogate.w-sussex.sch.uk/,Petersfield,GU31 5HH,South East,no
125928,938,West Sussex,Rose Green Infant School,http://www.rosegreeninfant.school,Bognor Regis,PO21 3LW,South East,no
141600,938,West Sussex,Rose Green Junior School,www.rosegreenjunior.co.uk,Bognor Regis,PO21 3NA,South East,no
125849,938,West Sussex,Rudgwick Primary School,https://www.rudgwick.w-sussex.sch.uk/,Horsham,RH12 3HW,South East,no
148184,938,West Sussex,Rumboldswhyke CofE Primary School,www.rumboldswhyke.org.uk,Chichester,PO19 7UA,South East,no
150703,938,West Sussex,Rusper Primary School,,Horsham,RH12 4PR,South East,no
139478,938,West Sussex,Rustington Community Primary School,www.rustington.academy,Littlehampton,BN16 3PW,South East,no
126089,938,West Sussex,Sackville School,http://www.sackville.w-sussex.sch.uk/,East Grinstead,RH19 3TY,South East,no
138071,938,West Sussex,Seal Primary Academy,www.seal-tkat.org,Selsey,PO20 0BN,South East,no
143387,938,West Sussex,Seaside Primary School,www.seaside.w-sussex.sch.uk/,Lancing,BN15 8DL,South East,no
138645,938,West Sussex,Seymour Primary School,www.seymour-tkat.org,Crawley,RH11 9ES,South East,no
135962,938,West Sussex,Shoreham Academy,http://www.shoreham-academy.org,Shoreham-by-Sea,BN43 6YT,South East,no
