urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
121857,940,North Northamptonshire,Alfred Lord Tennyson School-2 Sites,http://www.alts.northants.sch.uk,Rushden,NN10 9YS,East Midlands,no
121998,940,North Northamptonshire,All Saints CEVA Primary School and Nursery,www.allsaintscevawellingborough.org.uk,Wellingborough,NN8 1LS,East Midlands,no
121951,940,North Northamptonshire,Barton Seagrave Primary School,www.bartonseagraveprimaryschool.org,Kettering,NN15 6QY,East Midlands,no
138672,940,North Northamptonshire,Beanfield Primary School,www.beanfieldprimary.org,Corby,NN18 0LJ,East Midlands,no
137086,940,North Northamptonshire,Bishop Stopford School,http://www.bishopstopford.com,Kettering,NN15 6BJ,East Midlands,no
146674,940,North Northamptonshire,Bozeat Community Primary School,www.bozeat.northants.sch.uk,Wellingborough,NN29 7LP,East Midlands,no
141632,940,North Northamptonshire,Brambleside Primary School,www.brambleside.northants.sch.uk/,Kettering,NN16 9NZ,East Midlands,no
121799,940,North Northamptonshire,Broughton Primary School,www.broughtonprimaryschool.co.uk/,Kettering,NN14 1NB,East Midlands,no
148583,940,North Northamptonshire,Chelveston Road School,https://www.chelvestonroadschool.org/,Higham Ferrers,NN10 8HN,East Midlands,no
143025,940,North Northamptonshire,Compass Primary Academy,www.compassprimary.org,Kettering,NN15 7EA,East Midlands,no
135306,940,North Northamptonshire,Corby Business Academy,www.corbybusinessacademy.org,Corby,NN17 5EB,East Midlands,no
121808,940,North Northamptonshire,Corby Old Village Primary School,www.covp.org.uk/,Corby,NN17 1UU,East Midlands,no
139827,940,North Northamptonshire,Corby Primary Academy,www.corbyprimaryacademy.org,Corby,NN18 8QA,East Midlands,no
138254,940,North Northamptonshire,Corby Technical School,www.corbytechnicalschool.org,Corby,NN17 1TD,East Midlands,no
142661,940,North Northamptonshire,Cottingham Church of England Primary School,www.cottinghamprimary.co.uk/,Market Harborough,LE16 8XB,East Midlands,no
144841,940,North Northamptonshire,Cranford CofE Primary School,www.cranford.northants.sch.uk,Kettering,NN14 4AE,East Midlands,no
133600,940,North Northamptonshire,Croyland Primary School,http://www.croylandprimary.co.uk,Wellingborough,NN8 2AX,East Midlands,no
142185,940,North Northamptonshire,Danesholme Infant Academy,www.danesholmeinfantacademy.org,Corby,NN18 9DT,East Midlands,no
142062,940,North Northamptonshire,Danesholme Junior Academy,www.danesholmejunioracademy.org,Corby,NN18 9DT,East Midlands,no
121942,940,North Northamptonshire,Denfield Park Primary School,www.denfieldparkprimary.co.uk,Rushden,NN10 0DA,East Midlands,no
121902,940,North Northamptonshire,Earls Barton Primary School,www.earlsbartonprimary.org.uk,Northampton,NN6 0ND,East Midlands,no
142400,940,North Northamptonshire,Ecton Village Primary School,www.ectonvillageacademy.org.uk,Northampton,NN6 0QF,East Midlands,no
146827,940,North Northamptonshire,Exeter A Learning Community Academy,,Corby,NN18 8DL,East Midlands,no
141899,940,North Northamptonshire,Finedon Infant School,http://www.finedon.northants.sch.uk,Wellingborough,NN9 5JG,East Midlands,no
141900,940,North Northamptonshire,Finedon Mulso Church of England Junior School,www.finedon.northants.sch.uk/,Wellingborough,NN9 5JT,East Midlands,no
139461,940,North Northamptonshire,Freemans Endowed Church of England Junior Academy,http://www.freemansendowed.org,Wellingborough,NN8 3HD,East Midlands,no
140277,940,North Northamptonshire,Friars Academy,http://www.friarsacademy.org,Wellingborough,NN8 2LA,East Midlands,no
121972,940,North Northamptonshire,Geddington Church of England Primary School,http://www.geddingtonschool.co.uk,Kettering,NN14 1BG,East Midlands,no
147256,940,North Northamptonshire,Glapthorn Church of England Primary School,www.glapthornprimaryschool.co.uk,Peterborough,PE8 5BQ,East Midlands,no
139585,940,North Northamptonshire,Grange Primary Academy,www.grangeprimaryacademy.org.uk,Kettering,NN16 0PL,East Midlands,no
141462,940,North Northamptonshire,Great Addington CofE Primary School,www.greataddingtonprimary.org.uk,Kettering,NN14 4BS,East Midlands,no
121821,940,North Northamptonshire,Great Doddington Primary,www.greatdoddingtonprimary.co.uk/,Wellingborough,NN29 7TR,East Midlands,no
140191,940,North Northamptonshire,Greenfields Primary School and Nursery,http://www.greenfields-pri.co.uk/,Kettering,NN15 6HY,East Midlands,no
121975,940,North Northamptonshire,Grendon Church of England Primary School,www.grendonprimary.net/,Northampton,NN7 1JW,East Midlands,no
138761,940,North Northamptonshire,Gretton Primary Academy,www.grettonprimary.org,Corby,NN17 3DB,East Midlands,no
144318,940,North Northamptonshire,Hall Meadow Primary School,www.hallmeadow.org,Kettering,NN15 7RP,East Midlands,no
140051,940,North Northamptonshire,Havelock Infant School,www.havelockschools.org.uk,Kettering,NN14 2LU,East Midlands,no
140054,940,North Northamptonshire,Havelock Junior School,www.havelockschools.org.uk,Kettering,NN14 2LU,East Midlands,no
146905,940,North Northamptonshire,Hawthorn Community Primary School,www.hawthornprimarykettering.co.uk,Kettering,NN15 7HT,East Midlands,no
142113,940,North Northamptonshire,Hayfield Cross CofE School,www.hayfieldcross.org.uk,Kettering,NN15 5FJ,East Midlands,no
141982,940,North Northamptonshire,Hazel Leys Academy,www.hazelleysacademy.org,Corby,NN18 0QF,East Midlands,no
133552,940,North Northamptonshire,Henry Chichele Primary School,www.henrychichele.northants.sch.uk,Higham Ferrers,NN10 8NQ,East Midlands,no
151278,940,North Northamptonshire,Higham Ferrers Junior School,www.highamferrersjunior.co.uk/,Rushden,NN10 8ED,East Midlands,no
151246,940,North Northamptonshire,Higham Ferrers Nursery and Infant School,www.highamferrers-inf.northants.sch.uk/,Rushden,NN10 8BQ,East Midlands,no
149433,940,North Northamptonshire,Huxlow Academy,https://www.huxlow.northants.sch.uk/,Irthlingborough,NN9 5TY,East Midlands,no
146482,940,North Northamptonshire,Irchester Community Primary School,www.irchesterprimary.co.uk,Wellingborough,NN29 7AZ,East Midlands,no
141910,940,North Northamptonshire,Irthlingborough Junior School,http://www.irthlingborough-jun.northants.sch.uk,Wellingborough,NN9 5TX,East Midlands,no
141909,940,North Northamptonshire,Irthlingborough Nursery and Infant School,www.irthlingborough-inf.northants.sch.uk/,Wellingborough,NN9 5TT,East Midlands,no
141791,940,North Northamptonshire,Isebrook School,www.isebrooksen.co.uk,Kettering,NN15 6PT,East Midlands,no
144858,940,North Northamptonshire,Isham Church of England Primary School,,Kettering,NN14 1HD,East Midlands,no
