urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
140190,941,West Northamptonshire,Abbey CofE Academy,www.abbeyceacademy.co.uk/,Daventry,NN11 4GD,East Midlands,no
138858,941,West Northamptonshire,Abbeyfield School,www.abbeyfieldschool.org.uk,Northampton,NN4 8BU,East Midlands,no
138952,941,West Northamptonshire,Abington Vale Primary School,www.abingtonvaleprimary.org.uk,Northampton,NN3 3NQ,East Midlands,no
122096,941,West Northamptonshire,All Saints CofE VA Primary School,www.allsaintscevakingsthorpe.org.uk,Northampton,NN2 7AJ,East Midlands,no
145446,941,West Northamptonshire,Ashby Fields Primary School,http://www.ashbyfields.co.uk,Daventry,NN11 0YP,East Midlands,no
121957,941,West Northamptonshire,Ashton CofE Primary School,www.ashtonceprimary.org.uk,Northampton,NN7 2JH,East Midlands,no
141077,941,West Northamptonshire,Badby School,www.badbyschool.com/,Badby,NN11 3AJ,East Midlands,no
141044,941,West Northamptonshire,Barby Church of England Primary School,www.barbyceprimary.org.uk,Rugby,CV23 8TR,East Midlands,no
121939,941,West Northamptonshire,Barry Primary School,www.barryprimary.com/,Northampton,NN1 5JS,East Midlands,no
140436,941,West Northamptonshire,Billing Brook Special School,www.billingbrook.co.uk,Northampton,NN3 8EZ,East Midlands,no
146035,941,West Northamptonshire,Blackthorn Primary School,www.blackthornprimary.net,Northampton,NN3 8EP,East Midlands,no
145091,941,West Northamptonshire,Blakesley Church of England Primary School,http://www.blakesleyprimary.org.uk,Towcester,NN12 8RD,East Midlands,no
121794,941,West Northamptonshire,Blisworth Community Primary School,http://www.blisworth.northants.sch.uk,Northampton,NN7 3DD,East Midlands,no
140056,941,West Northamptonshire,Boddington Church of England Primary Academy,www.boddingtonschool.org/,Daventry,NN11 6DL,East Midlands,no
121931,941,West Northamptonshire,Boothville Primary School,https://www.boothvilleprimary.net/,Northampton,NN3 6JG,East Midlands,no
138760,941,West Northamptonshire,Boughton Primary School,www.boughtonprimaryschool.org.uk/,Northampton,NN2 8RG,East Midlands,no
144394,941,West Northamptonshire,Bracken Leas Primary School,www.brackenleasacademy.com,Brackley,NN13 6LF,East Midlands,no
121961,941,West Northamptonshire,Brackley Church of England Junior School,www.brackleycofejuniorschool.co.uk,BRACKLEY,NN13 6EE,East Midlands,no
141048,941,West Northamptonshire,Braunston Church of England Primary School,www.braunstonprimary.org.uk,Daventry,NN11 7HF,East Midlands,no
138917,941,West Northamptonshire,Briar Hill Primary School & Nursery,www.briarhillprimary.co.uk,Northampton,NN4 8SW,East Midlands,no
