urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
112272,942,Cumberland,All Saints' CofE School,https://www.allsaintscockermouth.org.uk/,Cockermouth,CA13 9BH,North West,no
112100,942,Cumberland,Allonby Primary School,http://www.allonby.cumbria.sch.uk,Maryport,CA15 6QG,North West,no
147395,942,Cumberland,Arlecdon Primary School,https://arlecdon.education,FRIZINGTON,CA26 3XA,North West,no
112146,942,Cumberland,Ashfield Infant & Nursery School,www.ashfieldinf.cumbria.sch.uk,Workington,CA14 3JG,North West,no
112147,942,Cumberland,Ashfield Junior School,www.ashfieldjuniorschool.co.uk,Workington,CA14 4ES,North West,no
145326,942,Cumberland,Bassenthwaite Primary School,http://www.bassenthwaite.cumbria.sch.uk,Keswick,CA12 4QH,North West,no
112345,942,Cumberland,Beckermet CofE School,www.beckermet.cumbria.sch.uk,Beckermet,CA21 2YD,North West,no
134739,942,Cumberland,Beckstone Primary School,www.beckstone.cumbria.sch.uk,Workington,CA14 5PX,North West,no
112228,942,Cumberland,Belle Vue Primary School,www.bellevue.cumbria.sch.uk,Carlisle,CA2 7PT,North West,no
112103,942,Cumberland,Bewcastle School,www.bewcastle.cumbria.sch.uk,Carlisle,CA6 6PF,North West,no
112160,942,Cumberland,Black Combe Junior School,www.blackcombe.cumbria.sch.uk,Millom,LA18 5DT,North West,no
112104,942,Cumberland,Blennerhasset School,http://www.blennerhasset.cumbria.sch.uk/,Wigton,CA7 3RL,North West,no
112245,942,Cumberland,Boltons CofE School,www.boltons.cumbria.sch.uk,Wigton,CA7 8PA,North West,no
112155,942,Cumberland,Bookwell Primary School,http://www.bookwell.cumbria.sch.uk,Egremont,CA22 2LT,North West,no
112333,942,Cumberland,Borrowdale CofE Primary School,www.borrowdaleschool.com,Keswick,CA12 5XG,North West,no
112414,942,Cumberland,Bowness-on-Solway Primary School,http://www.bowness-on-solway.cumbria.sch.uk,Wigton,CA7 5AF,North West,no
142106,942,Cumberland,Braithwaite CofE Primary School,www.braithwaite.cumbria.sch.uk,Keswick,CA12 5TD,North West,no
112405,942,Cumberland,Brampton Primary School,www.bramptonprimaryschool.co.uk/,Brampton,CA8 1BZ,North West,no
112167,942,Cumberland,Bransty Primary School,www.bransty.cumbria.sch.uk,Whitehaven,CA28 6EG,North West,no
143723,942,Cumberland,Branthwaite Academy,https://branthwaiteacademy.co.uk,Workington,CA14 4SS,North West,no
112270,942,Cumberland,Bridekirk Dovenby CofE Primary School,www.bridekirkdovenby.cumbria.sch.uk/,Cockermouth,CA13 0PG,North West,no
112231,942,Cumberland,Brook Street Primary School,www.brookstreetschool.co.uk,Carlisle,CA1 2JB,North West,no
137513,942,Cumberland,Broughton Primary School,www.broughtonprimarysch.co.uk,Cockermouth,CA13 0YT,North West,no
112106,942,Cumberland,Burgh by Sands School,http://www.burgh-by-sands.cumbria.sch.uk,Carlisle,CA5 6AP,North West,no
147114,942,Cumberland,Caldew Lea School,https://www.caldewlea.cumbria.sch.uk/,Carlisle,CA2 7BE,North West,no
137254,942,Cumberland,Caldew School,http://caldew.cumbria.sch.uk/,Carlisle,CA5 7NN,North West,no
112290,942,Cumberland,Captain Shaw's CofE School,www.capt-shaws.cumbria.sch.uk/,Millom,LA19 5TG,North West,no
137653,942,Cumberland,Castle Carrock School,www.castlecarrock.cumbria.sch.uk,Brampton,CA8 9LU,North West,no
112088,942,Cumberland,Cleator Moor Nursery School,www.cleatormoornurseryschool.co.uk,Cleator Moor,CA25 5LW,North West,no
142306,942,Cumberland,Cockermouth School,http://www.cockermouthschool.org/,Cockermouth,CA13 9HF,North West,no
138896,942,Cumberland,Crosby-on-Eden CofE School,http://www.crosby-on-eden.cumbria.sch.uk,Carlisle,CA6 4QN,North West,no
112107,942,Cumberland,Cummersdale School,www.cummersdale.cumbria.sch.uk,Carlisle,CA2 6BD,North West,no
112108,942,Cumberland,Cumwhinton School,www.cumwhinton.cumbria.sch.uk/,Carlisle,CA4 8DU,North West,no
146756,942,Cumberland,Dean CofE School,,Workington,CA14 4TH,North West,no
137602,942,Cumberland,Dearham Primary School,https://dearham.education,Maryport,CA15 7HR,North West,no
112239,942,Cumberland,Derwent Vale Primary and Nursery School,http://www.derwentvale.cumbria.sch.uk,Workington,CA14 1WA,North West,no
133264,942,Cumberland,Distington Community School,www.distington-comm.cumbria.sch.uk/,Workington,CA14 5TE,North West,no
136784,942,Cumberland,Eaglesfield Paddle CofE Primary Academy,http://www.eaglesfieldpaddle.cumbria.sch.uk,Cockermouth,CA13 0QY,North West,no
148870,942,Cumberland,Ellenborough Academy,www.ellenborough.cumbria.sch.uk,Maryport,CA15 7NE,North West,no
140600,942,Cumberland,Energy Coast UTC,http://www.energycoastutc.co.uk/,Workington,CA14 4JW,North West,no
112293,942,Cumberland,Ennerdale and Kinniside CofE Primary School,http://www.ennerdale.cumbria.sch.uk,Cleator,CA23 3AR,North West,no
142196,942,Cumberland,Fairfield Primary School,http://www.fairfieldprimary.co.uk,Cockermouth,CA13 0DX,North West,no
112238,942,Cumberland,Fellview Primary School,www.fellview.cumbria.sch.uk/,Wigton,CA7 8HF,North West,no
146423,942,Cumberland,Flimby Primary School,https://flimby.education,Maryport,CA15 8PJ,North West,no
112156,942,Cumberland,Frizington Community Primary School,http://www.frizington-pri.cumbria.sch.uk,Frizington,CA26 3PF,North West,no
112090,942,Cumberland,Frizington Nursery School,www.frizington-nur.cumbria.sch.uk,Frizington,CA26 3PF,North West,no
138159,942,Cumberland,Gilsland CofE Primary School,www.gilsland.cumbria.sch.uk,Brampton,CA8 7AA,North West,no
112294,942,Cumberland,Gosforth CofE Primary School,http://www.gosforth.cumbria.sch.uk,Seascale,CA20 1AZ,North West,no
137860,942,Cumberland,Great Corby School and Nursery,http://www.gtcorby.cumbria.sch.uk,Carlisle,CA4 8NE,North West,no
112110,942,Cumberland,Great Orton Primary School,http://www.greatorton.cumbria.sch.uk,Carlisle,CA5 6NA,North West,no
112157,942,Cumberland,Haverigg Primary School,www.haverigg.cumbria.sch.uk/,Millom,LA18 4HA,North West,no
147597,942,Cumberland,Hensingham Primary School,www.hensingham.cumbria.sch.uk,Whitehaven,CA28 8QZ,North West,no
112217,942,Cumberland,Inglewood Infant School,www.inglewood-inf.cumbria.sch.uk/,Carlisle,CA1 3LX,North West,no
112216,942,Cumberland,Inglewood Junior School,www.inglewood-jun.co.uk,Carlisle,CA1 3QA,North West,no
112251,942,Cumberland,Ireby CofE School,www.irebycofeschool.co.uk,Wigton,CA7 1DS,North West,no
146250,942,Cumberland,James Rennie School,www.jamesrennie.cumbria.sch.uk,Carlisle,CA3 0BU,North West,no
112175,942,Cumberland,Jericho Primary School,www.jericho.cumbria.sch.uk/,Whitehaven,CA28 6UX,North West,no
112169,942,Cumberland,Kells Infant School,http://www.kells-inf.cumbria.sch.uk,Whitehaven,CA28 9PQ,North West,no
136902,942,Cumberland,Keswick School,http://www.keswick.cumbria.sch.uk/,Keswick,CA12 5QB,North West,no
112229,942,Cumberland,Kingmoor Junior School,www.kingmoor-jun.cumbria.sch.uk/,Carlisle,CA3 0DU,North West,no
112230,942,Cumberland,Kingmoor Nursery and Infant School,www.kingmoorinfants.com,Carlisle,CA3 0ES,North West,no
112252,942,Cumberland,Kirkbampton CofE School,www.kirkbampton.cumbria.sch.uk/,Carlisle,CA5 6HX,North West,no
148336,942,Cumberland,Kirkland Church of England Academy,https://www.kirkland.cumbria.sch.uk/,Frizington,CA26 3XU,North West,no
112254,942,Cumberland,Lanercost CofE Primary School,www.lanercostschool.org.uk/,Brampton,CA8 2HL,North West,no
143116,942,Cumberland,Longtown Primary School,,Carlisle,CA6 5UG,North West,no
143781,942,Cumberland,Lorton School,www.lorton.cumbria.sch.uk/,Cockermouth,CA13 9UL,North West,no
112158,942,Cumberland,Lowca Community School,www.lowca.cumbria.sch.uk,Whitehaven,CA28 6QS,North West,no
112159,942,Cumberland,Millom Infant School,www.millom-inf.cumbria.sch.uk,Millom,LA18 4LP,North West,no
112388,942,Cumberland,Millom School,http://www.millom.cumbria.sch.uk/,Millom,LA18 5AB,North West,no
112170,942,Cumberland,Monkwray Junior School,http://www.monkwray.cumbria.sch.uk,Whitehaven,CA28 9DT,North West,no
112161,942,Cumberland,Moor Row Community Primary School,http://www.moor-row.cumbria.sch.uk/,Moor Row,CA24 3JW,North West,no
112162,942,Cumberland,Moresby Primary School,www.moresby.cumbria.sch.uk/,Whitehaven,CA28 8UX,North West,no
112382,942,Cumberland,Netherhall School,https://www.netherhall.cumbria.sch.uk/,Maryport,CA15 6NT,North West,no
112137,942,Cumberland,Netherton Infant School,,Maryport,CA15 7LT,North West,no
112226,942,Cumberland,Newlaithes Infant School,www.newinf.cumbria.sch.uk,Carlisle,CA2 6DX,North West,no
112224,942,Cumberland,Newlaithes Junior School,www.newlaithes.com,Carlisle,CA2 6DX,North West,no
148137,942,Cumberland,Newtown Primary School,www.newtown.cumbria.sch.uk,Carlisle,CA2 7LW,North West,no
112219,942,Cumberland,Norman Street Primary School,www.normanst.cumbria.sch.uk,Carlisle,CA1 2BQ,North West,no
143536,942,Cumberland,Northside Primary School,www.northside.cumbria.sch.uk,Workington,CA14 1BD,North West,no
131443,942,Cumberland,Orgill Primary School,www.orgill.cumbria.sch.uk/,Egremont,CA22 2HH,North West,no
112138,942,Cumberland,Oughterside Primary School,www.oughtersideschool.co.uk/,Wigton,CA7 2PY,North West,no
149245,942,Cumberland,"Our Lady and St Patrick's Catholic Primary School, Maryport",www.st-pat-maryport.cumbria.sch.uk,Maryport,CA15 8HN,North West,no
149410,942,Cumberland,Petteril Bank School,www.petbank.cumbria.sch.uk,Carlisle,CA1 3BX,North West,no
112257,942,Cumberland,Raughton Head CofE School & Nursery,http://www.raughtonhead.cumbria.sch.uk,Carlisle,CA5 7DD,North West,no
135621,942,Cumberland,Richard Rose Central Academy,http://www.rrca.org.uk,Carlisle,CA1 1LY,North West,no
135620,942,Cumberland,Richard Rose Morton Academy,http://www.rrma.org.uk/,Carlisle,CA2 6LB,North West,no
112127,942,Cumberland,Richmond Hill School,www.richmondhillprimary.co.uk,Wigton,CA7 3BQ,North West,no
112242,942,Cumberland,Robert Ferguson Primary School,www.rferguson.org,Carlisle,CA2 5LA,North West,no
112306,942,Cumberland,Rosley CofE School,http://www.rosley.cumbria.sch.uk,Wigton,CA7 8AU,North West,no
112403,942,Cumberland,Scotby CofE Primary School,www.scotby.cumbria.sch.uk,Carlisle,CA4 8AT,North West,no
112163,942,Cumberland,Seascale Primary School,http://www.seascaleschool.co.uk,Seascale,CA20 1LZ,North West,no
136285,942,Cumberland,Seaton Academy,http://www.seatonacademy.co.uk,Workington,CA14 1NP,North West,no
112277,942,Cumberland,Seaton St. Paul's CofE Junior School,www.seaton-jun.cumbria.sch.uk/,Workington,CA14 1HA,North West,no
112235,942,Cumberland,Silloth Primary School,www.silloth.cumbria.sch.uk/,Wigton,CA7 4DR,North West,no
112369,942,Cumberland,St Bede's Catholic Primary School,www.stbedes.cumbria.sch.uk/,Carlisle,CA2 7DS,North West,no
149818,942,Cumberland,St Bees Village Primary School,https://stbeesvillageschool.education,St Bees,CA27 0AA,North West,no
112349,942,Cumberland,St Bega's CofE Primary School,http://www.st-begas.cumbria.sch.uk/,Holmrook,CA19 1TW,North West,no
112354,942,Cumberland,St Begh's Catholic Junior School,http://www.stbeghs.co.uk,Whitehaven,CA28 7TE,North West,no
112348,942,Cumberland,St Bridget's Catholic Primary School,www.st-bridgets-pri.cumbria.sch.uk/,Egremont,CA22 2BD,North West,no
112271,942,Cumberland,St Bridget's CofE School,www.brigham.cumbria.sch.uk,Cockermouth,CA13 0TU,North West,no
112296,942,Cumberland,St Bridget's CofE School,www.stbridgets-par.cumbria.sch.uk/,Whitehaven,CA28 6NY,North West,no
151053,942,Cumberland,St Cuthbert's Catholic Primary School,http://www.stcuthbertswigton.co.uk,Wigton,CA7 9HZ,North West,no
148700,942,Cumberland,"St Cuthberts Catholic Primary School, Carlisle",http://www.st-cuthberts-carlisle.cumbria.sch.uk,Carlisle,CA1 2UE,North West,no
112355,942,Cumberland,St Gregory and St Patrick's Catholic Infant School,www.stgregpat.co.uk/,Whitehaven,CA28 8AJ,North West,no
149246,942,Cumberland,"St Gregory's Catholic Primary School, Workington",http://www.stgregorys.cumbria.sch.uk,Workington,CA14 3PD,North West,no
