urn,district_code,district_name,school_name,website,town,postcode,region,has_email_collected
141978,943,Westmorland and Furness,Ambleside CofE Primary School,www.ambleside.cumbria.sch.uk,Ambleside,LA22 9DH,North West,no
137251,943,Westmorland and Furness,Appleby Grammar School,http://www.appleby.cumbria.sch.uk,Appleby-in-Westmorland,CA16 6XU,North West,no
112408,943,Westmorland and Furness,Appleby Primary School,www.applebyprimary.cumbria.sch.uk/,Appleby-in-Westmorland,CA16 6TX,North West,no
137686,943,Westmorland and Furness,Arnside National CofE School,http://www.arnside.cumbria.sch.uk,Carnforth,LA5 0DW,North West,no
112267,943,Westmorland and Furness,Asby Endowed School,www.asby.cumbria.sch.uk/,Appleby-in-Westmorland,CA16 6EX,North West,no
112236,943,Westmorland and Furness,Barrow Island Community Primary School,,Barrow-in-Furness,LA14 2SJ,North West,no
112313,943,Westmorland and Furness,Beetham CofE Primary School,www.beethamschool.co.uk/,Milnthorpe,LA7 7AS,North West,no
112176,943,Westmorland and Furness,Bolton Primary School,www.bolton.cumbria.sch.uk,Appleby-in-Westmorland,CA16 6AW,North West,no
112199,943,Westmorland and Furness,Brisbane Park Infant School,https://www.brisbanepark.cumbria.sch.uk/,Barrow-in-Furness,LA14 1NY,North West,no
112177,943,Westmorland and Furness,Brough Community Primary School,www.broughschool.org,Brough,CA17 4EW,North West,no
112287,943,Westmorland and Furness,Broughton CofE Primary and Nursery School,www.broughton-furness.cumbria.sch.uk,Broughton-in-Furness,LA20 6BJ,North West,no
137537,943,Westmorland and Furness,Burton Morewood CofE Primary School,http://www.burtonmorewood.cumbria.sch.uk,Carnforth,LA6 1ND,North West,no
112301,943,Westmorland and Furness,Calthwaite CofE School,www.calthwaite.cumbria.sch.uk/,Penrith,CA11 9QT,North West,no
150005,943,Westmorland and Furness,Cambridge Primary School,www.cambridge.cumbria.sch.uk/,Barrow-in-Furness,LA13 9RP,North West,no
137338,943,Westmorland and Furness,Cartmel Priory CofE School,http://www.cartmelprioryschool.co.uk,Grange-over-Sands,LA11 7SA,North West,no
142693,943,Westmorland and Furness,Castle Park School,www.castleparkschool.org.uk/,Kendal,LA9 6BE,North West,no
141106,943,Westmorland and Furness,Chetwynde School,www.chetwynde.co.uk,Barrow-in-Furness,LA13 0NY,North West,no
112361,943,Westmorland and Furness,Church Walk CofE Primary School,www.churchwalk.cumbria.sch.uk/,Ulverston,LA12 7EN,North West,no
112178,943,Westmorland and Furness,Clifton Primary School,http://www.clifton.cumbria.sch.uk,Penrith,CA10 2EG,North West,no
112279,943,Westmorland and Furness,Coniston CofE Primary School,www.coniston.cumbria.sch.uk,Coniston,LA21 8AL,North West,no
112198,943,Westmorland and Furness,Croftlands Junior School,www.croftlands-jun.cumbria.sch.uk,Ulverston,LA12 9JU,North West,no
112315,943,Westmorland and Furness,Crosby Ravensworth CofE School,www.crosbyravensworth.cumbria.sch.uk,Penrith,CA10 3JJ,North West,no
112316,943,Westmorland and Furness,Crosscrake CofE Primary School,www.crosscrake.cumbria.sch.uk,Kendal,LA8 0LB,North West,no
112317,943,Westmorland and Furness,Crosthwaite CofE School,www.crosthwaiteprimary.net,Kendal,LA8 8HT,North West,no
112302,943,Westmorland and Furness,Culgaith CofE School,http://www.culgaith.cumbria.sch.uk,Penrith,CA10 1QL,North West,no
137205,943,Westmorland and Furness,Dallam School,http://www.dallamschool.co.uk,Cumbria,LA7 7DD,North West,no
112213,943,Westmorland and Furness,Dane Ghyll Community Primary School and Nursery,www.daneghyll.cumbria.sch.uk/,Barrow in Furness,LA14 4PG,North West,no
112343,943,Westmorland and Furness,Dean Barwick Primary School,www.deanbarwick.cumbria.sch.uk,Grange-over-Sands,LA11 6RS,North West,no
148697,943,Westmorland and Furness,"Dean Gibson Catholic Primary School, Kendal",http://www.deangibson.cumbria.sch.uk,Kendal,LA9 5HB,North West,no
112331,943,Westmorland and Furness,Dent CofE Voluntary Aided Primary School,http://www.dent.cumbria.sch.uk,Sedbergh,LA10 5QJ,North West,no
141993,943,Westmorland and Furness,George Hastwell School Special Academy,www.georgehastwell.org.uk,Barrow-in-Furness,LA14 3LW,North West,no
112234,943,Westmorland and Furness,George Romney Junior School,www.grjs.cumbria.sch.uk/,Dalton-in-Furness,LA15 8SE,North West,no
138744,943,Westmorland and Furness,Ghyllside Primary School,http://www.ghyllside.cumbria.sch.uk,Kendal,LA9 4JB,North West,no
112191,943,Westmorland and Furness,Goodly Dale Primary School,www.goodlydaleprimaryschool.co.uk,Windermere,LA23 2JX,North West,no
112319,943,Westmorland and Furness,Grasmere CofE Primary School,www.grasmereschool.com,Ambleside,LA22 9SJ,North West,no
112320,943,Westmorland and Furness,Grayrigg CofE School,http://www.grayrigg.cumbria.sch.uk,Kendal,LA8 9BU,North West,no
112206,943,Westmorland and Furness,Greengate Junior School,,Barrow-in-Furness,LA14 1BG,North West,no
112248,943,Westmorland and Furness,High Hesket CofE School,www.high-hesket.cumbria.sch.uk/,Carlisle,CA4 0HU,North West,no
112093,943,Westmorland and Furness,Hindpool Nursery School,www.hindpoolnurseryschool.co.uk,Barrow-in-Furness,LA14 5TS,North West,no
112179,943,Westmorland and Furness,Holme Primary School,http://www.holmeschool.cumbria.sch.uk,Carnforth,LA6 1QA,North West,no
112366,943,Westmorland and Furness,Holy Family Catholic Primary School,,Barrow-in-Furness,LA13 9LR,North West,no
112303,943,Westmorland and Furness,Ivegill CofE School,www.ivegill.cumbria.sch.uk/,Carlisle,CA4 0PA,North West,no
112384,943,Westmorland and Furness,John Ruskin School,http://www.jrs.org.uk,Coniston,LA21 8EW,North West,no
136671,943,Westmorland and Furness,Kirkbie Kendal School,http://www.kirkbiekendal.cumbria.sch.uk/,Kendal,LA9 7EQ,North West,no
137107,943,Westmorland and Furness,Kirkby Stephen Grammar School,www.ksgs.cumbria.sch.uk,Kirkby Stephen,CA17 4HA,North West,no
112180,943,Westmorland and Furness,Kirkby Stephen Primary School,www.ksps-cumbria.co.uk,Kirkby Stephen,CA17 4AE,North West,no
150507,943,Westmorland and Furness,Kirkby Thore School,https://www.kirkbythore.education,Penrith,CA10 1UU,North West,no
112321,943,Westmorland and Furness,Langdale CofE School,www.langdalecofeschool.co.uk,Ambleside,LA22 9JE,North West,no
112356,943,Westmorland and Furness,Leven Valley CofE Primary School,http://www.levenvalley.cumbria.sch.uk,ULVERSTON,LA12 8QF,North West,no
149655,943,Westmorland and Furness,Lindal and Marton Primary School,www.lindalmarton.com/,Ulverston,LA12 0NB,North West,no
112182,943,Westmorland and Furness,Long Marton School,www.longmartoncommunityschool.co.uk/,Appleby-in-Westmorland,CA16 6BT,North West,no
112299,943,Westmorland and Furness,Low Furness CofE Primary School,www.low-furness-primary-school.co.uk,Ulverston,LA12 0TA,North West,no
112342,943,Westmorland and Furness,Lowther Endowed School,www.lowther.cumbria.sch.uk/,Penrith,CA10 2HT,North West,no
112183,943,Westmorland and Furness,Milburn School,http://www.milburn.cumbria.sch.uk/,Penrith,CA10 1TN,North West,no
112184,943,Westmorland and Furness,Milnthorpe Primary School,www.milnthorpe.cumbria.sch.uk,Milnthorpe,LA7 7QF,North West,no
112324,943,Westmorland and Furness,Morland Area CofE Primary School,www.morlandarea.cumbria.sch.uk/,Penrith,CA10 3AT,North West,no
149961,943,Westmorland and Furness,Newbarns Primary and Nursery School,www.newbarns.cumbria.sch.uk/,Barrow-in-Furness,LA13 9ET,North West,no
112098,943,Westmorland and Furness,Newbridge House PRU,www.southcumbriaap.org.uk,Barrow-in-Furness,LA13 9HU,North West,no
149351,943,Westmorland and Furness,Newton Village Academy,www.newtonvillageacademy.co.uk,Barrow-in-Furness,LA13 0LT,North West,no
112118,943,Westmorland and Furness,North Lakes School,http://www.northlakes.cumbria.sch.uk/,Penrith,CA11 8NU,North West,no
149295,943,Westmorland and Furness,Ormsgill Nursery and Primary School,www.ormsgill.cumbria.sch.uk,Barrow-in-Furness,LA14 4AR,North West,no
149513,943,Westmorland and Furness,"Our Lady of the Rosary Catholic Primary School, Dalton-In-Furness",www.ourlady.cumbria.sch.uk,Dalton-in-Furness,LA15 8LB,North West,no
142249,943,Westmorland and Furness,Parkside Academy,www.parkside-academy.co.uk,BARROW-in-FURNESS,LA13 9BY,North West,no
112326,943,Westmorland and Furness,Patterdale CofE Primary School,www.patterdale.cumbria.sch.uk/,Penrith,CA11 0NL,North West,no
140306,943,Westmorland and Furness,Penny Bridge CofE School,www.pennybridge.cumbria.sch.uk/,Ulverston,LA12 7RQ,North West,no
136732,943,Westmorland and Furness,Queen Elizabeth Grammar School Penrith,http://www.qegs.cumbria.sch.uk,Penrith,CA11 7EG,North West,no
136357,943,Westmorland and Furness,Queen Elizabeth School,www.qes.org.uk,,LA6 2HJ,North West,no
