urn,school_name,website_url,page_url_scraped,emails_found,checked_at_utc,method,notes
119814,Archbishop Temple Church of England High School,http://www.archbishoptemple.com,brave_search,,2026-02-20T18:08:43.106038Z,brave_search,No email in search results
150407,Barnacre Road Primary School,,,,2026-02-20T18:08:44.606306Z,none,NO WEBSITE
119861,Bleasdale School,http://www.bleasdaleschool.lancs.sch.uk,brave_search,,2026-02-20T18:08:45.753732Z,brave_search,No email in search results
119230,Brockholes Wood Community Primary School and Nursery,http://www.brockholeswood.lancs.sch.uk,brave_search,,2026-02-20T18:08:48.195720Z,brave_search,No email in search results
133546,Burnley Springfield Community Primary School,www.springfieldcps.lancs.sch.uk,brave_search,,2026-02-20T18:08:50.672230Z,brave_search,No email in search results
119484,Burnley St Peter's Church of England Primary School,www.st-peters-burnley.lancs.sch.uk/,brave_search,,2026-02-20T18:08:53.115488Z,brave_search,No email in search results
119376,Burscough Bridge St John's Church of England Primary School,www.stjohnsburscough.co.uk,brave_search,,2026-02-20T18:08:55.541655Z,brave_search,No email in search results
119481,Burscough Lordsgate Township Church of England Primary School,www.lordsgateschool.co.uk/,brave_search,head@lordsgate.lancs.sch.uk,2026-02-20T18:08:57.954197Z,brave_search,Found 1 email(s)
119518,Calder Vale St John Church of England Primary School,www.caldervale.lancsngfl.ac.uk/,brave_search,head@caldervale.lancs.sch.uk,2026-02-20T18:09:00.406308Z,brave_search,Found 1 email(s)
119799,"Cardinal Allen Catholic High School, Fleetwood",http://www.cardinalallen.co.uk/,brave_search,head@cardinalallen.co.uk,2026-02-20T18:09:02.925570Z,brave_search,Found 2 email(s)
119557,Carleton St Hilda's Church of England Primary School,http://www.sthildas-carleton.lancs.sch.uk/,brave_search,,2026-02-20T18:09:05.337504Z,brave_search,No email in search results
119522,"Carnforth Christ Church, Church of England, Voluntary Aided Primary School",www.christchurch-carnforth.lancs.sch.uk,brave_search,,2026-02-20T18:09:07.754041Z,brave_search,No email in search results
119126,Carnforth Community Primary School,https://www.carnforthprimary.lancs.sch.uk/,brave_search,"sarah.hudd@carnforthprimary.lancs.sch.uk,head@carnforthnorthroad.lancs.sch.uk",2026-02-20T18:09:10.212019Z,brave_search,Found 3 email(s)
119392,"Carter's Charity Voluntary Controlled Primary School, Preesall",www.carters.lancs.sch.uk,brave_search,"bursar@carters.lancs.sch.uk,head@carters.lancs.sch.uk",2026-02-20T18:09:12.815202Z,brave_search,Found 3 email(s)
142055,Castercliff Primary School,www.castercliffprimaryacademy.co.uk,brave_search,"contact@castercliffprimaryacademy.co.uk,msherwin@castercliffprimaryacademy.co.uk",2026-02-20T18:09:15.361815Z,brave_search,Found 2 email(s)
145978,Casterton Primary Academy,https://www.castertonprimaryacademy.co.uk/,brave_search,"enquiries@castertonprimaryacademy.co.uk,head@castertonprimaryacademy.co.uk",2026-02-20T18:09:17.840062Z,brave_search,Found 3 email(s)
148231,Castle View Primary Academy,https://castleview.school,brave_search,"debra.worthington@cidari.co.uk,admin@castleviewacademy.org.uk,debraworthington@castleview.school",2026-02-20T18:09:20.308737Z,brave_search,Found 3 email(s)
119160,Catforth Primary School,www.catforthprimary.co.uk,brave_search,"bursar@catforth.lancs.sch.uk,bursar@catforth.lancsngfl.ac.uk,head@catforth.lancs.sch.uk",2026-02-20T18:09:22.914636Z,brave_search,Found 3 email(s)
119322,Caton Primary School,catonprimary.school,brave_search,"bursar@caton.lancs.sch.uk,head@caton.lancs.sch.uk",2026-02-20T18:09:25.415781Z,brave_search,Found 2 email(s)
119524,Caton St Paul's Church of England Primary School,https://catonstpauls.com/,brave_search,,2026-02-20T18:09:27.921753Z,brave_search,No email in search results
119540,Cawthorne's Endowed School,http://www.abbeystead.co.uk,brave_search,head@cawthornes.lancs.sch.uk,2026-02-20T18:09:30.359464Z,brave_search,Found 1 email(s)
147260,Central Lancaster High School,http://www.lancasterhigh.lancs.sch.uk,brave_search,"clhs@lancasterhigh.lancs.sch.uk,head@lancasterhigh.lancs.sch.uk",2026-02-20T18:09:32.853484Z,brave_search,Found 4 email(s)
133398,Chadwick High School,,,,2026-02-20T18:09:34.353755Z,none,NO WEBSITE
119277,Charles Saer Community Primary School,www.charlessaer.lancs.sch.uk,brave_search,bursar@charlessaer.lancs.sch.uk,2026-02-20T18:09:35.329327Z,brave_search,Found 1 email(s)
119418,Chatburn Church of England Primary School,www.chatburn.lancsngfl.ac.uk,brave_search,bursar@chatburn.lancs.sch.uk,2026-02-20T18:09:37.811563Z,brave_search,Found 1 email(s)
