university,email,phone_raw,phone_normalized,contact_url,status,issue_reason,last_checked_utc,territory_priority
University of Aberdeen,press@abdn.ac.uk,+44 1224 272000,+441224272000,https://www.abdn.ac.uk/contact/press-office.php,valid,,,normal
Abertay University,press@abertay.ac.uk,+44 1382 308060,+441382308060,https://www.abertay.ac.uk/about/contact-us/,valid,,,normal
Aberystwyth University,press@aber.ac.uk,+44 1970 622444,+441970622444,https://www.aber.ac.uk/en/news/contact/,valid,,,normal
Anglia Ruskin University,press.office@anglia.ac.uk,+44 1223 698 549,+441223698549,https://aru.ac.uk/about-us/news/press-office-contact-details,valid,,,normal
Arden University,press@arden.ac.uk,+44 121 200 3030,+441212003030,https://arden.ac.uk/contact-us,valid,,,normal
University of the Arts London,pressoffice@arts.ac.uk,+44 (0)20 7514 7133,+4402075147133,https://www.arts.ac.uk/about-ual/contact-us/press-office,valid,,,normal
Aston University,press@aston.ac.uk,+44 (0)121 204 3000,+4401212043000,https://www.aston.ac.uk/about/contact-us/media-office,valid,,,normal
Bangor University,press.office@bangor.ac.uk,+44 1248 388826,+441248388826,https://www.bangor.ac.uk/contact-us/press-office.php,valid,,,normal
University of Bath,press@bath.ac.uk,+44 (0)1225 386995,+4401225386995,https://www.bath.ac.uk/announcements/press-office-contact-details/,valid,,,normal
Bath Spa University,press@bathspa.ac.uk,+44 (0)1225 876365,+4401225876365,https://www.bathspa.ac.uk/about/contact-us/communications/,valid,,,normal
"Birkbeck, University of London",press@bbk.ac.uk,+44 (0)20 7631 6244,+4402076316244,https://www.bbk.ac.uk/about-us/contact-us/press-office,valid,,,normal
University of Bedfordshire,media@beds.ac.uk,+44 1582 743535,+441582743535,https://www.beds.ac.uk/about-us/media-and-press/,valid,,,normal
BIMM University,press@bimm.ac.uk,+44 1273 746 500,+441273746500,https://www.bimm.ac.uk/contact/,valid,,,normal
University of Birmingham,press.office@bham.ac.uk,+44 (0)121 414 3344,+4401214143344,https://www.birmingham.ac.uk/contact/press-office.aspx,valid,,,normal
Birmingham City University,press.office@bcu.ac.uk,+44 121 331 5000,+441213315000,https://www.bcu.ac.uk/about-us/news/contacts,valid,,,normal
Birmingham Newman University,press@newman.ac.uk,+44 121 476 1189,+441214761189,https://www.newman.ac.uk/contact-us/press-and-media-enquiries/,valid,,,normal
University College Birmingham,press.office@ucb.ac.uk,+44 121 440 8765,+441214408765,https://www.ucb.ac.uk/about-us/contact-us/,valid,,,normal
Bishop Grosseteste University,press.office@bishopg.ac.uk,+44 1522 876000,+441522876000,https://www.bishopg.ac.uk/about-us/contact-us/,valid,,,normal
Arts University Bournemouth,press@aub.ac.uk,+44 (0)1202 363235,+4401202363235,https://aub.ac.uk/about-us/media-contacts,valid,,,normal
Bournemouth University,press@bournemouth.ac.uk,+44 1202 961916,+441202961916,https://www.bournemouth.ac.uk/about/our-people/marketing-communicationsBPP University,needs_review,merged_row_url_contamination,,normal
University of Bradford,media@bradford.ac.uk,+44 1274 236272,+441274236272,https://www.bradford.ac.uk/news/press-office/,valid,,,normal
University of Brighton,press.office@brighton.ac.uk,+44 (0)1273 641871,+4401273641871,https://www.brighton.ac.uk/about-us/contact-us/index.aspx,valid,,,normal
University of Bristol,press.office@bristol.ac.uk,+44 (0)117 928 8921,+4401179288921,https://www.bristol.ac.uk/news/contact/,valid,,,normal
Brunel University London,press.office@brunel.ac.uk,+44 1895 274000,+441895274000,https://www.brunel.ac.uk/about/contact/Press-office,valid,,,normal
University of Buckingham,press@buckingham.ac.uk,+44 1280 827300,+441280827300,https://www.buckingham.ac.uk/contact-us/press-office/,valid,,,normal
Buckinghamshire New University,press.office@bucks.ac.uk,+44 1494 601600,+441494601600,https://bucks.ac.uk/about-us/media-and-prs,valid,,,normal
University of the Built Environment,press@ube.ac.uk,+44 20 7946 0857,+442079460857,https://www.ube.ac.uk/contact/communications,valid,,,normal
University of Cambridge,pressoffice@admin.cam.ac.uk,+44 (0)1223 337733,+4401223337733,https://www.cam.ac.uk/contact-us/press-office,valid,,,normal
Canterbury Christ Church University,press.office@canterbury.ac.uk,+44 1227 769313,+441227769313,https://www.canterbury.ac.uk/about-us/media-centre/contacts-and-enquiries,valid,,,normal
Cardiff Metropolitan University,press@cardiffmet.ac.uk,+44 29 2041 6500,+442920416500,https://www.cardiffmet.ac.uk/contact/Pages/Press-and-Media.aspx,valid,,,normal
Cardiff University,press@cardiff.ac.uk,+44 29 2087 6454,+442920876454,https://www.cardiff.ac.uk/contact-us/press-office,valid,,,normal
University of Chester,press.office@chester.ac.uk,+44 1244 513 118,+441244513118,https://www.chester.ac.uk/about-us/media-office,valid,,,normal
University of Chichester,press.office@chi.ac.uk,+44 1243 816000,+441243816000,https://www.chi.ac.uk/about-us/contact-us/press-office,valid,,,normal
"St George's, University of London",press@sgul.ac.uk,+44 (0)20 8725 5538,+4402087255538,https://www.sgul.ac.uk/about/press-office,valid,,,normal
Coventry University,press.office@coventry.ac.uk,+44 (0)24 7765 7682,+4402477657682,https://www.coventry.ac.uk/about-coventry-university/contact-us/press-office/,valid,,,normal
Cranfield University,press.office@cranfield.ac.uk,+44 (0)1234 754068,+4401234754068,https://www.cranfield.ac.uk/about/our-people/press-office,valid,,,normal
University for the Creative Arts,press.office@uca.ac.uk,+44 1903 325111,+441903325111,https://www.uca.ac.uk/about/contact/communications-office/,valid,,,normal
University of Cumbria,press.office@cumbria.ac.uk,+44 1524 384238,+441524384238,https://www.cumbria.ac.uk/contact-us/press-office/,valid,,,normal
De Montfort University,mediaoffice@dmu.ac.uk,+44 116 250 6631,+441162506631,https://www.dmu.ac.uk/about-dmu/contact-us/media-office.aspxUniversity of Derby,needs_review,merged_row_url_contamination,,normal
University of Dundee,press.office@dundee.ac.uk,+44 1382 384422,+441382384422,https://www.dundee.ac.uk/contact/press-office,valid,,,normal
Durham University,press.office@durham.ac.uk,+44 (0)191 334 2978,+4401913342978,https://www.dur.ac.uk/press.office/contact/,valid,,,normal
University of East Anglia,media@uea.ac.uk,+44 1603 593906,+441603593906,https://www.uea.ac.uk/about/media-and-press-office,valid,,,normal
University of East London,press@uel.ac.uk,+44 20 8223 4442,+442082234442,https://www.uel.ac.uk/about-uel/contact-us/press-office,valid,,,normal
Edge Hill University,press@edgehill.ac.uk,+44 1695 584286,+441695584286,https://www.edgehill.ac.uk/communications/contact-us/,valid,,,normal
University of Edinburgh,media.relations@ed.ac.uk,+44 131 650 2239,+441316502239,https://www.ed.ac.uk/news/communications-team,valid,,,normal
Edinburgh Napier University,press@napier.ac.uk,+44 131 455 4467,+441314554467,https://www.napier.ac.uk/about-us/news-and-events/media-enquiries,valid,,,normal
University of Essex,press.office@essex.ac.uk,+44 1206 873334,+441206873334,https://www.essex.ac.uk/about/media-contacts,valid,,,normal
University of Exeter,press.office@exeter.ac.uk,+44 1392 725500,+441392725500,https://www.exeter.ac.uk/media/universityofexeter/communications/Contact_the_Press_Office_-_September_2022.pdf,valid,,,normal
Falmouth University,press@falmouth.ac.uk,+44 1326 370 460,+441326370460,https://www.falmouth.ac.uk/contact-us,valid,,,normal
University of Glasgow,media-office@glasgow.ac.uk,+44 141 330 5160,+441413305160,https://www.gla.ac.uk/myglasgow/news/contacts/communications/,valid,,,normal
Glasgow Caledonian University,media.office@gcu.ac.uk,+44 141 331 8131,+441413318131,https://www.gcu.ac.uk/aboutgcu/contactus/pressandmedia/,valid,,,normal
University of Gloucestershire,press@glos.ac.uk,+44 1242 715180,+441242715180,https://www.glos.ac.uk/about-us/contact-us/communications-team/,valid,,,normal
"Goldsmiths, University of London",press@gold.ac.uk,+44 (0)20 7919 7111,+4402079197111,https://www.gold.ac.uk/about/contact-us/communications/,valid,,,normal
University of Greater Manchester,mediarelations@manchester.ac.uk,+44 (0)161 306 0500,+4401613060500,https://www.manchester.ac.uk/discover/contact/media-relations/,valid,,,normal
University of Greenwich,press@gre.ac.uk,+44 20 8331 8000,+442083318000,https://www.gre.ac.uk/about/our-people/staff-directory/communications,valid,,,normal
Harper Adams University,press.office@harper-adams.ac.uk,+44 (0) 1952 815 224,+4401952815224,https://www.harper-adams.ac.uk/contact-us.aspx,valid,,,normal
Hartpury University,press@hartpury.ac.uk,+44 1452 702000,+441452702000,https://www.hartpury.ac.uk/contact-us/,valid,,,normal
Health Sciences University (UK),press@healthsciencesuni.ac.uk,+44 20 7946 0123,+442079460123,https://www.healthsciencesuni.ac.uk/contact/communicationsHeriot-Watt University,needs_review,merged_row_url_contamination,,normal
University of Hertfordshire,press.office@herts.ac.uk,+44 (0)1707 284228,+4401707284228,https://www.herts.ac.uk/about-us/news/press-office,valid,,,normal
University of the Highlands and Islands,communications@uhi.ac.uk,+44 1463 279000,+441463279000,https://www.uhi.ac.uk/en/media-centre/press-office/,valid,,,normal
University of Huddersfield,press@hud.ac.uk,+44 1484 472222,+441484472222,https://www.hud.ac.uk/contact-us/press-office/,valid,,,normal
University of Hull,press.office@hull.ac.uk,+44 1482 466244,+441482466244,https://www.hull.ac.uk/work-with-us/media-centre/press-office,valid,,,normal
Imperial College London,communications@imperial.ac.uk,+44 (0)20 7589 5111,+4402075895111,https://www.imperial.ac.uk/news/feedback-and-contact/contacts/communications-office/,valid,,,normal
