"university","contact_name","contact_role","department","email","phone","source_url","confidence","last_checked_utc"
"University of Aberdeen","","Press / Communications","Communications","press@abdn.ac.uk","+44 1224 272000","https://www.abdn.ac.uk/contact/press-office.php","valid","2026-02-21T19:40:48.1261762Z"
"Abertay University","","Press / Communications","Communications","press@abertay.ac.uk","+44 1382 308060","https://www.abertay.ac.uk/about/contact-us/","valid","2026-02-21T19:40:48.1261762Z"
"Aberystwyth University","","Press / Communications","Communications","press@aber.ac.uk","+44 1970 622444","https://www.aber.ac.uk/en/news/contact/","valid","2026-02-21T19:40:48.1261762Z"
"Anglia Ruskin University","","Press / Communications","Communications","press.office@anglia.ac.uk","+44 1223 698 549","https://aru.ac.uk/about-us/news/press-office-contact-details","valid","2026-02-21T19:40:48.1261762Z"
"Arden University","","Press / Communications","Communications","press@arden.ac.uk","+44 121 200 3030","https://arden.ac.uk/contact-us","valid","2026-02-21T19:40:48.1261762Z"
"University of the Arts London","","Press / Communications","Communications","pressoffice@arts.ac.uk","+44 (0)20 7514 7133","https://www.arts.ac.uk/about-ual/contact-us/press-office","valid","2026-02-21T19:40:48.1261762Z"
"Aston University","","Press / Communications","Communications","press@aston.ac.uk","+44 (0)121 204 3000","https://www.aston.ac.uk/about/contact-us/media-office","valid","2026-02-21T19:40:48.1261762Z"
"Bangor University","","Press / Communications","Communications","press.office@bangor.ac.uk","+44 1248 388826","https://www.bangor.ac.uk/contact-us/press-office.php","valid","2026-02-21T19:40:48.1261762Z"
"University of Bath","","Press / Communications","Communications","press@bath.ac.uk","+44 (0)1225 386995","https://www.bath.ac.uk/announcements/press-office-contact-details/","valid","2026-02-21T19:40:48.1261762Z"
"Bath Spa University","","Press / Communications","Communications","press@bathspa.ac.uk","+44 (0)1225 876365","https://www.bathspa.ac.uk/about/contact-us/communications/","valid","2026-02-21T19:40:48.1261762Z"
"Birkbeck, University of London","","Press / Communications","Communications","press@bbk.ac.uk","+44 (0)20 7631 6244","https://www.bbk.ac.uk/about-us/contact-us/press-office","valid","2026-02-21T19:40:48.1261762Z"
"University of Bedfordshire","","Press / Communications","Communications","media@beds.ac.uk","+44 1582 743535","https://www.beds.ac.uk/about-us/media-and-press/","valid","2026-02-21T19:40:48.1261762Z"
"BIMM University","","Press / Communications","Communications","press@bimm.ac.uk","+44 1273 746 500","https://www.bimm.ac.uk/contact/","valid","2026-02-21T19:40:48.1261762Z"
"University of Birmingham","","Press / Communications","Communications","press.office@bham.ac.uk","+44 (0)121 414 3344","https://www.birmingham.ac.uk/contact/press-office.aspx","valid","2026-02-21T19:40:48.1261762Z"
"Birmingham City University","","Press / Communications","Communications","press.office@bcu.ac.uk","+44 121 331 5000","https://www.bcu.ac.uk/about-us/news/contacts","valid","2026-02-21T19:40:48.1261762Z"
"Birmingham Newman University","","Press / Communications","Communications","press@newman.ac.uk","+44 121 476 1189","https://www.newman.ac.uk/contact-us/press-and-media-enquiries/","valid","2026-02-21T19:40:48.1261762Z"
"University College Birmingham","","Press / Communications","Communications","press.office@ucb.ac.uk","+44 121 440 8765","https://www.ucb.ac.uk/about-us/contact-us/","valid","2026-02-21T19:40:48.1261762Z"
"Bishop Grosseteste University","","Press / Communications","Communications","press.office@bishopg.ac.uk","+44 1522 876000","https://www.bishopg.ac.uk/about-us/contact-us/","valid","2026-02-21T19:40:48.1261762Z"
"Arts University Bournemouth","","Press / Communications","Communications","press@aub.ac.uk","+44 (0)1202 363235","https://aub.ac.uk/about-us/media-contacts","valid","2026-02-21T19:40:48.1261762Z"
"Bournemouth University","","Press / Communications","Communications","press@bournemouth.ac.uk","+44 1202 961916","https://www.bournemouth.ac.uk/about/our-people/marketing-communicationsBPP University","needs_review","2026-02-21T19:40:48.1261762Z"
"University of Bradford","","Press / Communications","Communications","media@bradford.ac.uk","+44 1274 236272","https://www.bradford.ac.uk/news/press-office/","valid","2026-02-21T19:40:48.1261762Z"
"University of Brighton","","Press / Communications","Communications","press.office@brighton.ac.uk","+44 (0)1273 641871","https://www.brighton.ac.uk/about-us/contact-us/index.aspx","valid","2026-02-21T19:40:48.1261762Z"
"University of Bristol","","Press / Communications","Communications","press.office@bristol.ac.uk","+44 (0)117 928 8921","https://www.bristol.ac.uk/news/contact/","valid","2026-02-21T19:40:48.1261762Z"
