university,email,phone_raw,contact_url,status,lat,lng,display_name
University of Aberdeen,press@abdn.ac.uk,+44 1224 272000,https://www.abdn.ac.uk/contact/press-office.php,valid,57.1645248,-2.1018364,"University of Aberdeen, Tillydrone Road, Old Aberdeen, Aberdeen City, Alba / Scotland, AB24 1RN, United Kingdom"
Abertay University,press@abertay.ac.uk,+44 1382 308060,https://www.abertay.ac.uk/about/contact-us/,valid,56.4632546,-2.9744981,"Abertay University, Bell Street, Central Waterfront, City Centre, Dundee, Dundee City, Alba / Scotland, DD1 1HG, United Kingdom"
Aberystwyth University,press@aber.ac.uk,+44 1970 622444,https://www.aber.ac.uk/en/news/contact/,valid,52.4337863,-4.0194512,"Aberystwyth University, Gogerddan Campus, Gogerddan Trail, Tirymynach, Bow Street, Ceredigion, Cymru / Wales, SY23 3EB, United Kingdom"
Anglia Ruskin University,press.office@anglia.ac.uk,+44 1223 698 549,https://aru.ac.uk/about-us/news/press-office-contact-details,valid,52.2033882,0.1350226,"Anglia Ruskin University (Cambridge Campus), East Road, The Kite, Petersfield, Cambridge, Cambridgeshire, Cambridgeshire and Peterborough, England, CB1 1PT, United Kingdom"
Arden University,press@arden.ac.uk,+44 121 200 3030,https://arden.ac.uk/contact-us,valid,51.5426094,-0.0105867,"Arden University Stratford Campus, Arber Lane, Stratford, London Borough of Newham, Greater London, England, E20 1JQ, United Kingdom"
University of the Arts London,pressoffice@arts.ac.uk,+44 (0)20 7514 7133,https://www.arts.ac.uk/about-ual/contact-us/press-office,valid,51.5176865,-0.1163373,"University of the Arts London, 272, High Holborn, Holborn, London Borough of Camden, Greater London, England, WC1V 7EJ, United Kingdom"
Aston University,press@aston.ac.uk,+44 (0)121 204 3000,https://www.aston.ac.uk/about/contact-us/media-office,valid,52.4861905,-1.8884689,"Aston University, Lister Street, Vauxhall, Birmingham, West Midlands, England, B7 4BF, United Kingdom"
Bangor University,press.office@bangor.ac.uk,+44 1248 388826,https://www.bangor.ac.uk/contact-us/press-office.php,valid,53.2300234,-4.1300820,"Bangor University, College Road Site, The Crescent, Upper Bangor, Bangor, Gwynedd, Cymru / Wales, LL57 2AB, United Kingdom"
University of Bath,press@bath.ac.uk,+44 (0)1225 386995,https://www.bath.ac.uk/announcements/press-office-contact-details/,valid,51.3766938,-2.3234206,"University of Bath, The Avenue, Claverton Down, Bath, Bath and North East Somerset, West of England, England, BA2 6DR, United Kingdom"
Bath Spa University,press@bathspa.ac.uk,+44 (0)1225 876365,https://www.bathspa.ac.uk/about/contact-us/communications/,valid,51.3748580,-2.4387146,"Bath Spa University, Western Terrace, Bath, Bath and North East Somerset, West of England, England, BA2 9BN, United Kingdom"
