"university","website","region","careers_page_url","employability_page_url","procurement_page_url","supplier_portal_url","tender_portal_url","status","last_checked_utc"
"University of Aberdeen","https://www.abdn.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Abertay University","https://www.abertay.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Aberystwyth University","https://www.aber.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Anglia Ruskin University","https://aru.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Arden University","https://arden.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of the Arts London","https://www.arts.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Aston University","https://www.aston.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Bangor University","https://www.bangor.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Bath","https://www.bath.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Bath Spa University","https://www.bathspa.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Birkbeck, University of London","https://www.bbk.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Bedfordshire","https://www.beds.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"BIMM University","https://www.bimm.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Birmingham","https://www.birmingham.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Birmingham City University","https://www.bcu.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Birmingham Newman University","https://www.newman.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University College Birmingham","https://www.ucb.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Bishop Grosseteste University","https://www.bishopg.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Arts University Bournemouth","https://aub.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Bournemouth University","https://www.bournemouth.ac.uk/","","","","","","","needs_review","2026-02-21T19:40:48.1261762Z"
"University of Bradford","https://www.bradford.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Brighton","https://www.brighton.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Bristol","https://www.bristol.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Brunel University London","https://www.brunel.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Buckingham","https://www.buckingham.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Buckinghamshire New University","https://bucks.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of the Built Environment","https://www.ube.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Cambridge","https://www.cam.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Canterbury Christ Church University","https://www.canterbury.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Cardiff Metropolitan University","https://www.cardiffmet.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Cardiff University","https://www.cardiff.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Chester","https://www.chester.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Chichester","https://www.chi.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"St George's, University of London","https://www.sgul.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Coventry University","https://www.coventry.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Cranfield University","https://www.cranfield.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University for the Creative Arts","https://www.uca.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Cumbria","https://www.cumbria.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"De Montfort University","https://www.dmu.ac.uk/","","","","","","","needs_review","2026-02-21T19:40:48.1261762Z"
"University of Dundee","https://www.dundee.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Durham University","https://www.dur.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of East Anglia","https://www.uea.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of East London","https://www.uel.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Edge Hill University","https://www.edgehill.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Edinburgh","https://www.ed.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Edinburgh Napier University","https://www.napier.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Essex","https://www.essex.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Exeter","https://www.exeter.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Falmouth University","https://www.falmouth.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Glasgow","https://www.gla.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Glasgow Caledonian University","https://www.gcu.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Gloucestershire","https://www.glos.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Goldsmiths, University of London","https://www.gold.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Greater Manchester","https://www.manchester.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of Greenwich","https://www.gre.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Harper Adams University","https://www.harper-adams.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Hartpury University","https://www.hartpury.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"Health Sciences University (UK)","https://www.healthsciencesuni.ac.uk/","","","","","","","needs_review","2026-02-21T19:40:48.1261762Z"
"University of Hertfordshire","https://www.herts.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
"University of the Highlands and Islands","https://www.uhi.ac.uk/","","","","","","","valid","2026-02-21T19:40:48.1261762Z"
