URN,School,URL
102751,"Winsor Primary School",https://www.winsor.newham.sch.uk
102763,"Essex Primary School",https://www.essex.newham.sch.uk
102812,"Newbury Park Primary School",http://www.newburyparkschool.net
102845,"St Bede's Catholic Primary School",https://nan
102847,"Wohl Ilford Jewish Primary School",http://www.ijpsonline.co.uk
102849,"Caterham High School",http://www.ecaterham.net
102850,"Ilford County High School",http://www.ichs.org.uk
102851,"Wanstead High School",https://www.wansteadhigh.co.uk
102852,"Woodford County High School",http://www.woodford.redbridge.sch.uk
102854,"Woodbridge High School",http://www.woodbridgehigh.co.uk
102856,"Seven Kings School",https://www.sevenkings.school
102857,"Valentines High School",http://www.valentines-sch.org.uk
102858,"Mayfield School",http://www.mayfieldschool.net
102860,"Trinity Catholic High School",http://tchs.org.uk
102861,"King Solomon High School",http://www.kshsonline.uk
102878,"Little Heath School",https://www.lheath.net
102879,"New Rush Hall School",https://www.newrushhallschool.co.uk
102881,"Hatton Special School",https://www.hattonspecialschool.co.uk
102882,"Windham Nursery School",https://nan
102883,"Carlisle Infant School",https://www.carlisleandhamptonhillfed.richmond.sch.uk
102884,"Darell Primary and Nursery School",https://www.darell.richmond.sch.uk
102885,"East Sheen Primary School",https://www.eastsheen.richmond.sch.uk
102886,"Hampton Hill Junior School",https://www.hamptonhill.richmond.sch.uk
102887,"Hampton Junior School",https://www.hpp.school
102888,"Hampton Infant School and Nursery",https://www.hpp.school
102889,"Hampton Wick Infant and Nursery School",https://www.hamptonwick.richmond.sch.uk
102904,"Buckingham Primary School",https://www.buckingham.richmond.sch.uk
102908,"Holy Trinity Church of England Primary School",https://www.holytrinityschool.org.uk
102909,"St Mary Magdalen's Catholic Primary School",https://www.st-marymagdalens.richmond.sch.uk
102911,"St John the Baptist Church of England Junior School",https://www.stjohnshamptonwick.school
102912,"St Edmund's Catholic Primary School",https://www.st-edmunds.richmond.sch.uk
102913,"St James's Roman Catholic Primary School",https://www.st-james.richmond.sch.uk
102914,"St Mary's Church of England Primary School",https://www.st-marys.richmond.sch.uk
102915,"St Stephen's C E Primary School",https://www.st-stephens.richmond.sch.uk
102916,"Sacred Heart Catholic Primary School",https://www.sacredheartteddington.co.uk
102917,"St Mary's and St Peter's Church of England Primary School",https://nan
102918,"Bishop Perrin Church of England Primary School",https://www.bishopperrin.richmond.sch.uk
102920,"Archdeacon Cambridge's Church of England Primary School",https://www.archdeaconcambridges.richmond.sch.uk
102921,"The King's Church of England Primary School",https://www.kings.richmond.sch.uk
102929,"Christ's Church of England Comprehensive Secondary School",https://www.christs.richmond.sch.uk
102955,"Spencer Nursery School",https://www.spencernurseryschool.org.uk
102956,"Thomas Wall Nursery School",https://nan
102991,"Holy Trinity CofE Junior School",https://www.holytrinityjuniorwallington.com
102994,"St Mary's RC Junior School",https://www.stmarysjunior.org.uk
103027,"Low Hall Nursery School",https://nan
103028,"Church Hill Nursery School",https://www.fans.waltham.sch.uk
103030,"Acacia Nursery",http://www.acacianursery.co.uk
103032,"Chase Lane Primary School",https://www.chaselaneprimary.waltham.sch.uk
103036,"Whitehall Primary School",https://www.whitehallprimary.com
103044,"Downsell Primary School",https://www.downsellprimary.org
103048,"Newport School",https://www.newport.waltham.sch.uk
103052,"Chapel End Infant School and Early Years Centre",https://www.chapelendinfants.com
103053,"Edinburgh Primary School",https://www.edinburgh.waltham.sch.uk
103054,"Greenleaf Primary School",https://www.greenleafschool.org.uk
103059,"Handsworth Primary School",https://www.handsworthprimary.org.uk
103060,"Thorpe Hall Primary School",https://www.thorpehallprimary.com
103061,"The Winns Primary School",https://www.thewinnsprimaryschool.co.uk
103086,"St Joseph's Catholic Junior School",https://www.stjosephsjun.waltham.sch.uk
103121,"Brearley Nursery School",http://atschool.eduweb.co.uk/brearley/informat.htm
103122,"Garretts Green Nursery School",https://garrettsgreen.org.uk
103124,"St Thomas Centre Nursery School",https://www.stthomascentrenursery.sch.life
103125,"Highfield Nursery School",https://www.hifieldn.bham.sch.uk
103126,"Marsh Hill Nursery School",https://www.marshiln.bham.sch.uk
103127,"West Heath Nursery School",https://www.wesththn.bham.sch.uk
103128,"Goodway Nursery School",http://www.goodwayn.bham.sch.uk
